DateTime,Temp,SpCond,DO Conc,pH,pHmV,ORP,BP
M/D/Y,C,mS/cm,mg/L,,mV,mV,psi
6/18/2019 11:00,26.46,0,3.07,6.34,86.3,201,14.49
6/18/2019 11:02,19.88,0.196,6.76,6.34,86,207,14.5
6/18/2019 11:04,19.84,0.196,6.59,6.92,72.9,187,14.5
6/18/2019 11:06,19.83,0.196,6.54,7.3,64.5,174,14.5
6/18/2019 11:08,19.83,0.196,6.51,7.57,58.5,164,14.51
6/18/2019 11:10,19.85,0.197,6.47,7.75,54.5,154,14.51
6/18/2019 11:12,19.83,0.197,6.49,7.86,51.9,149,14.51
6/18/2019 11:14,19.81,0.197,6.5,7.95,50,145,14.51
6/18/2019 11:16,19.86,0.197,6.49,7.99,49,139,14.51
6/18/2019 11:18,19.85,0.197,6.5,8.01,48.6,136,14.51
6/18/2019 11:36,19.85,0.198,13.73,6.86,74.2,157,14.51
6/18/2019 11:38,19.89,0.197,6.64,7.99,49.1,138,14.51
6/18/2019 11:40,19.92,0.198,6.35,8.04,47.9,135,14.51
6/18/2019 11:42,19.93,0.198,6.35,8.07,47.2,132,14.52
6/18/2019 11:44,19.93,0.198,6.3,8.07,47.2,131,14.52
6/18/2019 11:46,19.93,0.198,6.38,8.08,47.1,129,14.52
6/18/2019 11:48,19.97,0.198,6.5,8.07,47.2,127,14.52
6/18/2019 11:50,19.97,0.197,6.37,8.09,46.8,126,14.52
6/18/2019 11:52,19.99,0.198,6.48,8.1,46.6,124,14.52
6/18/2019 11:54,20.01,0.197,6.64,8.08,46.9,123,14.52
6/18/2019 11:56,20.01,0.197,6.42,8.09,46.7,123,14.52
6/18/2019 11:58,20,0.198,6.51,8.1,46.5,122,14.53
6/18/2019 12:00,20.02,0.198,6.45,8.11,46.4,122,14.53
6/18/2019 12:02,20.04,0.198,6.42,8.11,46.4,122,14.52
6/18/2019 12:04,20.04,0.198,6.44,8.09,46.8,122,14.53
6/18/2019 12:06,20.04,0.197,6.47,8.1,46.6,122,14.53
6/18/2019 12:08,20.06,0.198,6.34,8.1,46.6,121,14.53
6/18/2019 12:10,20.06,0.198,6.31,8.12,46.2,121,14.53
6/18/2019 12:15,20.08,0.195,18.16,7.7,55.5,122,14.52
6/18/2019 12:17,20.05,0.198,6.52,8.13,46,122,14.52
6/18/2019 12:19,20.06,0.198,6.48,8.15,45.4,121,14.53
6/18/2019 12:21,20.07,0.198,6.4,8.15,45.4,121,14.53
6/18/2019 12:23,20.09,0.198,6.45,8.14,45.7,121,14.53
6/18/2019 12:25,20.1,0.198,6.43,8.13,45.9,121,14.53
6/18/2019 12:27,20.09,0.198,6.45,8.13,45.9,121,14.53
6/18/2019 12:29,20.11,0.198,6.4,8.1,46.6,122,14.53
6/18/2019 12:31,20.12,0.198,6.36,8.09,46.9,124,14.53
6/18/2019 12:33,20.16,0.198,6.32,8.04,47.8,127,14.53
6/18/2019 12:35,20.14,0.198,6.33,8.03,48.1,126,14.53
6/18/2019 12:37,20.13,0.198,6.42,8.04,48,126,14.53
6/18/2019 12:39,20.15,0.198,6.33,8.02,48.3,128,14.53
6/18/2019 12:41,20.18,0.198,6.35,8,48.8,131,14.53
6/18/2019 12:43,20.16,0.198,6.36,7.98,49.3,131,14.53
6/18/2019 12:45,20.16,0.198,6.43,7.98,49.3,131,14.53
6/18/2019 12:47,20.14,0.198,6.33,8.01,48.6,129,14.53
6/18/2019 12:49,20.19,0.198,6.33,7.96,49.7,134,14.53
6/18/2019 12:51,20.23,0.198,6.31,7.88,51.6,139,14.53
6/18/2019 12:53,20.22,0.199,6.38,7.9,51,135,14.53
6/18/2019 12:55,20.2,0.199,6.31,7.89,51.2,136,14.53
