DateTime,Temp,SpCond,DO Conc,pH,pHmV,ORP,BP
6/18/2019 12:57,20.24,0.199,6.29,7.86,51.9,139,14.53
6/18/2019 12:59,20.24,0.199,6.33,7.85,52.1,140,14.53
6/18/2019 13:01,20.19,0.199,6.32,7.93,50.5,134,14.53
6/18/2019 13:03,20.27,0.199,6.28,7.87,51.8,140,14.53
6/18/2019 13:05,20.29,0.199,6.29,7.8,53.3,144,14.53
6/18/2019 13:07,20.28,0.199,6.32,7.8,53.3,142,14.53
6/18/2019 13:09,20.26,0.199,6.34,7.82,52.9,140,14.53
6/18/2019 13:11,20.3,0.199,6.37,7.81,53.1,143,14.53
6/18/2019 13:13,20.29,0.199,6.36,7.8,53.4,142,14.53
6/18/2019 13:15,20.28,0.199,6.38,7.81,53,142,14.53
6/18/2019 13:17,20.31,0.199,6.37,7.81,53.1,142,14.53
6/18/2019 13:19,20.3,0.199,6.32,7.78,53.6,145,14.53
6/18/2019 13:21,20.33,0.199,6.37,7.78,53.7,144,14.53
6/18/2019 13:23,20.37,0.199,6.31,7.74,54.5,147,14.53
6/18/2019 13:25,20.38,0.199,6.32,7.74,54.6,146,14.53
6/18/2019 13:27,20.32,0.2,6.41,7.79,53.6,143,14.53
6/18/2019 13:29,20.3,0.2,6.39,7.77,54,145,14.53
6/18/2019 13:31,20.39,0.199,6.47,7.7,55.6,149,14.53
6/18/2019 13:33,20.43,0.199,6.49,7.66,56.4,150,14.53
6/18/2019 13:35,20.49,0.2,6.53,7.6,57.7,153,14.52
6/18/2019 13:37,20.54,0.2,6.59,7.57,58.3,154,14.52
6/18/2019 13:39,20.54,0.2,6.61,7.57,58.4,154,14.52
6/18/2019 13:41,20.56,0.2,6.46,7.56,58.7,155,14.52
6/18/2019 13:43,20.54,0.2,6.58,7.57,58.5,154,14.52
6/18/2019 13:45,20.56,0.2,6.56,7.55,58.9,153,14.52
6/18/2019 13:47,20.59,0.199,6.49,7.59,58.1,151,14.52
6/18/2019 13:49,20.62,0.199,6.51,7.61,57.5,149,14.52
6/18/2019 13:51,20.59,0.199,6.61,7.65,56.7,147,14.52
6/18/2019 13:53,20.63,0.199,6.6,7.69,55.7,144,14.52
6/18/2019 13:55,20.65,0.199,6.72,7.72,55,142,14.52
6/18/2019 13:57,20.68,0.199,6.59,7.78,53.8,137,14.52
6/18/2019 13:59,20.68,0.199,6.65,7.8,53.3,136,14.52
6/18/2019 14:01,20.7,0.199,6.55,7.86,51.9,133,14.52
6/18/2019 14:03,20.7,0.199,6.74,7.88,51.6,132,14.52
6/18/2019 14:05,20.71,0.199,6.6,7.91,50.9,131,14.52
6/18/2019 14:07,20.72,0.199,6.84,7.96,49.6,128,14.52
6/18/2019 14:09,20.74,0.199,6.67,8.01,48.6,126,14.52
6/18/2019 14:11,20.74,0.198,6.67,8.03,48,124,14.52
6/18/2019 14:13,20.78,0.198,6.72,8.06,47.5,122,14.52
6/18/2019 14:15,20.79,0.198,6.64,8.12,46,119,14.52
6/18/2019 14:17,20.8,0.197,6.78,8.13,45.9,119,14.52
6/18/2019 14:19,20.8,0.197,6.72,8.13,45.7,120,14.52
6/18/2019 14:21,20.83,0.197,6.74,8.13,46,120,14.52
6/18/2019 14:23,20.84,0.196,6.79,8.19,44.5,117,14.52
6/18/2019 14:25,20.86,0.196,6.85,8.19,44.4,116,14.52
6/18/2019 14:27,20.86,0.196,6.84,8.21,44,116,14.52
6/18/2019 14:29,20.89,0.195,6.86,8.26,42.9,114,14.52
6/18/2019 14:31,20.89,0.194,6.85,8.29,42.2,113,14.52
6/18/2019 14:33,20.9,0.194,6.92,8.3,41.9,112,14.52
6/18/2019 14:35,20.89,0.193,7.02,8.31,41.9,112,14.52
6/18/2019 14:37,20.89,0.193,6.91,8.32,41.5,113,14.52
6/18/2019 14:39,20.89,0.192,6.65,8.36,40.7,114,14.51
6/18/2019 14:41,20.9,0.192,6.75,8.37,40.4,113,14.51
6/18/2019 14:43,20.9,0.191,6.64,8.39,40,112,14.51
6/18/2019 14:45,20.9,0.191,6.53,8.4,39.7,112,14.51
