3 to 3090,,Channel 1,,,,
Date,Time,Voltage (V),Conc. CO2 (ppm),Time Elapsed,Discharge,Mol CO2
6/13/2019,3:02:53 PM,0.8705,8705,11110,,
6/13/2019,3:02:58 PM,0.8705,8705,11115,,
6/13/2019,3:03:03 PM,0.87,8700,11120,,
6/13/2019,3:03:08 PM,0.87,8700,11125,,
6/13/2019,3:03:13 PM,0.869,8690,11130,,
6/13/2019,3:03:18 PM,0.869,8690,11135,,
6/13/2019,3:03:23 PM,0.869,8690,11140,,
6/13/2019,3:03:28 PM,0.869,8690,11145,,
6/13/2019,3:03:33 PM,0.8685,8685,11150,,
6/13/2019,3:03:38 PM,0.8675,8675,11155,,
6/13/2019,3:03:43 PM,0.867,8670,11160,,
6/13/2019,3:03:48 PM,0.867,8670,11165,,
6/13/2019,3:03:53 PM,0.866,8660,11170,,
6/13/2019,3:03:58 PM,0.8655,8655,11175,,
6/13/2019,3:04:03 PM,0.865,8650,11180,,
6/13/2019,3:04:08 PM,0.8645,8645,11185,,
6/13/2019,3:04:13 PM,0.864,8640,11190,,
6/13/2019,3:04:18 PM,0.862,8620,11195,,
6/13/2019,3:04:23 PM,0.8595,8595,11200,,
6/13/2019,3:04:28 PM,0.8575,8575,11205,,
6/13/2019,3:04:33 PM,0.857,8570,11210,,
6/13/2019,3:04:38 PM,0.857,8570,11215,,
6/13/2019,3:04:43 PM,0.8585,8585,11220,,
6/13/2019,3:04:48 PM,0.859,8590,11225,,
6/13/2019,3:04:53 PM,0.8585,8585,11230,,
6/13/2019,3:04:58 PM,0.8585,8585,11235,,
6/13/2019,3:05:03 PM,0.859,8590,11240,,
6/13/2019,3:05:08 PM,0.859,8590,11245,,
6/13/2019,3:05:13 PM,0.858,8580,11250,,
6/13/2019,3:05:18 PM,0.8575,8575,11255,,
6/13/2019,3:05:23 PM,0.8575,8575,11260,,
6/13/2019,3:05:28 PM,0.857,8570,11265,,
6/13/2019,3:05:33 PM,0.855,8550,11270,,
6/13/2019,3:05:38 PM,0.8535,8535,11275,,
6/13/2019,3:05:43 PM,0.8525,8525,11280,,
6/13/2019,3:05:48 PM,0.851,8510,11285,,
6/13/2019,3:05:53 PM,0.85,8500,11290,,
6/13/2019,3:05:58 PM,0.849,8490,11295,,
6/13/2019,3:06:03 PM,0.8465,8465,11300,,
6/13/2019,3:06:08 PM,0.8445,8445,11305,,
6/13/2019,3:06:13 PM,0.843,8430,11310,,
6/13/2019,3:06:18 PM,0.842,8420,11315,,
6/13/2019,3:06:23 PM,0.8415,8415,11320,,
6/13/2019,3:06:28 PM,0.8425,8425,11325,,
6/13/2019,3:06:33 PM,0.8425,8425,11330,,
6/13/2019,3:06:38 PM,0.84,8400,11335,,
6/13/2019,3:06:43 PM,0.8365,8365,11340,,
6/13/2019,3:06:48 PM,0.836,8360,11345,,
6/13/2019,3:06:53 PM,0.837,8370,11350,,
6/13/2019,3:06:58 PM,0.8385,8385,11355,,
6/13/2019,3:07:03 PM,0.8385,8385,11360,,
6/13/2019,3:07:08 PM,0.8385,8385,11365,,
6/13/2019,3:07:13 PM,0.8385,8385,11370,,
6/13/2019,3:07:18 PM,0.836,8360,11375,,
6/13/2019,3:07:23 PM,0.833,8330,11380,,
6/13/2019,3:07:28 PM,0.83,8300,11385,,
6/13/2019,3:07:33 PM,0.8305,8305,11390,,
6/13/2019,3:07:38 PM,0.831,8310,11395,,
6/13/2019,3:07:43 PM,0.831,8310,11400,,
6/13/2019,3:07:48 PM,0.8295,8295,11405,,
6/13/2019,3:07:53 PM,0.8285,8285,11410,,
6/13/2019,3:07:58 PM,0.8295,8295,11415,,
6/13/2019,3:08:03 PM,0.8305,8305,11420,,
6/13/2019,3:08:08 PM,0.8295,8295,11425,,
6/13/2019,3:08:13 PM,0.8275,8275,11430,,
6/13/2019,3:08:18 PM,0.825,8250,11435,,
6/13/2019,3:08:23 PM,0.823,8230,11440,,
6/13/2019,3:08:28 PM,0.821,8210,11445,,
6/13/2019,3:08:33 PM,0.819,8190,11450,,
6/13/2019,3:08:38 PM,0.818,8180,11455,,
6/13/2019,3:08:43 PM,0.817,8170,11460,,
6/13/2019,3:08:48 PM,0.816,8160,11465,,
6/13/2019,3:08:53 PM,0.8145,8145,11470,,
6/13/2019,3:08:58 PM,0.814,8140,11475,,
6/13/2019,3:09:03 PM,0.814,8140,11480,,
6/13/2019,3:09:08 PM,0.8135,8135,11485,,
6/13/2019,3:09:13 PM,0.813,8130,11490,,
6/13/2019,3:09:18 PM,0.812,8120,11495,,
6/13/2019,3:09:23 PM,0.8105,8105,11500,,
6/13/2019,3:09:28 PM,0.807,8070,11505,,
6/13/2019,3:09:33 PM,0.804,8040,11510,,
6/13/2019,3:09:38 PM,0.803,8030,11515,,
6/13/2019,3:09:43 PM,0.8045,8045,11520,,
6/13/2019,3:09:48 PM,0.8045,8045,11525,,
6/13/2019,3:09:53 PM,0.8035,8035,11530,,
6/13/2019,3:09:58 PM,0.8025,8025,11535,,
6/13/2019,3:10:03 PM,0.8025,8025,11540,,
6/13/2019,3:10:08 PM,0.803,8030,11545,,
6/13/2019,3:10:13 PM,0.8025,8025,11550,,
6/13/2019,3:10:18 PM,0.8025,8025,11555,,
6/13/2019,3:10:23 PM,0.802,8020,11560,,
6/13/2019,3:10:28 PM,0.8015,8015,11565,,
6/13/2019,3:10:33 PM,0.8,8000,11570,,
6/13/2019,3:10:38 PM,0.7985,7985,11575,,
6/13/2019,3:10:43 PM,0.798,7980,11580,,
6/13/2019,3:10:48 PM,0.797,7970,11585,,
6/13/2019,3:10:53 PM,0.7945,7945,11590,,
6/13/2019,3:10:58 PM,0.792,7920,11595,,
6/13/2019,3:11:03 PM,0.79,7900,11600,,
6/13/2019,3:11:08 PM,0.7885,7885,11605,,
6/13/2019,3:11:13 PM,0.787,7870,11610,,
6/13/2019,3:11:18 PM,0.7855,7855,11615,,
6/13/2019,3:11:23 PM,0.783,7830,11620,,
6/13/2019,3:11:28 PM,0.779,7790,11625,,
6/13/2019,3:11:33 PM,0.7765,7765,11630,,
6/13/2019,3:11:38 PM,0.7765,7765,11635,,
6/13/2019,3:11:43 PM,0.7765,7765,11640,,
6/13/2019,3:11:48 PM,0.776,7760,11645,,
6/13/2019,3:11:53 PM,0.7755,7755,11650,,
6/13/2019,3:11:58 PM,0.7745,7745,11655,,
6/13/2019,3:12:03 PM,0.774,7740,11660,,
6/13/2019,3:12:08 PM,0.774,7740,11665,,
6/13/2019,3:12:13 PM,0.7725,7725,11670,,
6/13/2019,3:12:18 PM,0.771,7710,11675,,
6/13/2019,3:12:23 PM,0.7695,7695,11680,,
6/13/2019,3:12:28 PM,0.7675,7675,11685,,
6/13/2019,3:12:33 PM,0.7665,7665,11690,,
6/13/2019,3:12:38 PM,0.7665,7665,11695,,
6/13/2019,3:12:43 PM,0.7665,7665,11700,,
6/13/2019,3:12:48 PM,0.7655,7655,11705,,
6/13/2019,3:12:53 PM,0.764,7640,11710,,
6/13/2019,3:12:58 PM,0.764,7640,11715,,
6/13/2019,3:13:03 PM,0.764,7640,11720,,
6/13/2019,3:13:08 PM,0.7625,7625,11725,,
6/13/2019,3:13:13 PM,0.7605,7605,11730,,
6/13/2019,3:13:18 PM,0.759,7590,11735,,
6/13/2019,3:13:23 PM,0.7585,7585,11740,,
6/13/2019,3:13:28 PM,0.7565,7565,11745,,
6/13/2019,3:13:33 PM,0.755,7550,11750,,
6/13/2019,3:13:38 PM,0.7545,7545,11755,,
6/13/2019,3:13:43 PM,0.7545,7545,11760,,
6/13/2019,3:13:48 PM,0.755,7550,11765,,
6/13/2019,3:13:53 PM,0.7545,7545,11770,,
6/13/2019,3:13:58 PM,0.754,7540,11775,,
6/13/2019,3:14:03 PM,0.7535,7535,11780,,
6/13/2019,3:14:08 PM,0.753,7530,11785,,
6/13/2019,3:14:13 PM,0.7515,7515,11790,,
6/13/2019,3:14:18 PM,0.75,7500,11795,,
6/13/2019,3:14:23 PM,0.748,7480,11800,,
6/13/2019,3:14:28 PM,0.747,7470,11805,,
6/13/2019,3:14:33 PM,0.748,7480,11810,,
6/13/2019,3:14:38 PM,0.7495,7495,11815,,
6/13/2019,3:14:43 PM,0.75,7500,11820,,
6/13/2019,3:14:48 PM,0.7485,7485,11825,,
6/13/2019,3:14:53 PM,0.7465,7465,11830,,
6/13/2019,3:14:58 PM,0.7445,7445,11835,,
6/13/2019,3:15:03 PM,0.742,7420,11840,,
6/13/2019,3:15:08 PM,0.7385,7385,11845,,
6/13/2019,3:15:13 PM,0.736,7360,11850,,
6/13/2019,3:15:18 PM,0.735,7350,11855,,
6/13/2019,3:15:23 PM,0.7335,7335,11860,,
6/13/2019,3:15:28 PM,0.731,7310,11865,,
6/13/2019,3:15:33 PM,0.7295,7295,11870,,
6/13/2019,3:15:38 PM,0.73,7300,11875,,
6/13/2019,3:15:43 PM,0.7315,7315,11880,,
6/13/2019,3:15:48 PM,0.731,7310,11885,,
6/13/2019,3:15:53 PM,0.7305,7305,11890,,
6/13/2019,3:15:58 PM,0.729,7290,11895,,
6/13/2019,3:16:03 PM,0.7275,7275,11900,,
6/13/2019,3:16:08 PM,0.725,7250,11905,,
6/13/2019,3:16:13 PM,0.722,7220,11910,,
6/13/2019,3:16:18 PM,0.7195,7195,11915,,
6/13/2019,3:16:23 PM,0.7175,7175,11920,,
6/13/2019,3:16:28 PM,0.716,7160,11925,,
6/13/2019,3:16:33 PM,0.7155,7155,11930,,
6/13/2019,3:16:38 PM,0.7155,7155,11935,,
6/13/2019,3:16:43 PM,0.715,7150,11940,,
6/13/2019,3:16:48 PM,0.7155,7155,11945,,
6/13/2019,3:16:53 PM,0.7165,7165,11950,,
6/13/2019,3:16:58 PM,0.716,7160,11955,,
6/13/2019,3:17:03 PM,0.7145,7145,11960,,
6/13/2019,3:17:08 PM,0.7125,7125,11965,,
6/13/2019,3:17:13 PM,0.7115,7115,11970,,
6/13/2019,3:17:18 PM,0.7105,7105,11975,,
6/13/2019,3:17:23 PM,0.7095,7095,11980,,
6/13/2019,3:17:28 PM,0.7075,7075,11985,,
6/13/2019,3:17:33 PM,0.7065,7065,11990,,
6/13/2019,3:17:38 PM,0.7065,7065,11995,,
6/13/2019,3:17:43 PM,0.707,7070,12000,,
6/13/2019,3:17:48 PM,0.7075,7075,12005,,
6/13/2019,3:17:53 PM,0.708,7080,12010,,
6/13/2019,3:17:58 PM,0.708,7080,12015,,
6/13/2019,3:18:03 PM,0.707,7070,12020,,
6/13/2019,3:18:08 PM,0.7065,7065,12025,,
6/13/2019,3:18:13 PM,0.707,7070,12030,,
6/13/2019,3:18:18 PM,0.7065,7065,12035,,
6/13/2019,3:18:23 PM,0.7055,7055,12040,,
6/13/2019,3:18:28 PM,0.704,7040,12045,,
6/13/2019,3:18:33 PM,0.7035,7035,12050,,
6/13/2019,3:18:38 PM,0.702,7020,12055,,
6/13/2019,3:18:43 PM,0.7015,7015,12060,,
6/13/2019,3:18:48 PM,0.7,7000,12065,,
6/13/2019,3:18:53 PM,0.699,6990,12070,,
6/13/2019,3:18:58 PM,0.6985,6985,12075,,
6/13/2019,3:19:03 PM,0.698,6980,12080,,
6/13/2019,3:19:08 PM,0.6975,6975,12085,,
6/13/2019,3:19:13 PM,0.6965,6965,12090,,
6/13/2019,3:19:18 PM,0.6965,6965,12095,,
6/13/2019,3:19:23 PM,0.6965,6965,12100,,
6/13/2019,3:19:28 PM,0.6965,6965,12105,,
6/13/2019,3:19:33 PM,0.697,6970,12110,,
6/13/2019,3:19:38 PM,0.6975,6975,12115,,
6/13/2019,3:19:43 PM,0.696,6960,12120,,
6/13/2019,3:19:48 PM,0.6945,6945,12125,,
6/13/2019,3:19:53 PM,0.6935,6935,12130,,
6/13/2019,3:19:58 PM,0.693,6930,12135,,
6/13/2019,3:20:03 PM,0.6905,6905,12140,,
6/13/2019,3:20:08 PM,0.6885,6885,12145,,
6/13/2019,3:20:13 PM,0.6885,6885,12150,,
6/13/2019,3:20:18 PM,0.6895,6895,12155,,
6/13/2019,3:20:23 PM,0.6895,6895,12160,,
6/13/2019,3:20:28 PM,0.689,6890,12165,,
6/13/2019,3:20:33 PM,0.6875,6875,12170,,
6/13/2019,3:20:38 PM,0.687,6870,12175,,
6/13/2019,3:20:43 PM,0.687,6870,12180,,
6/13/2019,3:20:48 PM,0.687,6870,12185,,
6/13/2019,3:20:53 PM,0.6845,6845,12190,,
6/13/2019,3:20:58 PM,0.682,6820,12195,,
6/13/2019,3:21:03 PM,0.68,6800,12200,,
6/13/2019,3:21:08 PM,0.68,6800,12205,,
6/13/2019,3:21:13 PM,0.6815,6815,12210,,
6/13/2019,3:21:18 PM,0.6815,6815,12215,,
6/13/2019,3:21:23 PM,0.68,6800,12220,,
6/13/2019,3:21:28 PM,0.68,6800,12225,,
6/13/2019,3:21:33 PM,0.681,6810,12230,,
6/13/2019,3:21:38 PM,0.6815,6815,12235,,
6/13/2019,3:21:43 PM,0.68,6800,12240,,
6/13/2019,3:21:48 PM,0.6775,6775,12245,,
6/13/2019,3:21:53 PM,0.6755,6755,12250,,
6/13/2019,3:21:58 PM,0.675,6750,12255,,
6/13/2019,3:22:03 PM,0.674,6740,12260,,
6/13/2019,3:22:08 PM,0.672,6720,12265,,
6/13/2019,3:22:13 PM,0.6695,6695,12270,,
6/13/2019,3:22:18 PM,0.668,6680,12275,,
6/13/2019,3:22:23 PM,0.6665,6665,12280,,
6/13/2019,3:22:28 PM,0.665,6650,12285,,
6/13/2019,3:22:33 PM,0.664,6640,12290,,
6/13/2019,3:22:38 PM,0.663,6630,12295,,
6/13/2019,3:22:43 PM,0.6635,6635,12300,,
6/13/2019,3:22:48 PM,0.665,6650,12305,,
6/13/2019,3:22:53 PM,0.6655,6655,12310,,
6/13/2019,3:22:58 PM,0.665,6650,12315,,
6/13/2019,3:23:03 PM,0.6635,6635,12320,,
6/13/2019,3:23:08 PM,0.663,6630,12325,,
6/13/2019,3:23:13 PM,0.663,6630,12330,,
6/13/2019,3:23:18 PM,0.6625,6625,12335,,
6/13/2019,3:23:23 PM,0.661,6610,12340,,
6/13/2019,3:23:28 PM,0.66,6600,12345,,
6/13/2019,3:23:33 PM,0.66,6600,12350,,
6/13/2019,3:23:38 PM,0.6585,6585,12355,,
6/13/2019,3:23:43 PM,0.6575,6575,12360,,
6/13/2019,3:23:48 PM,0.6565,6565,12365,,
6/13/2019,3:23:53 PM,0.657,6570,12370,,
6/13/2019,3:23:58 PM,0.6565,6565,12375,,
6/13/2019,3:24:03 PM,0.658,6580,12380,,
6/13/2019,3:24:08 PM,0.659,6590,12385,,
6/13/2019,3:24:13 PM,0.659,6590,12390,,
6/13/2019,3:24:18 PM,0.658,6580,12395,,
6/13/2019,3:24:23 PM,0.6555,6555,12400,,
6/13/2019,3:24:28 PM,0.654,6540,12405,,
6/13/2019,3:24:33 PM,0.6525,6525,12410,,
6/13/2019,3:24:38 PM,0.6505,6505,12415,,
6/13/2019,3:24:43 PM,0.6485,6485,12420,,
6/13/2019,3:24:48 PM,0.6475,6475,12425,,
6/13/2019,3:24:53 PM,0.648,6480,12430,,
6/13/2019,3:24:58 PM,0.648,6480,12435,,
6/13/2019,3:25:03 PM,0.646,6460,12440,,
6/13/2019,3:25:08 PM,0.6455,6455,12445,,
6/13/2019,3:25:13 PM,0.647,6470,12450,,
6/13/2019,3:25:18 PM,0.6485,6485,12455,,
6/13/2019,3:25:23 PM,0.649,6490,12460,,
6/13/2019,3:25:28 PM,0.649,6490,12465,,
6/13/2019,3:25:33 PM,0.649,6490,12470,,
6/13/2019,3:25:38 PM,0.648,6480,12475,,
6/13/2019,3:25:43 PM,0.647,6470,12480,,
6/13/2019,3:25:48 PM,0.647,6470,12485,,
6/13/2019,3:25:53 PM,0.646,6460,12490,,
6/13/2019,3:25:58 PM,0.6455,6455,12495,,
6/13/2019,3:26:03 PM,0.6455,6455,12500,,
6/13/2019,3:26:08 PM,0.646,6460,12505,,
6/13/2019,3:26:13 PM,0.646,6460,12510,,
6/13/2019,3:26:18 PM,0.6445,6445,12515,,
6/13/2019,3:26:23 PM,0.6435,6435,12520,,
6/13/2019,3:26:28 PM,0.6425,6425,12525,,
6/13/2019,3:26:33 PM,0.642,6420,12530,,
6/13/2019,3:26:38 PM,0.6405,6405,12535,,
6/13/2019,3:26:43 PM,0.639,6390,12540,,
6/13/2019,3:26:48 PM,0.6385,6385,12545,,
6/13/2019,3:26:53 PM,0.6385,6385,12550,,
6/13/2019,3:26:58 PM,0.64,6400,12555,,
6/13/2019,3:27:03 PM,0.6405,6405,12560,,
6/13/2019,3:27:08 PM,0.64,6400,12565,,
6/13/2019,3:27:13 PM,0.638,6380,12570,,
6/13/2019,3:27:18 PM,0.6365,6365,12575,,
6/13/2019,3:27:23 PM,0.6355,6355,12580,,
6/13/2019,3:27:28 PM,0.636,6360,12585,,
6/13/2019,3:27:33 PM,0.6365,6365,12590,,
6/13/2019,3:27:38 PM,0.636,6360,12595,,
6/13/2019,3:27:43 PM,0.634,6340,12600,,
6/13/2019,3:27:48 PM,0.633,6330,12605,,
6/13/2019,3:27:53 PM,0.6325,6325,12610,,
6/13/2019,3:27:58 PM,0.631,6310,12615,,
6/13/2019,3:28:03 PM,0.63,6300,12620,,
6/13/2019,3:28:08 PM,0.629,6290,12625,,
6/13/2019,3:28:13 PM,0.629,6290,12630,,
6/13/2019,3:28:18 PM,0.6285,6285,12635,,
6/13/2019,3:28:23 PM,0.6275,6275,12640,,
6/13/2019,3:28:28 PM,0.6265,6265,12645,,
6/13/2019,3:28:33 PM,0.627,6270,12650,,
6/13/2019,3:28:38 PM,0.628,6280,12655,,
6/13/2019,3:28:43 PM,0.629,6290,12660,,
6/13/2019,3:28:48 PM,0.629,6290,12665,,
6/13/2019,3:28:53 PM,0.628,6280,12670,,
6/13/2019,3:28:58 PM,0.626,6260,12675,,
6/13/2019,3:29:03 PM,0.625,6250,12680,,
6/13/2019,3:29:08 PM,0.625,6250,12685,,
6/13/2019,3:29:13 PM,0.626,6260,12690,,
6/13/2019,3:29:18 PM,0.6255,6255,12695,,
6/13/2019,3:29:23 PM,0.625,6250,12700,,
6/13/2019,3:29:28 PM,0.625,6250,12705,,
6/13/2019,3:29:33 PM,0.625,6250,12710,,
6/13/2019,3:29:38 PM,0.625,6250,12715,,
6/13/2019,3:29:43 PM,0.6255,6255,12720,,
6/13/2019,3:29:48 PM,0.6255,6255,12725,,
6/13/2019,3:29:53 PM,0.6255,6255,12730,,
6/13/2019,3:29:58 PM,0.6245,6245,12735,,
6/13/2019,3:30:03 PM,0.6235,6235,12740,,
6/13/2019,3:30:08 PM,0.6235,6235,12745,,
6/13/2019,3:30:13 PM,0.6235,6235,12750,,
6/13/2019,3:30:18 PM,0.6235,6235,12755,,
6/13/2019,3:30:23 PM,0.624,6240,12760,,
6/13/2019,3:30:28 PM,0.623,6230,12765,,
6/13/2019,3:30:33 PM,0.622,6220,12770,,
6/13/2019,3:30:38 PM,0.62,6200,12775,,
6/13/2019,3:30:43 PM,0.6185,6185,12780,,
6/13/2019,3:30:48 PM,0.617,6170,12785,,
6/13/2019,3:30:53 PM,0.616,6160,12790,,
6/13/2019,3:30:58 PM,0.6145,6145,12795,,
6/13/2019,3:31:03 PM,0.6145,6145,12800,,
6/13/2019,3:31:08 PM,0.6145,6145,12805,,
6/13/2019,3:31:13 PM,0.614,6140,12810,,
6/13/2019,3:31:18 PM,0.613,6130,12815,,
6/13/2019,3:31:23 PM,0.613,6130,12820,,
6/13/2019,3:31:28 PM,0.615,6150,12825,,
6/13/2019,3:31:33 PM,0.616,6160,12830,,
6/13/2019,3:31:38 PM,0.616,6160,12835,,
6/13/2019,3:31:43 PM,0.615,6150,12840,,
6/13/2019,3:31:48 PM,0.614,6140,12845,,
6/13/2019,3:31:53 PM,0.613,6130,12850,,
6/13/2019,3:31:58 PM,0.613,6130,12855,,
6/13/2019,3:32:03 PM,0.6125,6125,12860,,
6/13/2019,3:32:08 PM,0.612,6120,12865,,
6/13/2019,3:32:13 PM,0.6115,6115,12870,,
6/13/2019,3:32:18 PM,0.61,6100,12875,,
6/13/2019,3:32:23 PM,0.61,6100,12880,,
6/13/2019,3:32:28 PM,0.61,6100,12885,,
6/13/2019,3:32:33 PM,0.6105,6105,12890,,
6/13/2019,3:32:38 PM,0.611,6110,12895,,
6/13/2019,3:32:43 PM,0.611,6110,12900,,
6/13/2019,3:32:48 PM,0.611,6110,12905,,
6/13/2019,3:32:53 PM,0.6105,6105,12910,,
6/13/2019,3:32:58 PM,0.6105,6105,12915,,
6/13/2019,3:33:03 PM,0.6105,6105,12920,,
6/13/2019,3:33:08 PM,0.6115,6115,12925,,
6/13/2019,3:33:13 PM,0.6115,6115,12930,,
6/13/2019,3:33:18 PM,0.6105,6105,12935,,
6/13/2019,3:33:23 PM,0.6095,6095,12940,,
6/13/2019,3:33:28 PM,0.6095,6095,12945,,
6/13/2019,3:33:33 PM,0.61,6100,12950,,
6/13/2019,3:33:38 PM,0.6105,6105,12955,,
6/13/2019,3:33:43 PM,0.611,6110,12960,,
6/13/2019,3:33:48 PM,0.611,6110,12965,,
6/13/2019,3:33:53 PM,0.6115,6115,12970,,
6/13/2019,3:33:58 PM,0.612,6120,12975,,
6/13/2019,3:34:03 PM,0.612,6120,12980,,
6/13/2019,3:34:08 PM,0.6115,6115,12985,,
6/13/2019,3:34:13 PM,0.611,6110,12990,,
6/13/2019,3:34:18 PM,0.609,6090,12995,,
6/13/2019,3:34:23 PM,0.608,6080,13000,,
6/13/2019,3:34:28 PM,0.6075,6075,13005,,
6/13/2019,3:34:33 PM,0.607,6070,13010,,
6/13/2019,3:34:38 PM,0.6065,6065,13015,,
6/13/2019,3:34:43 PM,0.606,6060,13020,,
6/13/2019,3:34:48 PM,0.605,6050,13025,,
6/13/2019,3:34:53 PM,0.6045,6045,13030,,
6/13/2019,3:34:58 PM,0.6045,6045,13035,,
6/13/2019,3:35:03 PM,0.605,6050,13040,,
6/13/2019,3:35:08 PM,0.6055,6055,13045,,
6/13/2019,3:35:13 PM,0.6055,6055,13050,,
6/13/2019,3:35:18 PM,0.6045,6045,13055,,
6/13/2019,3:35:23 PM,0.6045,6045,13060,,
6/13/2019,3:35:28 PM,0.6045,6045,13065,,
6/13/2019,3:35:33 PM,0.6035,6035,13070,,
6/13/2019,3:35:38 PM,0.6035,6035,13075,,
6/13/2019,3:35:43 PM,0.603,6030,13080,,
6/13/2019,3:35:48 PM,0.602,6020,13085,,
6/13/2019,3:35:53 PM,0.5995,5995,13090,,
6/13/2019,3:35:58 PM,0.5985,5985,13095,,
6/13/2019,3:36:03 PM,0.599,5990,13100,,
6/13/2019,3:36:08 PM,0.599,5990,13105,,
6/13/2019,3:36:13 PM,0.5985,5985,13110,,
6/13/2019,3:36:18 PM,0.597,5970,13115,,
6/13/2019,3:36:23 PM,0.597,5970,13120,,
6/13/2019,3:36:28 PM,0.5965,5965,13125,,
6/13/2019,3:36:33 PM,0.596,5960,13130,,
6/13/2019,3:36:38 PM,0.5965,5965,13135,,
6/13/2019,3:36:43 PM,0.5975,5975,13140,,
6/13/2019,3:36:48 PM,0.5995,5995,13145,,
6/13/2019,3:36:53 PM,0.601,6010,13150,,
6/13/2019,3:36:58 PM,0.6015,6015,13155,,
6/13/2019,3:37:03 PM,0.6005,6005,13160,,
6/13/2019,3:37:08 PM,0.599,5990,13165,,
6/13/2019,3:37:13 PM,0.597,5970,13170,,
6/13/2019,3:37:18 PM,0.598,5980,13175,,
6/13/2019,3:37:23 PM,0.598,5980,13180,,
6/13/2019,3:37:28 PM,0.5975,5975,13185,,
6/13/2019,3:37:33 PM,0.595,5950,13190,,
6/13/2019,3:37:38 PM,0.5935,5935,13195,,
6/13/2019,3:37:43 PM,0.5945,5945,13200,,
6/13/2019,3:37:48 PM,0.595,5950,13205,,
6/13/2019,3:37:53 PM,0.5955,5955,13210,,
6/13/2019,3:37:58 PM,0.596,5960,13215,,
6/13/2019,3:38:03 PM,0.598,5980,13220,,
6/13/2019,3:38:08 PM,0.6,6000,13225,,
6/13/2019,3:38:13 PM,0.6,6000,13230,,
6/13/2019,3:38:18 PM,0.599,5990,13235,,
6/13/2019,3:38:23 PM,0.5985,5985,13240,,
6/13/2019,3:38:28 PM,0.5975,5975,13245,,
6/13/2019,3:38:33 PM,0.5965,5965,13250,,
6/13/2019,3:38:38 PM,0.596,5960,13255,,
6/13/2019,3:38:43 PM,0.596,5960,13260,,
6/13/2019,3:38:48 PM,0.596,5960,13265,,
6/13/2019,3:38:53 PM,0.5955,5955,13270,,
6/13/2019,3:38:58 PM,0.5945,5945,13275,,
6/13/2019,3:39:03 PM,0.592,5920,13280,,
6/13/2019,3:39:08 PM,0.59,5900,13285,,
6/13/2019,3:39:13 PM,0.5895,5895,13290,,
6/13/2019,3:39:18 PM,0.59,5900,13295,,
6/13/2019,3:39:23 PM,0.5915,5915,13300,,
6/13/2019,3:39:28 PM,0.5925,5925,13305,,
6/13/2019,3:39:33 PM,0.5925,5925,13310,,
6/13/2019,3:39:38 PM,0.5915,5915,13315,,
6/13/2019,3:39:43 PM,0.5915,5915,13320,,
6/13/2019,3:39:48 PM,0.5915,5915,13325,,
6/13/2019,3:39:53 PM,0.591,5910,13330,,
6/13/2019,3:39:58 PM,0.5905,5905,13335,,
6/13/2019,3:40:03 PM,0.5905,5905,13340,,
6/13/2019,3:40:08 PM,0.5905,5905,13345,,
6/13/2019,3:40:13 PM,0.59,5900,13350,,
6/13/2019,3:40:18 PM,0.59,5900,13355,,
6/13/2019,3:40:23 PM,0.5905,5905,13360,,
6/13/2019,3:40:28 PM,0.59,5900,13365,,
6/13/2019,3:40:33 PM,0.5895,5895,13370,,
6/13/2019,3:40:38 PM,0.5885,5885,13375,,
6/13/2019,3:40:43 PM,0.588,5880,13380,,
6/13/2019,3:40:48 PM,0.588,5880,13385,,
6/13/2019,3:40:53 PM,0.587,5870,13390,,
6/13/2019,3:40:58 PM,0.587,5870,13395,,
6/13/2019,3:41:03 PM,0.5875,5875,13400,,
6/13/2019,3:41:08 PM,0.5875,5875,13405,,
6/13/2019,3:41:13 PM,0.5875,5875,13410,,
6/13/2019,3:41:18 PM,0.588,5880,13415,,
6/13/2019,3:41:23 PM,0.5895,5895,13420,,
6/13/2019,3:41:28 PM,0.59,5900,13425,,
6/13/2019,3:41:33 PM,0.5895,5895,13430,,
6/13/2019,3:41:38 PM,0.5895,5895,13435,,
6/13/2019,3:41:43 PM,0.5885,5885,13440,,
6/13/2019,3:41:48 PM,0.588,5880,13445,,
6/13/2019,3:41:53 PM,0.5875,5875,13450,,
6/13/2019,3:41:58 PM,0.588,5880,13455,,
6/13/2019,3:42:03 PM,0.589,5890,13460,,
6/13/2019,3:42:08 PM,0.5895,5895,13465,,
6/13/2019,3:42:13 PM,0.5895,5895,13470,,
6/13/2019,3:42:18 PM,0.5885,5885,13475,,
6/13/2019,3:42:23 PM,0.589,5890,13480,,
6/13/2019,3:42:28 PM,0.5895,5895,13485,,
6/13/2019,3:42:33 PM,0.5895,5895,13490,,
6/13/2019,3:42:38 PM,0.589,5890,13495,,
6/13/2019,3:42:43 PM,0.5885,5885,13500,,
6/13/2019,3:42:48 PM,0.586,5860,13505,,
6/13/2019,3:42:53 PM,0.5845,5845,13510,,
6/13/2019,3:42:58 PM,0.584,5840,13515,,
6/13/2019,3:43:03 PM,0.584,5840,13520,,
6/13/2019,3:43:08 PM,0.585,5850,13525,,
6/13/2019,3:43:13 PM,0.5865,5865,13530,,
6/13/2019,3:43:18 PM,0.589,5890,13535,,
6/13/2019,3:43:23 PM,0.591,5910,13540,,
6/13/2019,3:43:28 PM,0.5905,5905,13545,,
6/13/2019,3:43:33 PM,0.589,5890,13550,,
