,"CO2, ppm"
7/10/2019 15:08:49 ,3870
7/10/2019 15:08:50 ,3880
7/10/2019 15:08:51 ,3890
7/10/2019 15:08:52 ,3890
7/10/2019 15:08:53 ,3900
7/10/2019 15:08:54 ,3910
7/10/2019 15:08:55 ,3920
7/10/2019 15:08:56 ,3930
7/10/2019 15:08:57 ,3940
7/10/2019 15:08:58 ,3950
7/10/2019 15:08:59 ,3970
7/10/2019 15:09:00 ,3990
7/10/2019 15:09:01 ,4000
7/10/2019 15:09:02 ,4010
7/10/2019 15:09:03 ,4030
7/10/2019 15:09:04 ,4040
7/10/2019 15:09:05 ,4050
7/10/2019 15:09:06 ,4050
7/10/2019 15:09:07 ,4060
7/10/2019 15:09:08 ,4050
7/10/2019 15:09:09 ,4050
7/10/2019 15:09:10 ,4040
7/10/2019 15:09:11 ,4040
7/10/2019 15:09:12 ,4030
7/10/2019 15:09:13 ,4020
7/10/2019 15:09:14 ,4020
7/10/2019 15:09:15 ,4010
7/10/2019 15:09:16 ,4000
7/10/2019 15:09:17 ,4000
7/10/2019 15:09:18 ,3990
7/10/2019 15:09:19 ,4000
7/10/2019 15:09:20 ,4000
7/10/2019 15:09:21 ,4010
7/10/2019 15:09:22 ,4020
7/10/2019 15:09:23 ,4040
7/10/2019 15:09:24 ,4060
7/10/2019 15:09:25 ,4090
7/10/2019 15:09:26 ,4110
7/10/2019 15:09:27 ,4150
7/10/2019 15:09:28 ,4180
7/10/2019 15:09:29 ,4230
7/10/2019 15:09:30 ,4270
7/10/2019 15:09:31 ,4290
7/10/2019 15:09:32 ,4330
7/10/2019 15:09:33 ,4370
7/10/2019 15:09:34 ,4410
7/10/2019 15:09:35 ,4440
7/10/2019 15:09:36 ,4460
7/10/2019 15:09:37 ,4490
7/10/2019 15:09:38 ,4520
7/10/2019 15:09:39 ,4540
7/10/2019 15:09:40 ,4550
7/10/2019 15:09:41 ,4560
7/10/2019 15:09:42 ,4570
7/10/2019 15:09:43 ,4590
7/10/2019 15:09:44 ,4600
7/10/2019 15:09:45 ,4610
7/10/2019 15:09:46 ,4610
7/10/2019 15:09:47 ,4610
7/10/2019 15:09:48 ,4610
7/10/2019 15:09:49 ,4610
7/10/2019 15:09:50 ,4600
7/10/2019 15:09:51 ,4600
7/10/2019 15:09:52 ,4580
7/10/2019 15:09:53 ,4570
7/10/2019 15:09:54 ,4550
7/10/2019 15:09:55 ,4530
7/10/2019 15:09:56 ,4510
7/10/2019 15:09:57 ,4500
7/10/2019 15:09:58 ,4480
7/10/2019 15:09:59 ,4470
7/10/2019 15:10:00 ,4460
7/10/2019 15:10:01 ,4460
7/10/2019 15:10:02 ,4450
7/10/2019 15:10:03 ,4450
7/10/2019 15:10:04 ,4450
7/10/2019 15:10:05 ,4460
7/10/2019 15:10:06 ,4460
7/10/2019 15:10:07 ,4470
7/10/2019 15:10:08 ,4470
7/10/2019 15:10:09 ,4470
7/10/2019 15:10:10 ,4480
7/10/2019 15:10:11 ,4480
7/10/2019 15:10:12 ,4490
7/10/2019 15:10:13 ,4490
7/10/2019 15:10:14 ,4500
7/10/2019 15:10:15 ,4510
7/10/2019 15:10:16 ,4520
7/10/2019 15:10:17 ,4530
7/10/2019 15:10:18 ,4530
7/10/2019 15:10:19 ,4540
7/10/2019 15:10:20 ,4550
7/10/2019 15:10:21 ,4550
7/10/2019 15:10:22 ,4560
7/10/2019 15:10:23 ,4570
7/10/2019 15:10:24 ,4570
7/10/2019 15:10:25 ,4570
7/10/2019 15:10:26 ,4570
7/10/2019 15:10:27 ,4580
7/10/2019 15:10:28 ,4590
7/10/2019 15:10:29 ,4600
7/10/2019 15:10:30 ,4620
7/10/2019 15:10:31 ,4620
7/10/2019 15:10:32 ,4630
7/10/2019 15:10:33 ,4640
7/10/2019 15:10:34 ,4640
7/10/2019 15:10:35 ,4640
7/10/2019 15:10:36 ,4640
7/10/2019 15:10:37 ,4630
7/10/2019 15:10:38 ,4630
7/10/2019 15:10:39 ,4620
7/10/2019 15:10:40 ,4610
7/10/2019 15:10:41 ,4610
7/10/2019 15:10:42 ,4610
7/10/2019 15:10:43 ,4610
7/10/2019 15:10:44 ,4620
7/10/2019 15:10:45 ,4620
7/10/2019 15:10:46 ,4630
7/10/2019 15:10:47 ,4640
7/10/2019 15:10:48 ,4650
7/10/2019 15:10:49 ,4660
7/10/2019 15:10:50 ,4670
7/10/2019 15:10:51 ,4680
7/10/2019 15:10:52 ,4690
7/10/2019 15:10:53 ,4700
7/10/2019 15:10:54 ,4720
7/10/2019 15:10:55 ,4730
7/10/2019 15:10:56 ,4740
7/10/2019 15:10:57 ,4760
7/10/2019 15:10:58 ,4770
7/10/2019 15:10:59 ,4770
7/10/2019 15:11:00 ,4770
7/10/2019 15:11:01 ,4770
7/10/2019 15:11:02 ,4760
7/10/2019 15:11:03 ,4760
7/10/2019 15:11:04 ,4750
7/10/2019 15:11:05 ,4740
7/10/2019 15:11:06 ,4720
7/10/2019 15:11:07 ,4700
7/10/2019 15:11:08 ,4690
7/10/2019 15:11:09 ,4680
