,"CO2, ppm"
7/6/2019 13:30:03 ,770
7/6/2019 13:30:04 ,770
7/6/2019 13:30:05 ,770
7/6/2019 13:30:06 ,780
7/6/2019 13:30:07 ,790
7/6/2019 13:30:08 ,800
7/6/2019 13:30:09 ,820
7/6/2019 13:30:10 ,840
7/6/2019 13:30:11 ,870
7/6/2019 13:30:12 ,910
7/6/2019 13:30:13 ,940
7/6/2019 13:30:14 ,980
7/6/2019 13:30:15 ,1030
7/6/2019 13:30:16 ,1080
7/6/2019 13:30:17 ,1140
7/6/2019 13:30:18 ,1180
7/6/2019 13:30:19 ,1230
7/6/2019 13:30:20 ,1290
7/6/2019 13:30:21 ,1340
7/6/2019 13:30:22 ,1400
7/6/2019 13:30:23 ,1430
7/6/2019 13:30:24 ,1480
7/6/2019 13:30:25 ,1530
7/6/2019 13:30:26 ,1570
7/6/2019 13:30:27 ,1610
7/6/2019 13:30:28 ,1630
7/6/2019 13:30:29 ,1670
7/6/2019 13:30:30 ,1700
7/6/2019 13:30:31 ,1730
7/6/2019 13:30:32 ,1760
7/6/2019 13:30:33 ,1780
7/6/2019 13:30:34 ,1810
7/6/2019 13:30:35 ,1840
7/6/2019 13:30:36 ,1870
7/6/2019 13:30:37 ,1900
7/6/2019 13:30:38 ,1920
7/6/2019 13:30:39 ,1960
7/6/2019 13:30:40 ,2000
7/6/2019 13:30:41 ,2040
7/6/2019 13:30:42 ,2090
7/6/2019 13:30:43 ,2120
7/6/2019 13:30:44 ,2160
7/6/2019 13:30:45 ,2210
7/6/2019 13:30:46 ,2250
7/6/2019 13:30:47 ,2300
7/6/2019 13:30:48 ,2330
7/6/2019 13:30:49 ,2380
7/6/2019 13:30:50 ,2430
7/6/2019 13:30:51 ,2470
7/6/2019 13:30:52 ,2510
7/6/2019 13:30:53 ,2540
7/6/2019 13:30:54 ,2580
7/6/2019 13:30:55 ,2620
7/6/2019 13:30:56 ,2650
7/6/2019 13:30:57 ,2680
7/6/2019 13:30:58 ,2700
7/6/2019 13:30:59 ,2730
7/6/2019 13:31:00 ,2760
7/6/2019 13:31:01 ,2790
7/6/2019 13:31:02 ,2810
7/6/2019 13:31:03 ,2830
7/6/2019 13:31:04 ,2850
7/6/2019 13:31:05 ,2870
7/6/2019 13:31:06 ,2900
7/6/2019 13:31:07 ,2910
7/6/2019 13:31:08 ,2930
7/6/2019 13:31:09 ,2960
7/6/2019 13:31:10 ,2980
7/6/2019 13:31:11 ,3000
7/6/2019 13:31:12 ,3020
7/6/2019 13:31:13 ,3050
7/6/2019 13:31:14 ,3070
7/6/2019 13:31:15 ,3100
7/6/2019 13:31:16 ,3120
7/6/2019 13:31:17 ,3140
7/6/2019 13:31:18 ,3170
7/6/2019 13:31:19 ,3190
7/6/2019 13:31:20 ,3220
7/6/2019 13:31:21 ,3240
7/6/2019 13:31:22 ,3260
7/6/2019 13:31:23 ,3280
7/6/2019 13:31:24 ,3310
