,"CO2, ppm"
7/6/2019 13:20:22 ,1060
7/6/2019 13:20:23 ,1140
7/6/2019 13:20:24 ,1230
7/6/2019 13:20:25 ,1310
7/6/2019 13:20:26 ,1390
7/6/2019 13:20:27 ,1450
7/6/2019 13:20:28 ,1530
7/6/2019 13:20:29 ,1600
7/6/2019 13:20:30 ,1680
7/6/2019 13:20:31 ,1740
7/6/2019 13:20:32 ,1790
7/6/2019 13:20:33 ,1850
7/6/2019 13:20:34 ,1900
7/6/2019 13:20:35 ,1960
7/6/2019 13:20:36 ,2000
7/6/2019 13:20:37 ,2030
7/6/2019 13:20:38 ,2080
7/6/2019 13:20:39 ,2120
7/6/2019 13:20:40 ,2160
7/6/2019 13:20:41 ,2200
7/6/2019 13:20:42 ,2230
7/6/2019 13:20:43 ,2270
7/6/2019 13:20:44 ,2320
7/6/2019 13:20:45 ,2360
7/6/2019 13:20:46 ,2400
7/6/2019 13:20:47 ,2430
7/6/2019 13:20:48 ,2480
7/6/2019 13:20:49 ,2520
7/6/2019 13:20:50 ,2570
7/6/2019 13:20:51 ,2610
7/6/2019 13:20:52 ,2640
7/6/2019 13:20:53 ,2680
7/6/2019 13:20:54 ,2730
7/6/2019 13:20:55 ,2760
7/6/2019 13:20:56 ,2800
7/6/2019 13:20:57 ,2820
7/6/2019 13:20:58 ,2850
7/6/2019 13:20:59 ,2870
7/6/2019 13:21:00 ,2890
7/6/2019 13:21:01 ,2910
7/6/2019 13:21:02 ,2930
7/6/2019 13:21:03 ,2940
7/6/2019 13:21:04 ,2960
7/6/2019 13:21:05 ,2980
7/6/2019 13:21:06 ,3000
7/6/2019 13:21:07 ,3010
7/6/2019 13:21:08 ,3020
7/6/2019 13:21:09 ,3040
7/6/2019 13:21:10 ,3060
7/6/2019 13:21:11 ,3080
7/6/2019 13:21:12 ,3100
7/6/2019 13:21:13 ,3120
7/6/2019 13:21:14 ,3140
7/6/2019 13:21:15 ,3160
7/6/2019 13:21:16 ,3180
7/6/2019 13:21:17 ,3200
7/6/2019 13:21:18 ,3220
7/6/2019 13:21:19 ,3250
7/6/2019 13:21:20 ,3280
7/6/2019 13:21:21 ,3300
7/6/2019 13:21:22 ,3310
7/6/2019 13:21:23 ,3330
7/6/2019 13:21:24 ,3350
7/6/2019 13:21:25 ,3370
7/6/2019 13:21:26 ,3390
7/6/2019 13:21:27 ,3410
7/6/2019 13:21:28 ,3420
7/6/2019 13:21:29 ,3440
7/6/2019 13:21:30 ,3450
7/6/2019 13:21:31 ,3470
7/6/2019 13:21:32 ,3480
7/6/2019 13:21:33 ,3490
7/6/2019 13:21:34 ,3510
7/6/2019 13:21:35 ,3520
7/6/2019 13:21:36 ,3530
7/6/2019 13:21:37 ,3550
7/6/2019 13:21:38 ,3560
7/6/2019 13:21:39 ,3580
7/6/2019 13:21:40 ,3610
7/6/2019 13:21:41 ,3620
7/6/2019 13:21:42 ,3650
7/6/2019 13:21:43 ,3670
7/6/2019 13:21:44 ,3690
7/6/2019 13:21:45 ,3710
7/6/2019 13:21:46 ,3720
7/6/2019 13:21:47 ,3730
7/6/2019 13:21:48 ,3740
7/6/2019 13:21:49 ,3750
7/6/2019 13:21:50 ,3760
7/6/2019 13:21:51 ,3760
7/6/2019 13:21:52 ,3770
7/6/2019 13:21:53 ,3770
7/6/2019 13:21:54 ,3780
7/6/2019 13:21:55 ,3780
7/6/2019 13:21:56 ,3780
7/6/2019 13:21:57 ,3780
7/6/2019 13:21:58 ,3780
7/6/2019 13:21:59 ,3770
7/6/2019 13:22:00 ,3770
7/6/2019 13:22:01 ,3770
7/6/2019 13:22:02 ,3760
7/6/2019 13:22:03 ,3760
7/6/2019 13:22:04 ,3760
7/6/2019 13:22:05 ,3760
7/6/2019 13:22:06 ,3760
7/6/2019 13:22:07 ,3770
7/6/2019 13:22:08 ,3770
7/6/2019 13:22:09 ,3780
7/6/2019 13:22:10 ,3790
7/6/2019 13:22:11 ,3800
7/6/2019 13:22:12 ,3810
7/6/2019 13:22:13 ,3810
