,"CO2, ppm"
7/6/2019 13:43:59 ,1280
7/6/2019 13:44:00 ,1310
7/6/2019 13:44:01 ,1330
7/6/2019 13:44:02 ,1370
7/6/2019 13:44:03 ,1410
7/6/2019 13:44:04 ,1460
7/6/2019 13:44:05 ,1500
7/6/2019 13:44:06 ,1530
7/6/2019 13:44:07 ,1580
7/6/2019 13:44:08 ,1640
7/6/2019 13:44:09 ,1690
7/6/2019 13:44:10 ,1740
7/6/2019 13:44:11 ,1780
7/6/2019 13:44:12 ,1830
7/6/2019 13:44:13 ,1880
7/6/2019 13:44:14 ,1930
7/6/2019 13:44:15 ,1980
7/6/2019 13:44:16 ,2010
7/6/2019 13:44:17 ,2050
7/6/2019 13:44:18 ,2090
7/6/2019 13:44:19 ,2120
7/6/2019 13:44:20 ,2160
7/6/2019 13:44:21 ,2180
7/6/2019 13:44:22 ,2220
7/6/2019 13:44:23 ,2260
7/6/2019 13:44:24 ,2290
7/6/2019 13:44:25 ,2330
7/6/2019 13:44:26 ,2360
7/6/2019 13:44:27 ,2400
7/6/2019 13:44:28 ,2450
7/6/2019 13:44:29 ,2490
7/6/2019 13:44:30 ,2540
7/6/2019 13:44:31 ,2570
7/6/2019 13:44:32 ,2610
7/6/2019 13:44:33 ,2650
7/6/2019 13:44:34 ,2700
7/6/2019 13:44:35 ,2740
7/6/2019 13:44:36 ,2770
7/6/2019 13:44:37 ,2810
7/6/2019 13:44:38 ,2850
7/6/2019 13:44:39 ,2900
7/6/2019 13:44:40 ,2930
7/6/2019 13:44:41 ,2960
7/6/2019 13:44:42 ,2990
7/6/2019 13:44:43 ,3020
7/6/2019 13:44:44 ,3050
7/6/2019 13:44:45 ,3080
7/6/2019 13:44:46 ,3100
7/6/2019 13:44:47 ,3120
7/6/2019 13:44:48 ,3150
7/6/2019 13:44:49 ,3170
7/6/2019 13:44:50 ,3190
7/6/2019 13:44:51 ,3210
7/6/2019 13:44:52 ,3240
7/6/2019 13:44:53 ,3260
7/6/2019 13:44:54 ,3290
7/6/2019 13:44:55 ,3310
7/6/2019 13:44:56 ,3330
7/6/2019 13:44:57 ,3350
7/6/2019 13:44:58 ,3380
7/6/2019 13:44:59 ,3400
7/6/2019 13:45:00 ,3420
7/6/2019 13:45:01 ,3440
7/6/2019 13:45:02 ,3460
7/6/2019 13:45:03 ,3490
7/6/2019 13:45:04 ,3510
7/6/2019 13:45:05 ,3530
7/6/2019 13:45:06 ,3550
7/6/2019 13:45:07 ,3570
7/6/2019 13:45:08 ,3600
7/6/2019 13:45:09 ,3630
7/6/2019 13:45:10 ,3640
7/6/2019 13:45:11 ,3670
7/6/2019 13:45:12 ,3690
7/6/2019 13:45:13 ,3710
7/6/2019 13:45:14 ,3730
7/6/2019 13:45:15 ,3750
7/6/2019 13:45:16 ,3780
7/6/2019 13:45:17 ,3800
7/6/2019 13:45:18 ,3820
7/6/2019 13:45:19 ,3840
7/6/2019 13:45:20 ,3860
7/6/2019 13:45:21 ,3880
7/6/2019 13:45:22 ,3910
7/6/2019 13:45:23 ,3930
7/6/2019 13:45:24 ,3950
7/6/2019 13:45:25 ,3970
7/6/2019 13:45:26 ,3990
7/6/2019 13:45:27 ,4010
7/6/2019 13:45:28 ,4030
7/6/2019 13:45:29 ,4050
7/6/2019 13:45:30 ,4060
7/6/2019 13:45:31 ,4080
7/6/2019 13:45:32 ,4100
7/6/2019 13:45:33 ,4110
7/6/2019 13:45:34 ,4130
7/6/2019 13:45:35 ,4140
7/6/2019 13:45:36 ,4160
7/6/2019 13:45:37 ,4180
7/6/2019 13:45:38 ,4200
7/6/2019 13:45:39 ,4220
7/6/2019 13:45:40 ,4230
7/6/2019 13:45:41 ,4240
7/6/2019 13:45:42 ,4260
7/6/2019 13:45:43 ,4280
7/6/2019 13:45:44 ,4300
7/6/2019 13:45:45 ,4310
7/6/2019 13:45:46 ,4320
7/6/2019 13:45:47 ,4330
