,"CO2, ppm"
7/6/2019 13:35:24 ,950
7/6/2019 13:35:25 ,960
7/6/2019 13:35:26 ,970
7/6/2019 13:35:27 ,980
7/6/2019 13:35:28 ,1000
7/6/2019 13:35:29 ,1020
7/6/2019 13:35:30 ,1030
7/6/2019 13:35:31 ,1050
7/6/2019 13:35:32 ,1070
7/6/2019 13:35:33 ,1090
7/6/2019 13:35:34 ,1110
7/6/2019 13:35:35 ,1130
7/6/2019 13:35:36 ,1150
7/6/2019 13:35:37 ,1170
7/6/2019 13:35:38 ,1200
7/6/2019 13:35:39 ,1220
7/6/2019 13:35:40 ,1250
7/6/2019 13:35:41 ,1270
7/6/2019 13:35:42 ,1300
7/6/2019 13:35:43 ,1330
7/6/2019 13:35:44 ,1370
7/6/2019 13:35:45 ,1410
7/6/2019 13:35:46 ,1430
7/6/2019 13:35:47 ,1480
7/6/2019 13:35:48 ,1520
7/6/2019 13:35:49 ,1570
7/6/2019 13:35:50 ,1620
7/6/2019 13:35:51 ,1650
7/6/2019 13:35:52 ,1700
7/6/2019 13:35:53 ,1750
7/6/2019 13:35:54 ,1800
7/6/2019 13:35:55 ,1850
7/6/2019 13:35:56 ,1880
7/6/2019 13:35:57 ,1920
7/6/2019 13:35:58 ,1970
7/6/2019 13:35:59 ,2010
7/6/2019 13:36:00 ,2050
7/6/2019 13:36:01 ,2080
7/6/2019 13:36:02 ,2120
7/6/2019 13:36:03 ,2160
7/6/2019 13:36:04 ,2200
7/6/2019 13:36:05 ,2240
7/6/2019 13:36:06 ,2260
7/6/2019 13:36:07 ,2290
7/6/2019 13:36:08 ,2320
7/6/2019 13:36:09 ,2360
7/6/2019 13:36:10 ,2390
7/6/2019 13:36:11 ,2420
7/6/2019 13:36:12 ,2450
7/6/2019 13:36:13 ,2490
7/6/2019 13:36:14 ,2520
7/6/2019 13:36:15 ,2550
7/6/2019 13:36:16 ,2570
7/6/2019 13:36:17 ,2610
7/6/2019 13:36:18 ,2640
7/6/2019 13:36:19 ,2680
7/6/2019 13:36:20 ,2710
7/6/2019 13:36:21 ,2730
7/6/2019 13:36:22 ,2760
7/6/2019 13:36:23 ,2790
7/6/2019 13:36:24 ,2820
7/6/2019 13:36:25 ,2850
7/6/2019 13:36:26 ,2870
7/6/2019 13:36:27 ,2910
7/6/2019 13:36:28 ,2940
7/6/2019 13:36:29 ,2970
7/6/2019 13:36:30 ,3000
7/6/2019 13:36:31 ,3020
7/6/2019 13:36:32 ,3050
7/6/2019 13:36:33 ,3080
7/6/2019 13:36:34 ,3110
7/6/2019 13:36:35 ,3130
7/6/2019 13:36:36 ,3150
7/6/2019 13:36:37 ,3170
7/6/2019 13:36:38 ,3190
7/6/2019 13:36:39 ,3210
7/6/2019 13:36:40 ,3230
7/6/2019 13:36:41 ,3260
7/6/2019 13:36:42 ,3280
7/6/2019 13:36:43 ,3310
7/6/2019 13:36:44 ,3330
7/6/2019 13:36:45 ,3350
7/6/2019 13:36:46 ,3380
7/6/2019 13:36:47 ,3410
7/6/2019 13:36:48 ,3440
7/6/2019 13:36:49 ,3480
7/6/2019 13:36:50 ,3500
7/6/2019 13:36:51 ,3540
7/6/2019 13:36:52 ,3570
7/6/2019 13:36:53 ,3610
7/6/2019 13:36:54 ,3650
7/6/2019 13:36:55 ,3680
7/6/2019 13:36:56 ,3720
7/6/2019 13:36:57 ,3760
7/6/2019 13:36:58 ,3800
7/6/2019 13:36:59 ,3830
7/6/2019 13:37:00 ,3860
7/6/2019 13:37:01 ,3880
7/6/2019 13:37:02 ,3910
7/6/2019 13:37:03 ,3930
7/6/2019 13:37:04 ,3940
7/6/2019 13:37:05 ,3950
7/6/2019 13:37:06 ,3960
7/6/2019 13:37:07 ,3970
7/6/2019 13:37:08 ,3970
7/6/2019 13:37:09 ,3970
7/6/2019 13:37:10 ,3970
7/6/2019 13:37:11 ,3970
7/6/2019 13:37:12 ,3970
7/6/2019 13:37:13 ,3970
7/6/2019 13:37:14 ,3970
7/6/2019 13:37:15 ,3970
7/6/2019 13:37:16 ,3980
7/6/2019 13:37:17 ,3980
7/6/2019 13:37:18 ,3990
7/6/2019 13:37:19 ,4000
7/6/2019 13:37:20 ,4000
7/6/2019 13:37:21 ,4010
7/6/2019 13:37:22 ,4030
7/6/2019 13:37:23 ,4040
