,"CO2, ppm"
7/10/2019 14:27:52 ,1110
7/10/2019 14:27:53 ,1120
7/10/2019 14:27:54 ,1120
7/10/2019 14:27:55 ,1110
7/10/2019 14:27:56 ,1110
7/10/2019 14:27:57 ,1110
7/10/2019 14:27:58 ,1110
7/10/2019 14:27:59 ,1110
7/10/2019 14:28:00 ,1110
7/10/2019 14:28:01 ,1110
7/10/2019 14:28:02 ,1120
7/10/2019 14:28:03 ,1130
7/10/2019 14:28:04 ,1140
7/10/2019 14:28:05 ,1160
7/10/2019 14:28:06 ,1170
7/10/2019 14:28:07 ,1190
7/10/2019 14:28:08 ,1210
7/10/2019 14:28:09 ,1220
7/10/2019 14:28:10 ,1240
7/10/2019 14:28:11 ,1260
7/10/2019 14:28:12 ,1280
7/10/2019 14:28:13 ,1300
7/10/2019 14:28:14 ,1310
7/10/2019 14:28:15 ,1340
7/10/2019 14:28:16 ,1360
7/10/2019 14:28:17 ,1380
7/10/2019 14:28:18 ,1410
7/10/2019 14:28:19 ,1420
7/10/2019 14:28:20 ,1440
7/10/2019 14:28:21 ,1460
7/10/2019 14:28:22 ,1470
7/10/2019 14:28:23 ,1470
7/10/2019 14:28:24 ,1480
7/10/2019 14:28:25 ,1480
7/10/2019 14:28:26 ,1490
7/10/2019 14:28:27 ,1490
7/10/2019 14:28:28 ,1490
7/10/2019 14:28:29 ,1490
7/10/2019 14:28:30 ,1500
7/10/2019 14:28:31 ,1500
7/10/2019 14:28:32 ,1500
7/10/2019 14:28:33 ,1500
7/10/2019 14:28:34 ,1500
7/10/2019 14:28:35 ,1500
7/10/2019 14:28:36 ,1500
7/10/2019 14:28:37 ,1500
7/10/2019 14:28:38 ,1510
7/10/2019 14:28:39 ,1510
7/10/2019 14:28:40 ,1510
7/10/2019 14:28:41 ,1520
7/10/2019 14:28:42 ,1520
7/10/2019 14:28:43 ,1530
7/10/2019 14:28:44 ,1530
7/10/2019 14:28:45 ,1540
7/10/2019 14:28:46 ,1540
7/10/2019 14:28:47 ,1540
7/10/2019 14:28:48 ,1540
7/10/2019 14:28:49 ,1540
7/10/2019 14:28:50 ,1540
7/10/2019 14:28:51 ,1540
7/10/2019 14:28:52 ,1540
7/10/2019 14:28:53 ,1550
7/10/2019 14:28:54 ,1550
7/10/2019 14:28:55 ,1560
7/10/2019 14:28:56 ,1570
7/10/2019 14:28:57 ,1580
7/10/2019 14:28:58 ,1590
7/10/2019 14:28:59 ,1600
7/10/2019 14:29:00 ,1610
7/10/2019 14:29:01 ,1620
7/10/2019 14:29:02 ,1630
7/10/2019 14:29:03 ,1640
7/10/2019 14:29:04 ,1650
7/10/2019 14:29:05 ,1660
7/10/2019 14:29:06 ,1680
7/10/2019 14:29:07 ,1700
7/10/2019 14:29:08 ,1710
7/10/2019 14:29:09 ,1730
7/10/2019 14:29:10 ,1750
7/10/2019 14:29:11 ,1770
7/10/2019 14:29:12 ,1780
7/10/2019 14:29:13 ,1780
7/10/2019 14:29:14 ,1790
7/10/2019 14:29:15 ,1790
7/10/2019 14:29:16 ,1780
7/10/2019 14:29:17 ,1780
7/10/2019 14:29:18 ,1770
7/10/2019 14:29:19 ,1760
7/10/2019 14:29:20 ,1750
7/10/2019 14:29:21 ,1740
7/10/2019 14:29:22 ,1740
7/10/2019 14:29:23 ,1740
7/10/2019 14:29:24 ,1740
7/10/2019 14:29:25 ,1740
7/10/2019 14:29:26 ,1740
7/10/2019 14:29:27 ,1740
7/10/2019 14:29:28 ,1740
7/10/2019 14:29:29 ,1750
7/10/2019 14:29:30 ,1760
7/10/2019 14:29:31 ,1770
7/10/2019 14:29:32 ,1780
7/10/2019 14:29:33 ,1790
7/10/2019 14:29:34 ,1810
7/10/2019 14:29:35 ,1820
7/10/2019 14:29:36 ,1840
7/10/2019 14:29:37 ,1860
7/10/2019 14:29:38 ,1870
7/10/2019 14:29:39 ,1890
7/10/2019 14:29:40 ,1900
7/10/2019 14:29:41 ,1920
7/10/2019 14:29:42 ,1930
7/10/2019 14:29:43 ,1930
7/10/2019 14:29:44 ,1940
