,"CO2, ppm"
7/10/2019 15:18:23 ,1690
7/10/2019 15:18:24 ,1700
7/10/2019 15:18:25 ,1700
7/10/2019 15:18:26 ,1700
7/10/2019 15:18:27 ,1700
7/10/2019 15:18:28 ,1710
7/10/2019 15:18:29 ,1710
7/10/2019 15:18:30 ,1720
7/10/2019 15:18:31 ,1730
7/10/2019 15:18:32 ,1750
7/10/2019 15:18:33 ,1760
7/10/2019 15:18:34 ,1770
7/10/2019 15:18:35 ,1780
7/10/2019 15:18:36 ,1800
7/10/2019 15:18:37 ,1810
7/10/2019 15:18:38 ,1820
7/10/2019 15:18:39 ,1820
7/10/2019 15:18:40 ,1830
7/10/2019 15:18:41 ,1830
7/10/2019 15:18:42 ,1840
7/10/2019 15:18:43 ,1840
7/10/2019 15:18:44 ,1840
7/10/2019 15:18:45 ,1840
7/10/2019 15:18:46 ,1840
7/10/2019 15:18:47 ,1830
7/10/2019 15:18:48 ,1830
7/10/2019 15:18:49 ,1820
7/10/2019 15:18:50 ,1820
7/10/2019 15:18:51 ,1810
7/10/2019 15:18:52 ,1810
7/10/2019 15:18:53 ,1800
7/10/2019 15:18:54 ,1800
7/10/2019 15:18:55 ,1800
7/10/2019 15:18:56 ,1800
7/10/2019 15:18:57 ,1800
7/10/2019 15:18:58 ,1800
7/10/2019 15:18:59 ,1810
7/10/2019 15:19:00 ,1810
7/10/2019 15:19:01 ,1810
7/10/2019 15:19:02 ,1810
7/10/2019 15:19:03 ,1810
7/10/2019 15:19:04 ,1820
7/10/2019 15:19:05 ,1820
7/10/2019 15:19:06 ,1820
7/10/2019 15:19:07 ,1820
7/10/2019 15:19:08 ,1810
7/10/2019 15:19:09 ,1810
7/10/2019 15:19:10 ,1810
7/10/2019 15:19:11 ,1810
7/10/2019 15:19:12 ,1810
7/10/2019 15:19:13 ,1810
7/10/2019 15:19:14 ,1800
7/10/2019 15:19:15 ,1800
7/10/2019 15:19:16 ,1790
7/10/2019 15:19:17 ,1790
7/10/2019 15:19:18 ,1780
7/10/2019 15:19:19 ,1780
7/10/2019 15:19:20 ,1790
7/10/2019 15:19:21 ,1790
7/10/2019 15:19:22 ,1790
7/10/2019 15:19:23 ,1790
7/10/2019 15:19:24 ,1800
7/10/2019 15:19:25 ,1800
7/10/2019 15:19:26 ,1810
7/10/2019 15:19:27 ,1820
7/10/2019 15:19:28 ,1830
7/10/2019 15:19:29 ,1840
7/10/2019 15:19:30 ,1840
7/10/2019 15:19:31 ,1850
7/10/2019 15:19:32 ,1860
7/10/2019 15:19:33 ,1870
7/10/2019 15:19:34 ,1870
7/10/2019 15:19:35 ,1880
7/10/2019 15:19:36 ,1890
7/10/2019 15:19:37 ,1890
7/10/2019 15:19:38 ,1890
7/10/2019 15:19:39 ,1890
7/10/2019 15:19:40 ,1890
7/10/2019 15:19:41 ,1890
7/10/2019 15:19:42 ,1890
7/10/2019 15:19:43 ,1890
7/10/2019 15:19:44 ,1890
7/10/2019 15:19:45 ,1880
7/10/2019 15:19:46 ,1880
7/10/2019 15:19:47 ,1870
7/10/2019 15:19:48 ,1870
7/10/2019 15:19:49 ,1860
7/10/2019 15:19:50 ,1850
7/10/2019 15:19:51 ,1840
7/10/2019 15:19:52 ,1840
7/10/2019 15:19:53 ,1830
7/10/2019 15:19:54 ,1820
7/10/2019 15:19:55 ,1810
7/10/2019 15:19:56 ,1810
7/10/2019 15:19:57 ,1800
7/10/2019 15:19:58 ,1800
7/10/2019 15:19:59 ,1800
7/10/2019 15:20:00 ,1800
7/10/2019 15:20:01 ,1800
7/10/2019 15:20:02 ,1800
7/10/2019 15:20:03 ,1810
7/10/2019 15:20:04 ,1810
7/10/2019 15:20:05 ,1820
7/10/2019 15:20:06 ,1820
7/10/2019 15:20:07 ,1830
7/10/2019 15:20:08 ,1830
7/10/2019 15:20:09 ,1840
7/10/2019 15:20:10 ,1850
7/10/2019 15:20:11 ,1870
7/10/2019 15:20:12 ,1880
7/10/2019 15:20:13 ,1890
7/10/2019 15:20:14 ,1900
7/10/2019 15:20:15 ,1900
7/10/2019 15:20:16 ,1910
7/10/2019 15:20:17 ,1910
7/10/2019 15:20:18 ,1910
7/10/2019 15:20:19 ,1910
7/10/2019 15:20:20 ,1910
7/10/2019 15:20:21 ,1900
7/10/2019 15:20:22 ,1900
7/10/2019 15:20:23 ,1900
7/10/2019 15:20:24 ,1910
