"","date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
"1",2019-07-12,NA,NA,NA,NA,NA,NA,"w     E","",""
"2",2019-07-13,-0.614577641407756,-0.775627493317802,-0.460783780638129,0.717327778652235,0.440249214238891,0.965916820257565,"w      ","",""
"3",2019-07-14,-0.887762989381822,-1.04426447297772,-0.736317767141854,0.994914707387308,0.746926289164218,1.24244928350155,"w      ","",""
"4",2019-07-15,-0.708556362615113,-0.881437056912141,-0.535451014286907,0.601351847443303,0.295269860600356,0.870692307443635,"w      ","",""
"5",2019-07-16,-0.405313815815171,-0.570465211019938,-0.239026635417357,0.253624516295114,-0.0200288657960454,0.50610605364764,"w      ","",""
"6",2019-07-17,-0.430103972385885,-0.587101889179498,-0.260125873850475,0.389296426389275,0.106517586252802,0.641583463191345,"w      ","",""
"7",2019-07-18,-0.471224130219039,-0.643162957469447,-0.317055235730302,0.379096267279247,0.101485695765242,0.646931597333988,"w      ","",""
"8",2019-07-19,-0.511616294934929,-0.691205637648131,-0.341863549005357,0.646106231739119,0.377007298058522,0.895633337166591,"w      ","",""
"9",2019-07-20,-0.520037882482789,-0.701433094862747,-0.355594615211117,0.481324169762538,0.22147465829342,0.765806872219447,"w      ","",""
"10",2019-07-21,-0.521482101083131,-0.696511904559507,-0.368315539105653,0.412502222196099,0.169665246816794,0.670417542053596,"w      ","",""
"11",2019-07-22,-0.508477176123261,-0.672355560947489,-0.352509173703056,0.463357286687543,0.18730220093819,0.744276589746269,"w      ","",""
"12",2019-07-23,-0.667893475478501,-0.830488800492254,-0.506267308224055,0.640213171368075,0.35875302027984,0.897518338285524,"w      ","",""
"13",2019-07-24,-0.689868591663641,-0.847668516808801,-0.523054348150135,0.530955392452564,0.262912450192644,0.804877783000749,"w      ","",""
"14",2019-07-25,-0.480416005478849,-0.65690478934037,-0.329118358187217,0.480918701481307,0.199335704648592,0.734413775251134,"w      ","",""
"15",2019-07-26,-0.474824553735273,-0.624768403328894,-0.315008011429078,0.334768693457042,0.0743061335130755,0.584460700775017,"w      ","",""
"16",2019-07-27,-0.413073805743232,-0.578824423539818,-0.239794588181073,0.362841076773829,0.108124700355122,0.635827388318189,"w      ","",""
"17",2019-07-28,-0.495755562512639,-0.667098214208596,-0.333519473471102,0.357450012006751,0.106812028766655,0.636298638184434,"w      ","",""
"18",2019-07-29,-0.503806934857252,-0.662771025517306,-0.343340589990957,0.36834942276122,0.106690316791705,0.620099803074859,"w      ","",""
"19",2019-07-30,-0.435355383937284,-0.586239548967987,-0.271710250009727,0.492044817665791,0.234677740949558,0.743574122951214,"w      ","",""
"20",2019-07-31,-0.251908871413554,-0.416180923201554,-0.088110073032914,0.247187123880297,-0.0049079525086216,0.496717893582419,"w      ","",""
"21",2019-08-01,-0.275833875882024,-0.439874673067415,-0.102701585330098,0.0357743975494704,-0.242547297370071,0.278001097127054,"w      ","",""
"22",2019-08-02,-0.475666992575804,-0.621403715266925,-0.295943111957169,0.776373450899849,0.49726837909823,1.02909990014376,"w      ","",""
"23",2019-08-03,-0.528091347876271,-0.698660793245822,-0.378822580588012,0.567039950768678,0.291499758092923,0.837772011076713,"w      ","",""
"24",2019-08-04,-0.49364682774059,-0.66000552903088,-0.327486404501267,0.367328093487382,0.103501906228945,0.636312437804069,"w      ","",""
"25",2019-08-05,-0.465857940682963,-0.619238784028912,-0.298392663454937,0.363923165592627,0.0857731644495419,0.588499131891782,"w      ","",""
"26",2019-08-06,-0.371896181754777,-0.519410458971914,-0.193895311553239,0.279734984523228,0.000851036902708805,0.528394201971645,"w      ","",""
"27",2019-08-07,-0.386681168027645,-0.549032056749519,-0.212276745915234,0.402300940394042,0.150931805607124,0.669242511748931,"w      ","",""
"28",2019-08-08,-0.312811748704351,-0.482810011626232,-0.140436898067743,0.248122898374967,-0.0296826214763697,0.529335796481107,"w      ","",""
"29",2019-08-09,-0.254790895335304,-0.429256594982716,-0.099549753272062,0.217150832196206,-0.0416541991172712,0.489069273914705,"w      ","",""
"30",2019-08-10,-0.301093547441283,-0.474966003974672,-0.128470733064458,0.231872578422493,-0.047267718515779,0.483723816897302,"w      ","",""
"31",2019-08-11,-0.289966014079227,-0.451743276622435,-0.126867425845242,0.161837739872568,-0.0908288705631253,0.398928049102419,"w      ","",""
"32",2019-08-12,-0.334108960975103,-0.500837472454863,-0.164708616659542,0.293844871961922,0.0174246902884884,0.559058550811086,"w      ","",""
"33",2019-08-13,NA,NA,NA,NA,NA,NA,"w     E","",""
