"","Day","Avg_iCO2","lowbound","highbound","EcuLinearityAvg"
"1","july19",-25.1096890449354,-24.9890884573549,-25.2302896325159,-24.74
"2","aug02",-24.7324050394948,-24.6364519292517,-24.8283581497379,-24.74
"3","aug09",-20.124580109976,-20.0505575699489,-20.1986026500031,-23.62
"4","Aug13",-21.7789746738655,-21.677808506232,-21.880140841499,-23.62
