"","Day","number","Avg_iCO2","stderror","lowbound","highbound"
"1","july19",387,-25.1096890449354,-0.0603002937902326,-24.9890884573549,-25.2302896325159
"2","aug02",287,-24.7324050394948,-0.0479765551215643,-24.6364519292517,-24.8283581497379
"3","aug09",167,-20.124580109976,-0.0370112700135431,-20.0505575699489,-20.1986026500031
"4","Aug13",119,-21.7789746738655,-0.050583083816751,-21.677808506232,-21.880140841499
