"","X.1","X","PosixCT","X12CO2","Delta_Raw_iCO2","Sample","Day"
"535",56605,56605,"2019-08-02 18:48:44",482.47464736,-17.750773945,"ecu4","Aug02"
"536",56606,56606,"2019-08-02 18:48:45",482.47464736,-17.750773945,"ecu4","Aug02"
"537",56607,56607,"2019-08-02 18:48:45",467.48046945,-17.750773945,"ecu4","Aug02"
"538",56608,56608,"2019-08-02 18:48:46",467.48046945,-21.229827791,"ecu4","Aug02"
"539",56609,56609,"2019-08-02 18:48:47",467.48046945,-21.229827791,"ecu4","Aug02"
"540",56610,56610,"2019-08-02 18:48:48",467.48046945,-21.229827791,"ecu4","Aug02"
"541",56611,56611,"2019-08-02 18:48:49",453.78502003,-21.229827791,"ecu4","Aug02"
"542",56612,56612,"2019-08-02 18:48:49",453.78502003,-17.957878596,"ecu4","Aug02"
"543",56613,56613,"2019-08-02 18:48:51",453.78502003,-17.957878596,"ecu4","Aug02"
"544",56614,56614,"2019-08-02 18:48:52",453.78502003,-17.957878596,"ecu4","Aug02"
"545",56615,56615,"2019-08-02 18:48:52",442.1838012,-17.957878596,"ecu4","Aug02"
"546",56616,56616,"2019-08-02 18:48:53",442.1838012,-20.602362574,"ecu4","Aug02"
"547",56617,56617,"2019-08-02 18:48:54",442.1838012,-20.602362574,"ecu4","Aug02"
"548",56618,56618,"2019-08-02 18:48:55",442.1838012,-20.602362574,"ecu4","Aug02"
"549",56619,56619,"2019-08-02 18:48:56",432.82378821,-20.602362574,"ecu4","Aug02"
"550",56620,56620,"2019-08-02 18:48:56",432.82378821,-20.374973018,"ecu4","Aug02"
"551",56621,56621,"2019-08-02 18:48:58",432.82378821,-20.374973018,"ecu4","Aug02"
"552",56622,56622,"2019-08-02 18:48:59",432.82378821,-20.374973018,"ecu4","Aug02"
"553",56623,56623,"2019-08-02 18:48:59",425.31997387,-20.374973018,"ecu4","Aug02"
"554",56624,56624,"2019-08-02 18:49:00",425.31997387,-20.131614151,"ecu4","Aug02"
"555",56625,56625,"2019-08-02 18:49:01",425.31997387,-20.131614151,"ecu4","Aug02"
"556",56626,56626,"2019-08-02 18:49:02",425.31997387,-20.131614151,"ecu4","Aug02"
"557",56627,56627,"2019-08-02 18:49:03",420.09011197,-20.131614151,"ecu4","Aug02"
"558",56628,56628,"2019-08-02 18:49:03",420.09011197,-21.2583727,"ecu4","Aug02"
"559",56629,56629,"2019-08-02 18:49:05",420.09011197,-21.2583727,"ecu4","Aug02"
"560",56630,56630,"2019-08-02 18:49:06",420.09011197,-21.2583727,"ecu4","Aug02"
"561",56631,56631,"2019-08-02 18:49:06",416.08047504,-21.2583727,"ecu4","Aug02"
"562",56632,56632,"2019-08-02 18:49:07",416.08047504,-26.017761036,"ecu4","Aug02"
"563",56633,56633,"2019-08-02 18:49:08",416.08047504,-26.017761036,"ecu4","Aug02"
"564",56634,56634,"2019-08-02 18:49:09",416.08047504,-26.017761036,"ecu4","Aug02"
"565",56635,56635,"2019-08-02 18:49:10",412.90752956,-26.017761036,"ecu4","Aug02"
"566",56636,56636,"2019-08-02 18:49:10",412.90752956,-21.624537618,"ecu4","Aug02"
"567",56637,56637,"2019-08-02 18:49:12",412.90752956,-21.624537618,"ecu4","Aug02"
"568",56638,56638,"2019-08-02 18:49:13",412.90752956,-21.624537618,"ecu4","Aug02"
