"Date_Time","DO_mgl","DO_Temp","WL_m","WL_Temp","EC_us","EC_Temp","airpress_kpa","Air_Temp_c","Air_Temp_LaVirgin"
"2019-08-14 08:00:00 UTC",8.24,2.63888888888889,2.4324,2.528,NA,NA,62.3698,5.266,-2.023
"2019-08-14 08:15:00 UTC",8.36,1.67777777777778,2.3426,2.559,2.6,0.3,NA,NA,-1.716
"2019-08-14 08:30:00 UTC",7.62,1.57777777777778,2.2232,2.649,8.4,8.6,NA,NA,-2.026
"2019-08-14 08:45:00 UTC",7.2,2.6,2.1378,2.704,8.2,8.6,62.4765,5.697,-1.892
"2019-08-14 09:00:00 UTC",7.24,2.76111111111111,2.2584,2.647,8.2,8.6,62.3408,6.316,-1.563
"2019-08-14 09:15:00 UTC",7.26,2.82222222222222,2.2096,2.595,8.2,8.6,62.3232,5.547,-1.234
"2019-08-14 09:30:00 UTC",7.31,2.9,2.2348,2.559,8.2,8.6,62.2973,5.339,-1.472
"2019-08-14 09:45:00 UTC",7.32,2.96111111111111,2.1878,2.523,8.2,8.6,62.2967,5.25,-1.565
"2019-08-14 10:00:00 UTC",7.32,2.92222222222222,2.2079,2.489,8.2,8.2,62.2908,5.21,-1.797
"2019-08-14 10:15:00 UTC",7.31,2.86111111111111,2.1611,2.564,8.1,8.6,62.2869,5.195,-1.993
"2019-08-14 10:30:00 UTC",7.32,2.82222222222222,2.1799,2.671,8.1,8.6,62.2482,5.187,-1.737
"2019-08-14 10:45:00 UTC",7.32,2.8,2.1453,2.671,8.1,8.6,62.2573,5.176,-1.423
"2019-08-14 11:00:00 UTC",7.35,2.76111111111111,2.1627,2.61,8.1,8.2,62.2201,5.165,-1.276
"2019-08-14 11:15:00 UTC",7.4,2.82222222222222,2.1645,2.515,8,8.2,62.2148,5.155,-1.15
"2019-08-14 11:30:00 UTC",7.43,2.92222222222222,2.1164,2.441,8,8.6,62.2263,5.147,-1.143
"2019-08-14 11:45:00 UTC",7.43,2.93888888888889,2.1107,2.378,8,8.2,62.2385,5.142,-1.188
"2019-08-14 12:00:00 UTC",7.41,2.87777777777778,2.0933,2.308,8,8.2,62.2421,5.136,-1.213
"2019-08-14 12:15:00 UTC",7.4,2.8,2.0707,2.231,8,8.2,62.2419,5.132,-0.667
"2019-08-14 12:30:00 UTC",7.38,2.72222222222222,2.0527,2.191,8,8.2,62.2496,5.132,-0.365
"2019-08-14 12:45:00 UTC",7.35,2.66111111111111,2.0575,2.156,8,8.6,62.2438,5.129,-0.926
"2019-08-14 13:00:00 UTC",7.33,2.57777777777778,2.0675,2.098,8,8.2,62.2092,5.12,-1.437
"2019-08-14 13:15:00 UTC",7.28,2.5,2.0063,2.013,8,9,62.2371,5.113,-1.306
"2019-08-14 13:30:00 UTC",7.23,2.46111111111111,1.9693,1.935,8,8.2,62.2632,5.105,-1.33
"2019-08-14 13:45:00 UTC",7.18,2.42222222222222,1.96,1.874,8,8.2,62.2685,5.099,-1.356
"2019-08-14 14:00:00 UTC",7.13,2.36111111111111,1.9666,1.813,8,8.6,62.2714,5.091,-1.333
"2019-08-14 14:15:00 UTC",7.09,2.27777777777778,1.9888,1.724,7.9,8.2,62.251,5.085,-1.322
"2019-08-14 14:30:00 UTC",7.05,2.2,1.9316,1.627,8,8.2,62.3125,5.076,-1.441
"2019-08-14 14:45:00 UTC",7.02,2.13888888888889,1.9645,1.535,7.9,8.2,62.2794,5.066,-1.658
"2019-08-14 15:00:00 UTC",6.97,2.07777777777778,1.9504,1.456,7.9,8.2,62.2946,5.063,-1.2
"2019-08-14 15:15:00 UTC",6.94,2,1.9439,1.426,7.9,9,62.2925,5.068,-0.665
"2019-08-14 15:30:00 UTC",6.92,1.9,1.9474,1.431,7.9,8.2,62.2919,5.076,-0.253
"2019-08-14 15:45:00 UTC",6.9,1.8,1.9468,1.439,7.9,8.2,62.3029,5.084,-0.218
"2019-08-14 16:00:00 UTC",6.9,1.72222222222222,1.9444,1.446,7.8,9,62.3263,5.093,-0.166
"2019-08-14 16:15:00 UTC",6.88,1.67777777777778,1.8995,1.445,7.8,9,62.3746,5.093,-0.254
"2019-08-14 16:30:00 UTC",6.86,1.67777777777778,1.8855,1.427,7.9,8.2,62.3733,5.094,-0.538
"2019-08-14 16:45:00 UTC",6.85,1.7,1.8978,1.273,7.9,8.2,62.348,5.075,-0.521
"2019-08-14 17:00:00 UTC",6.84,1.7,1.9142,1.142,7.9,8.2,62.3513,5.067,-0.643
"2019-08-14 17:15:00 UTC",6.82,1.7,1.8995,1.003,7.9,8.2,62.3533,5.055,-0.7
"2019-08-14 17:30:00 UTC",6.8,1.67777777777778,1.9218,0.825,7.9,9,62.3268,5.051,-0.504
"2019-08-14 17:45:00 UTC",6.79,1.56111111111111,1.9195,0.839,7.9,9,62.3534,5.051,-0.239
"2019-08-14 18:00:00 UTC",6.8,1.42222222222222,1.9268,0.85,7.9,8.2,62.3427,5.072,-0.121
"2019-08-14 18:15:00 UTC",6.8,1.27777777777778,1.9348,0.919,7.9,8.2,62.3319,5.077,0.059
"2019-08-14 18:30:00 UTC",6.82,1.1,1.9498,0.976,7.8,8.2,62.3356,5.083,0.207
"2019-08-14 18:45:00 UTC",6.81,1.07777777777778,1.9667,1.026,7.8,8.2,62.3091,5.082,0.257
"2019-08-14 19:00:00 UTC",6.82,1.1,1.9406,1.064,7.8,9,62.3216,5.081,0.342
"2019-08-14 19:15:00 UTC",6.8,1.16111111111111,1.9248,1.093,7.8,9,62.3225,5.082,0.046
"2019-08-14 19:30:00 UTC",6.76,1.22222222222222,1.9338,1.115,7.8,8.2,62.3038,5.077,0.016
"2019-08-14 19:45:00 UTC",6.73,1.27777777777778,1.9519,1.121,7.9,8.2,62.2829,5.073,0.123
"2019-08-14 20:00:00 UTC",6.7,1.32222222222222,1.9424,1.127,7.9,8.2,62.2771,5.075,0.213
"2019-08-14 20:15:00 UTC",6.68,1.33888888888889,1.954,1.132,7.9,8.2,62.2558,5.075,0.254
"2019-08-14 20:30:00 UTC",6.65,1.36111111111111,1.9327,1.141,7.9,8.6,62.2604,5.073,0.018
"2019-08-14 20:45:00 UTC",6.63,1.37777777777778,1.938,1.139,7.9,8.2,62.2437,5.073,-0.097
"2019-08-14 21:00:00 UTC",6.62,1.37777777777778,1.9387,1.118,8,8.2,62.2235,5.07,-0.046
"2019-08-14 21:15:00 UTC",6.6,1.37777777777778,1.9022,0.937,8,8.2,62.2506,5.063,-0.166
"2019-08-14 21:30:00 UTC",6.57,1.4,1.8851,0.726,8,8.2,62.2555,5.056,-0.001
"2019-08-14 21:45:00 UTC",6.56,1.4,1.8792,0.563,8,9,62.2804,5.055,0.155
"2019-08-14 22:00:00 UTC",6.53,1.37777777777778,1.8857,0.385,8,9,62.2731,5.048,0.073
"2019-08-14 22:15:00 UTC",6.53,1.2,1.8933,0.281,8,8.2,62.2725,5.046,-0.047
"2019-08-14 22:30:00 UTC",6.55,0.999999999999998,1.8746,0.259,7.9,8.2,62.2832,5.044,0.072
"2019-08-14 22:45:00 UTC",6.59,0.838888888888888,1.8817,0.203,7.8,8.2,62.28,5.038,0.062
"2019-08-14 23:00:00 UTC",6.6,0.66111111111111,1.8868,0.167,7.8,8.2,62.2721,5.032,0.063
"2019-08-14 23:15:00 UTC",6.65,0.56111111111111,1.8613,0.055,7.7,8.2,62.2581,5.027,-0.012
"2019-08-14 23:30:00 UTC",6.65,0.522222222222221,1.8301,0.044,7.7,8.2,62.2945,5.018,-0.115
"2019-08-14 23:45:00 UTC",6.66,0.46111111111111,1.8402,0.037,7.6,8.2,62.2833,5.018,-0.046
"2019-08-15 00:00:00 UTC",6.67,0.422222222222221,1.8153,-0.072,7.6,8.2,62.3032,5.014,-0.262
"2019-08-15 00:15:00 UTC",6.66,0.338888888888889,1.818,-0.047,7.6,8.2,62.3186,5,-0.374
"2019-08-15 00:30:00 UTC",6.64,0.3,1.8386,0.064,7.6,9,62.3264,5.002,-0.566
"2019-08-15 00:45:00 UTC",6.59,0.3,1.8548,0.109,7.6,8.2,62.3123,4.996,-0.745
"2019-08-15 01:00:00 UTC",6.53,0.222222222222221,1.8466,0.141,7.6,8.2,62.3284,4.99,-0.956
"2019-08-15 01:15:00 UTC",6.49,0.222222222222221,1.8635,0.159,7.6,8.2,62.3287,4.989,-0.832
"2019-08-15 01:30:00 UTC",6.44,0.3,1.8522,0.172,7.6,9,62.3467,4.982,-0.923
"2019-08-15 01:45:00 UTC",6.38,0.36111111111111,1.8741,0.183,7.7,8.2,62.3213,4.978,-1.141
"2019-08-15 02:00:00 UTC",6.34,0.399999999999999,1.8738,0.202,7.7,9,62.3303,4.97,-1.163
