Date_Time,DO_mgl,DO_Temp,WL_m,WL_Temp,EC_us,EC_Temp,CO2_ppm_2,airpress_kpa,Air_Temp_c,Q_m3s
2019-07-18 09:00:00,6.51,10.42222222,0.203311774,10.142,7.7,51.21,NA,62.4634,5.967,0.007652982
2019-07-18 09:15:00,6.43,10.43888889,0.201404897,10.09,7,51.04,NA,62.4508,5.966,0.007362296
2019-07-18 09:30:00,6.44,10.53888889,0.20062991,10.159,7.7,51.22,NA,62.4327,5.965,0.007245884
2019-07-18 09:45:00,6.41,10.53888889,0.200742079,10.2,7.7,51.22,NA,62.423,7.882,0.007262671
2019-07-18 10:00:00,6.43,10.56111111,0.203648281,10.156,7.7,51.3,NA,62.4057,6.518,0.007704907
2019-07-18 10:15:00,6.43,10.66111111,0.204147944,10.281,7.7,51.48,NA,62.4005,6.206,0.007782356
2019-07-18 10:30:00,6.42,10.72222222,0.199467429,10.364,7.7,51.51,NA,62.3908,6.094,0.007073138
2019-07-18 10:45:00,6.42,10.73888889,0.207043949,10.384,7.7,51.58,NA,62.365,6.046,0.008239414
2019-07-18 11:00:00,6.41,10.73888889,0.203515718,10.341,7.7,51.57,NA,62.3717,6.021,0.00768443
2019-07-18 11:15:00,6.37,10.67777778,0.203607492,10.316,7.7,51.44,NA,62.3824,6.006,0.007698603
2019-07-18 11:30:00,6.35,10.62222222,0.205504172,10.262,7.7,51.33,NA,62.3886,5.997,0.007994665
2019-07-18 11:45:00,6.33,10.57777778,0.2054022,10.21,7,51.21,NA,62.3973,5.99,0.007978595
2019-07-18 12:00:00,6.25,10.4,0.202373631,10.053,7,50.88,NA,62.4114,5.984,0.007509215
2019-07-18 12:15:00,6.17,10.16111111,0.19910033,9.808,7,50.43,NA,62.4195,5.979,0.007019054
2019-07-18 12:30:00,6.12,9.938888889,0.196795763,9.601,7.7,50.07,NA,62.4216,5.975,0.006684642
2019-07-18 12:45:00,6.05,9.761111111,0.195674071,9.406,7.7,49.69,NA,62.4174,5.973,0.00652507
2019-07-18 13:00:00,5.94,9.561111111,0.199314471,9.208,7.8,49.32,NA,62.4262,5.97,0.007050576
2019-07-18 13:15:00,5.84,9.338888889,0.197856272,9.012,7,48.96,NA,62.4336,5.968,0.006837434
2019-07-18 13:30:00,5.72,9.161111111,0.188933722,8.815,7.8,48.58,NA,62.446,5.966,0.005610239
2019-07-18 13:45:00,5.62,8.961111111,0.199844726,8.638,7.8,48.27,NA,62.4454,5.964,0.007128959
2019-07-18 14:00:00,5.52,8.8,0.198162188,8.472,7.8,47.97,NA,62.4495,5.963,0.006881856
2019-07-18 14:15:00,5.44,8.638888889,0.196948721,8.324,7.8,47.7,NA,62.463,5.961,0.006706564
2019-07-18 14:30:00,5.36,8.522222222,0.19749937,8.192,7,47.46,NA,62.4603,5.96,0.006785805
2019-07-18 14:45:00,5.29,8.4,0.199814134,8.073,7.8,47.25,NA,62.4658,5.959,0.007124424
2019-07-18 15:00:00,5.22,8.277777778,0.200660502,7.955,7.8,47.05,NA,62.4771,5.958,0.00725046
2019-07-18 15:15:00,5.15,8.177777778,0.200854248,7.865,7.8,46.87,NA,62.4834,5.957,0.00727948
2019-07-18 15:30:00,5.1,8.1,0.199181908,7.774,7.8,46.71,NA,62.4892,5.957,0.007031053
2019-07-18 15:45:00,5.04,8,0.197254637,7.679,7.8,46.54,NA,62.4964,5.957,0.006750524
2019-07-18 16:00:00,4.99,7.9,0.19815199,7.589,7.8,46.38,NA,62.509,5.956,0.006880373
2019-07-18 16:15:00,4.95,7.822222222,0.198396723,7.498,7.8,46.18,NA,62.506,5.956,0.006916018
2019-07-18 16:30:00,4.91,7.722222222,0.198376329,7.399,7.8,46.02,NA,62.5165,5.956,0.006913044
2019-07-18 16:45:00,4.87,7.622222222,0.199661176,7.312,7.8,45.88,NA,62.516,5.957,0.007101773
