"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
105,07/12/19 02:29:00 PM,5.83,13.20,,,,
106,07/12/19 02:30:00 PM,5.82,13.20,,,,
107,07/12/19 02:31:00 PM,5.82,13.22,,,,
108,07/12/19 02:32:00 PM,5.81,13.22,,,,
109,07/12/19 02:33:00 PM,5.79,13.22,,,,
110,07/12/19 02:34:00 PM,5.78,13.20,,,,
111,07/12/19 02:35:00 PM,5.78,13.22,,,,
112,07/12/19 02:36:00 PM,5.79,13.22,,,,
113,07/12/19 02:37:00 PM,5.81,13.22,,,,
114,07/12/19 02:38:00 PM,5.82,13.22,,,,
115,07/12/19 02:39:00 PM,5.82,13.22,,,,
116,07/12/19 02:40:00 PM,5.82,13.24,,,,
117,07/12/19 02:41:00 PM,5.82,13.24,,,,
118,07/12/19 02:42:00 PM,5.82,13.24,,,,
119,07/12/19 02:43:00 PM,5.82,13.26,,,,
120,07/12/19 02:44:00 PM,5.83,13.26,,,,
121,07/12/19 02:45:00 PM,5.83,13.28,,,,
122,07/12/19 02:46:00 PM,5.83,13.28,,,,
123,07/12/19 02:47:00 PM,5.83,13.30,,,,
124,07/12/19 02:48:00 PM,5.83,13.32,,,,
125,07/12/19 02:49:00 PM,5.84,13.32,,,,
126,07/12/19 02:50:00 PM,5.83,13.34,,,,
127,07/12/19 02:51:00 PM,5.83,13.36,,,,
128,07/12/19 02:52:00 PM,5.82,13.38,,,,
129,07/12/19 02:53:00 PM,5.81,13.38,,,,
130,07/12/19 02:54:00 PM,5.82,13.40,,,,
131,07/12/19 02:55:00 PM,5.84,13.44,,,,
132,07/12/19 02:56:00 PM,5.85,13.46,,,,
133,07/12/19 02:57:00 PM,5.85,13.50,,,,
134,07/12/19 02:58:00 PM,5.85,13.52,,,,
135,07/12/19 02:59:00 PM,5.84,13.56,,,,
136,07/12/19 03:00:00 PM,5.84,13.58,,,,
137,07/12/19 03:01:00 PM,5.83,13.60,,,,
138,07/12/19 03:02:00 PM,5.83,13.62,,,,
139,07/12/19 03:03:00 PM,5.82,13.64,,,,
140,07/12/19 03:04:00 PM,5.82,13.66,,,,
141,07/12/19 03:05:00 PM,5.82,13.70,,,,
142,07/12/19 03:06:00 PM,5.82,13.72,,,,
143,07/12/19 03:07:00 PM,5.82,13.74,,,,
144,07/12/19 03:08:00 PM,5.82,13.74,,,,
145,07/12/19 03:09:00 PM,5.81,13.76,,,,
146,07/12/19 03:10:00 PM,5.81,13.76,,,,
147,07/12/19 03:11:00 PM,5.79,13.76,,,,
148,07/12/19 03:12:00 PM,5.78,13.76,,,,
149,07/12/19 03:13:00 PM,5.77,13.76,,,,
150,07/12/19 03:14:00 PM,5.77,13.76,,,,
151,07/12/19 03:15:00 PM,5.76,13.74,,,,
152,07/12/19 03:16:00 PM,5.75,13.74,,,,
153,07/12/19 03:17:00 PM,5.73,13.74,,,,
154,07/12/19 03:18:00 PM,5.72,13.72,,,,
155,07/12/19 03:19:00 PM,5.71,13.72,,,,
156,07/12/19 03:20:00 PM,5.71,13.70,,,,
157,07/12/19 03:21:00 PM,5.71,13.68,,,,
