Date,Time,Voltage (V)
6/13/2019,11:33:56 AM,0.5805
6/13/2019,11:34:01 AM,0.582
6/13/2019,11:34:06 AM,0.581
6/13/2019,11:34:11 AM,0.579
6/13/2019,11:34:16 AM,0.5785
6/13/2019,11:34:21 AM,0.5785
6/13/2019,11:34:26 AM,0.5785
6/13/2019,11:34:31 AM,0.5785
6/13/2019,11:34:36 AM,0.5785
6/13/2019,11:34:41 AM,0.58
6/13/2019,11:34:46 AM,0.5815
6/13/2019,11:34:51 AM,0.583
6/13/2019,11:34:56 AM,0.584
6/13/2019,11:35:01 AM,0.585
6/13/2019,11:35:06 AM,0.585
6/13/2019,11:35:11 AM,0.586
6/13/2019,11:35:16 AM,0.587
6/13/2019,11:35:21 AM,0.587
6/13/2019,11:35:26 AM,0.586
6/13/2019,11:35:31 AM,0.586
6/13/2019,11:35:36 AM,0.5865
6/13/2019,11:35:41 AM,0.587
6/13/2019,11:35:46 AM,0.587
6/13/2019,11:35:51 AM,0.5875
6/13/2019,11:35:56 AM,0.5885
6/13/2019,11:36:01 AM,0.589
6/13/2019,11:36:06 AM,0.59
6/13/2019,11:36:11 AM,0.591
6/13/2019,11:36:16 AM,0.5915
6/13/2019,11:36:21 AM,0.5915
6/13/2019,11:36:26 AM,0.5915
6/13/2019,11:36:31 AM,0.593
6/13/2019,11:36:36 AM,0.595
6/13/2019,11:36:41 AM,0.596
6/13/2019,11:36:46 AM,0.595
6/13/2019,11:36:51 AM,0.593
6/13/2019,11:36:56 AM,0.592
6/13/2019,11:37:01 AM,0.5915
6/13/2019,11:37:06 AM,0.592
6/13/2019,11:37:11 AM,0.594
6/13/2019,11:37:16 AM,0.5955
6/13/2019,11:37:21 AM,0.596
6/13/2019,11:37:26 AM,0.596
6/13/2019,11:37:31 AM,0.597
6/13/2019,11:37:36 AM,0.5975
6/13/2019,11:37:41 AM,0.597
6/13/2019,11:37:46 AM,0.5965
6/13/2019,11:37:51 AM,0.597
6/13/2019,11:37:56 AM,0.5975
6/13/2019,11:38:01 AM,0.598
6/13/2019,11:38:06 AM,0.599
6/13/2019,11:38:11 AM,0.6015
6/13/2019,11:38:16 AM,0.6025
6/13/2019,11:38:21 AM,0.603
6/13/2019,11:38:26 AM,0.603
6/13/2019,11:38:31 AM,0.602
6/13/2019,11:38:36 AM,0.603
6/13/2019,11:38:41 AM,0.604
6/13/2019,11:38:46 AM,0.6055
6/13/2019,11:38:51 AM,0.605
6/13/2019,11:38:56 AM,0.6035
6/13/2019,11:39:01 AM,0.602
6/13/2019,11:39:06 AM,0.6015
6/13/2019,11:39:11 AM,0.602
6/13/2019,11:39:16 AM,0.603
6/13/2019,11:39:21 AM,0.603
