M/D/Y,C,mS/cm,mg/L,pH,mV,mV,psi
06/13/19 15:22:54,19.17,0.142,7.65,7.45,61.1,166,14.43
06/13/19 15:24:54,19.17,0.142,7.61,7.46,61,165,14.43
06/13/19 15:26:54,19.18,0.142,7.64,7.47,60.7,164,14.43
06/13/19 15:28:54,19.18,0.142,7.63,7.48,60.5,164,14.43
06/13/19 15:30:54,19.18,0.142,7.66,7.49,60.2,164,14.43
06/13/19 15:32:54,19.18,0.142,7.6,7.48,60.4,164,14.43
06/13/19 15:34:54,19.18,0.142,7.59,7.49,60.2,164,14.43
06/13/19 15:36:54,19.19,0.143,7.57,7.49,60.4,164,14.43
06/13/19 15:38:54,19.19,0.143,7.59,7.49,60.2,163,14.43
06/13/19 15:40:54,19.2,0.143,7.57,7.48,60.5,163,14.42
06/13/19 15:42:54,19.2,0.143,7.55,7.49,60.2,162,14.42
06/13/19 15:44:54,19.21,0.143,7.55,7.49,60.3,162,14.43
06/13/19 15:46:54,19.21,0.143,7.56,7.48,60.4,162,14.43
06/13/19 15:48:54,19.21,0.144,7.55,7.5,60,162,14.43
