,DateTime,CO2_PPM
175,7/10/2019 14:35,1370
176,7/10/2019 14:35,1360
177,7/10/2019 14:35,1360
178,7/10/2019 14:35,1360
179,7/10/2019 14:35,1360
180,7/10/2019 14:35,1360
181,7/10/2019 14:35,1360
182,7/10/2019 14:35,1360
183,7/10/2019 14:35,1360
184,7/10/2019 14:35,1360
185,7/10/2019 14:35,1360
186,7/10/2019 14:35,1360
187,7/10/2019 14:35,1360
188,7/10/2019 14:35,1370
189,7/10/2019 14:35,1370
190,7/10/2019 14:35,1370
191,7/10/2019 14:35,1370
192,7/10/2019 14:35,1370
193,7/10/2019 14:35,1370
194,7/10/2019 14:35,1380
195,7/10/2019 14:35,1380
196,7/10/2019 14:35,1390
197,7/10/2019 14:35,1390
198,7/10/2019 14:35,1390
199,7/10/2019 14:35,1400
200,7/10/2019 14:35,1400
201,7/10/2019 14:35,1400
202,7/10/2019 14:35,1410
203,7/10/2019 14:35,1410
204,7/10/2019 14:35,1410
205,7/10/2019 14:35,1420
206,7/10/2019 14:35,1420
207,7/10/2019 14:35,1420
208,7/10/2019 14:35,1420
209,7/10/2019 14:35,1430
210,7/10/2019 14:35,1430
211,7/10/2019 14:35,1430
212,7/10/2019 14:35,1420
213,7/10/2019 14:35,1420
214,7/10/2019 14:35,1420
215,7/10/2019 14:35,1410
216,7/10/2019 14:35,1400
217,7/10/2019 14:35,1380
218,7/10/2019 14:35,1370
219,7/10/2019 14:35,1360
220,7/10/2019 14:35,1350
221,7/10/2019 14:35,1340
222,7/10/2019 14:35,1320
223,7/10/2019 14:35,1300
224,7/10/2019 14:35,1290
225,7/10/2019 14:35,1280
226,7/10/2019 14:35,1260
227,7/10/2019 14:35,1250
228,7/10/2019 14:35,1240
229,7/10/2019 14:35,1230
230,7/10/2019 14:35,1220
231,7/10/2019 14:36,1210
232,7/10/2019 14:36,1200
233,7/10/2019 14:36,1200
234,7/10/2019 14:36,1200
235,7/10/2019 14:36,1210
236,7/10/2019 14:38,1530
237,7/10/2019 14:38,1540
238,7/10/2019 14:38,1550
239,7/10/2019 14:38,1560
240,7/10/2019 14:38,1560
241,7/10/2019 14:38,1570
242,7/10/2019 14:38,1580
243,7/10/2019 14:38,1580
244,7/10/2019 14:38,1590
245,7/10/2019 14:38,1600
246,7/10/2019 14:38,1600
247,7/10/2019 14:38,1620
248,7/10/2019 14:38,1630
249,7/10/2019 14:38,1640
250,7/10/2019 14:38,1650
251,7/10/2019 14:38,1670
252,7/10/2019 14:38,1690
253,7/10/2019 14:38,1710
254,7/10/2019 14:38,1740
255,7/10/2019 14:39,1750
256,7/10/2019 14:39,1770
257,7/10/2019 14:39,1800
258,7/10/2019 14:39,1820
259,7/10/2019 14:39,1840
260,7/10/2019 14:39,1860
261,7/10/2019 14:39,1880
262,7/10/2019 14:39,1890
263,7/10/2019 14:39,1910
264,7/10/2019 14:39,1920
265,7/10/2019 14:39,1930
266,7/10/2019 14:39,1940
267,7/10/2019 14:39,1940
268,7/10/2019 14:39,1950
269,7/10/2019 14:39,1950
270,7/10/2019 14:39,1960
271,7/10/2019 14:39,1960
272,7/10/2019 14:39,1950
273,7/10/2019 14:39,1950
274,7/10/2019 14:39,1950
275,7/10/2019 14:39,1960
276,7/10/2019 14:39,1960
277,7/10/2019 14:39,1970
278,7/10/2019 14:39,1980
279,7/10/2019 14:39,1990
280,7/10/2019 14:39,2000
281,7/10/2019 14:39,2010
282,7/10/2019 14:39,2020
283,7/10/2019 14:39,2040
284,7/10/2019 14:39,2050
285,7/10/2019 14:39,2060
286,7/10/2019 14:39,2080
287,7/10/2019 14:39,2090
288,7/10/2019 14:39,2110
289,7/10/2019 14:39,2140
290,7/10/2019 14:39,2150
291,7/10/2019 14:39,2180
292,7/10/2019 14:39,2210
293,7/10/2019 14:39,2240
294,7/10/2019 14:39,2270
295,7/10/2019 14:39,2290
296,7/10/2019 14:39,2310
297,7/10/2019 14:39,2340
298,7/10/2019 14:39,2350
299,7/10/2019 14:39,2370
300,7/10/2019 14:39,2380
301,7/10/2019 14:39,2390
302,7/10/2019 14:39,2410
303,7/10/2019 14:39,2420
304,7/10/2019 14:39,2440
305,7/10/2019 14:39,2450
306,7/10/2019 14:39,2460
307,7/10/2019 14:39,2470
308,7/10/2019 14:39,2480
309,7/10/2019 14:39,2480
310,7/10/2019 14:39,2490
311,7/10/2019 14:39,2490
312,7/10/2019 14:39,2490
313,7/10/2019 14:39,2480
314,7/10/2019 14:39,2480
315,7/10/2019 14:40,2480
316,7/10/2019 14:40,2470
317,7/10/2019 14:40,2480
318,7/10/2019 14:40,2480
319,7/10/2019 14:40,2480
320,7/10/2019 14:40,2490
321,7/10/2019 14:40,2500
322,7/10/2019 14:40,2500
323,7/10/2019 14:40,2510
324,7/10/2019 14:40,2520
325,7/10/2019 14:40,2530
326,7/10/2019 14:40,2540
327,7/10/2019 14:40,2560
328,7/10/2019 14:40,2580
329,7/10/2019 14:40,2590
330,7/10/2019 14:40,2620
331,7/10/2019 14:40,2640
332,7/10/2019 14:40,2670
333,7/10/2019 14:40,2700
334,7/10/2019 14:40,2720
335,7/10/2019 14:40,2750
336,7/10/2019 14:40,2780
337,7/10/2019 14:40,2800
338,7/10/2019 14:40,2820
339,7/10/2019 14:40,2830
340,7/10/2019 14:40,2840
341,7/10/2019 14:40,2840
342,7/10/2019 14:40,2850
343,7/10/2019 14:40,2850
344,7/10/2019 14:40,2840
345,7/10/2019 14:40,2840
346,7/10/2019 14:40,2820
347,7/10/2019 14:40,2800
348,7/10/2019 14:40,2780
349,7/10/2019 14:40,2770
350,7/10/2019 14:40,2740
351,7/10/2019 14:40,2720
352,7/10/2019 14:40,2700
353,7/10/2019 14:40,2680
354,7/10/2019 14:44,4900
355,7/10/2019 14:44,4870
356,7/10/2019 14:44,4830
357,7/10/2019 14:44,4790
358,7/10/2019 14:44,4760
359,7/10/2019 14:44,4720
360,7/10/2019 14:44,4680
361,7/10/2019 14:44,4640
362,7/10/2019 14:45,4620
363,7/10/2019 14:45,4580
364,7/10/2019 14:45,4540
365,7/10/2019 14:45,4500
366,7/10/2019 14:45,4460
367,7/10/2019 14:45,4430
368,7/10/2019 14:45,4400
369,7/10/2019 14:45,4370
370,7/10/2019 14:45,4330
371,7/10/2019 14:45,4310
372,7/10/2019 14:45,4290
373,7/10/2019 14:45,4270
374,7/10/2019 14:45,4250
375,7/10/2019 14:45,4240
376,7/10/2019 14:45,4230
377,7/10/2019 14:45,4230
378,7/10/2019 14:45,4230
379,7/10/2019 14:45,4240
380,7/10/2019 14:45,4250
381,7/10/2019 14:45,4270
382,7/10/2019 14:45,4280
383,7/10/2019 14:45,4300
384,7/10/2019 14:45,4320
385,7/10/2019 14:45,4350
386,7/10/2019 14:45,4380
387,7/10/2019 14:45,4390
388,7/10/2019 14:45,4420
389,7/10/2019 14:45,4440
390,7/10/2019 14:45,4460
391,7/10/2019 14:45,4480
392,7/10/2019 14:45,4490
393,7/10/2019 14:45,4500
394,7/10/2019 14:45,4520
395,7/10/2019 14:45,4530
396,7/10/2019 14:45,4530
397,7/10/2019 14:45,4530
398,7/10/2019 14:45,4520
399,7/10/2019 14:45,4500
400,7/10/2019 14:45,4490
401,7/10/2019 14:45,4470
402,7/10/2019 14:45,4460
403,7/10/2019 14:45,4450
404,7/10/2019 14:45,4430
405,7/10/2019 14:45,4410
406,7/10/2019 14:45,4400
407,7/10/2019 14:45,4390
408,7/10/2019 14:45,4380
409,7/10/2019 14:45,4370
410,7/10/2019 14:45,4360
411,7/10/2019 14:45,4340
412,7/10/2019 14:45,4330
413,7/10/2019 14:45,4310
414,7/10/2019 14:45,4290
415,7/10/2019 14:45,4270
416,7/10/2019 14:45,4250
417,7/10/2019 14:45,4240
418,7/10/2019 14:45,4220
419,7/10/2019 14:45,4210
420,7/10/2019 14:45,4190
421,7/10/2019 14:45,4170
422,7/10/2019 14:46,4150
423,7/10/2019 14:46,4140
424,7/10/2019 14:46,4120
425,7/10/2019 14:46,4090
426,7/10/2019 14:46,4070
427,7/10/2019 14:46,4040
428,7/10/2019 14:46,4010
429,7/10/2019 14:46,3970
430,7/10/2019 14:46,3940
431,7/10/2019 14:46,3910
432,7/10/2019 14:46,3890
433,7/10/2019 14:46,3860
434,7/10/2019 14:46,3830
435,7/10/2019 14:46,3790
436,7/10/2019 14:46,3770
437,7/10/2019 14:46,3740
438,7/10/2019 14:46,3720
439,7/10/2019 14:46,3690
440,7/10/2019 14:46,3650
441,7/10/2019 14:46,3630
442,7/10/2019 14:46,3600
443,7/10/2019 14:46,3570
444,7/10/2019 14:46,3540
445,7/10/2019 14:46,3520
446,7/10/2019 14:46,3500
447,7/10/2019 14:46,3470
448,7/10/2019 14:46,3450
449,7/10/2019 14:46,3420
450,7/10/2019 14:46,3400
451,7/10/2019 14:46,3390
452,7/10/2019 14:46,3370
453,7/10/2019 14:46,3350
454,7/10/2019 14:46,3340
455,7/10/2019 14:46,3320
456,7/10/2019 14:46,3300
457,7/10/2019 14:46,3280
458,7/10/2019 14:46,3270
459,7/10/2019 14:46,3260
460,7/10/2019 14:46,3240
461,7/10/2019 14:46,3240
462,7/10/2019 14:46,3220
463,7/10/2019 14:46,3210
464,7/10/2019 14:46,3190
465,7/10/2019 14:46,3170
466,7/10/2019 14:46,3160
467,7/10/2019 14:46,3140
468,7/10/2019 14:46,3120
469,7/10/2019 14:46,3090
470,7/10/2019 14:46,3060
471,7/10/2019 14:46,3040
472,7/10/2019 14:53,1330
473,7/10/2019 14:53,1340
474,7/10/2019 14:53,1350
475,7/10/2019 14:53,1360
476,7/10/2019 14:53,1370
477,7/10/2019 14:53,1380
478,7/10/2019 14:53,1400
479,7/10/2019 14:54,1410
480,7/10/2019 14:54,1420
481,7/10/2019 14:54,1420
482,7/10/2019 14:54,1420
483,7/10/2019 14:54,1430
484,7/10/2019 14:54,1430
485,7/10/2019 14:54,1430
486,7/10/2019 14:54,1420
487,7/10/2019 14:54,1420
488,7/10/2019 14:54,1410
489,7/10/2019 14:54,1400
490,7/10/2019 14:54,1390
491,7/10/2019 14:54,1380
492,7/10/2019 14:54,1370
493,7/10/2019 14:54,1370
494,7/10/2019 14:54,1360
495,7/10/2019 14:54,1360
496,7/10/2019 14:54,1360
497,7/10/2019 14:54,1360
498,7/10/2019 14:54,1370
499,7/10/2019 14:54,1380
500,7/10/2019 14:54,1390
501,7/10/2019 14:54,1390
502,7/10/2019 14:54,1400
503,7/10/2019 14:54,1420
504,7/10/2019 14:54,1430
505,7/10/2019 14:54,1440
506,7/10/2019 14:54,1460
507,7/10/2019 14:54,1470
508,7/10/2019 14:54,1490
509,7/10/2019 14:54,1510
510,7/10/2019 14:54,1530
511,7/10/2019 14:54,1540
512,7/10/2019 14:54,1560
513,7/10/2019 14:54,1580
514,7/10/2019 14:54,1600
515,7/10/2019 14:54,1620
516,7/10/2019 14:54,1630
517,7/10/2019 14:54,1650
518,7/10/2019 14:54,1670
519,7/10/2019 14:54,1680
520,7/10/2019 14:54,1700
521,7/10/2019 14:54,1700
522,7/10/2019 14:54,1710
523,7/10/2019 14:54,1720
524,7/10/2019 14:54,1730
525,7/10/2019 14:54,1740
526,7/10/2019 14:54,1740
527,7/10/2019 14:54,1740
528,7/10/2019 14:54,1740
529,7/10/2019 14:54,1730
530,7/10/2019 14:54,1730
531,7/10/2019 14:54,1740
532,7/10/2019 14:54,1740
533,7/10/2019 14:54,1740
534,7/10/2019 14:54,1740
535,7/10/2019 14:54,1740
536,7/10/2019 14:54,1740
537,7/10/2019 14:54,1740
538,7/10/2019 14:54,1740
539,7/10/2019 14:55,1750
540,7/10/2019 14:55,1750
541,7/10/2019 14:55,1760
542,7/10/2019 14:55,1760
543,7/10/2019 14:55,1770
544,7/10/2019 14:55,1780
545,7/10/2019 14:55,1790
546,7/10/2019 14:55,1800
547,7/10/2019 14:55,1810
548,7/10/2019 14:55,1810
549,7/10/2019 14:55,1820
550,7/10/2019 14:55,1820
551,7/10/2019 14:55,1820
552,7/10/2019 14:55,1820
553,7/10/2019 14:55,1830
554,7/10/2019 14:55,1830
555,7/10/2019 14:55,1840
556,7/10/2019 14:55,1840
557,7/10/2019 14:55,1850
558,7/10/2019 14:55,1860
559,7/10/2019 14:55,1860
560,7/10/2019 14:55,1870
561,7/10/2019 14:55,1880
562,7/10/2019 14:55,1890
563,7/10/2019 14:55,1900
564,7/10/2019 14:55,1900
565,7/10/2019 14:55,1900
566,7/10/2019 14:55,1900
567,7/10/2019 14:55,1900
568,7/10/2019 14:55,1900
569,7/10/2019 14:55,1900
570,7/10/2019 14:55,1900
571,7/10/2019 14:55,1890
572,7/10/2019 14:55,1890
573,7/10/2019 14:55,1890
574,7/10/2019 14:55,1890
575,7/10/2019 14:55,1890
576,7/10/2019 14:55,1880
577,7/10/2019 14:55,1880
578,7/10/2019 14:55,1890
579,7/10/2019 14:55,1890
580,7/10/2019 14:55,1890
581,7/10/2019 14:55,1890
582,7/10/2019 14:55,1900
583,7/10/2019 14:55,1910
584,7/10/2019 14:55,1920
585,7/10/2019 14:55,1930
586,7/10/2019 14:55,1950
587,7/10/2019 14:55,1960
588,7/10/2019 14:55,1980
589,7/10/2019 14:55,2000
590,7/10/2019 14:55,2010
591,7/10/2019 14:55,2030
592,7/10/2019 15:02,930
593,7/10/2019 15:02,940
594,7/10/2019 15:02,950
595,7/10/2019 15:02,960
596,7/10/2019 15:03,970
597,7/10/2019 15:03,980
598,7/10/2019 15:03,990
599,7/10/2019 15:03,1000
600,7/10/2019 15:03,1020
601,7/10/2019 15:03,1030
602,7/10/2019 15:03,1040
603,7/10/2019 15:03,1060
604,7/10/2019 15:03,1070
605,7/10/2019 15:03,1080
606,7/10/2019 15:03,1090
607,7/10/2019 15:03,1100
608,7/10/2019 15:03,1110
609,7/10/2019 15:03,1120
610,7/10/2019 15:03,1140
611,7/10/2019 15:03,1150
612,7/10/2019 15:03,1160
613,7/10/2019 15:03,1170
614,7/10/2019 15:03,1180
615,7/10/2019 15:03,1180
616,7/10/2019 15:03,1190
617,7/10/2019 15:03,1200
618,7/10/2019 15:03,1200
619,7/10/2019 15:03,1210
620,7/10/2019 15:03,1210
621,7/10/2019 15:03,1220
622,7/10/2019 15:03,1220
623,7/10/2019 15:03,1230
624,7/10/2019 15:03,1230
625,7/10/2019 15:03,1240
626,7/10/2019 15:03,1250
627,7/10/2019 15:03,1250
628,7/10/2019 15:03,1250
629,7/10/2019 15:03,1260
630,7/10/2019 15:03,1260
631,7/10/2019 15:03,1270
632,7/10/2019 15:03,1270
633,7/10/2019 15:03,1270
634,7/10/2019 15:03,1270
635,7/10/2019 15:03,1270
636,7/10/2019 15:03,1270
637,7/10/2019 15:03,1270
638,7/10/2019 15:03,1280
639,7/10/2019 15:03,1280
640,7/10/2019 15:03,1280
641,7/10/2019 15:03,1280
642,7/10/2019 15:03,1280
643,7/10/2019 15:03,1280
644,7/10/2019 15:03,1280
645,7/10/2019 15:03,1280
646,7/10/2019 15:03,1280
647,7/10/2019 15:03,1280
648,7/10/2019 15:03,1270
649,7/10/2019 15:03,1260
650,7/10/2019 15:03,1260
651,7/10/2019 15:03,1260
652,7/10/2019 15:03,1260
