"","DATE","TIME","X12CO2","Delta_Raw_iCO2"
"87","2019-07-17","14:50:00.013",431.91442234,-9.2148974227
"88","2019-07-17","14:50:00.555",431.91442234,-7.3814232358
"89","2019-07-17","14:50:01.769",431.91442234,-7.3814232358
"90","2019-07-17","14:50:02.979",431.91442234,-7.3814232358
"91","2019-07-17","14:50:03.506",431.98957987,-7.3814232358
"92","2019-07-17","14:50:04.030",431.98957987,-7.0679805164
"93","2019-07-17","14:50:05.250",431.98957987,-7.0679805164
"94","2019-07-17","14:50:06.456",431.98957987,-7.0679805164
"95","2019-07-17","14:50:07.003",431.83577619,-7.0679805164
"96","2019-07-17","14:50:07.526",431.83577619,-7.6617506048
"97","2019-07-17","14:50:08.727",431.83577619,-7.6617506048
"98","2019-07-17","14:50:09.933",431.83577619,-7.6617506048
"99","2019-07-17","14:50:10.482",431.52067578,-7.6617506048
"100","2019-07-17","14:50:11.016",431.52067578,-2.9663210321
"101","2019-07-17","14:50:12.239",431.52067578,-2.9663210321
"102","2019-07-17","14:50:13.450",431.52067578,-2.9663210321
"103","2019-07-17","14:50:13.997",431.70704153,-2.9663210321
"104","2019-07-17","14:50:14.542",431.70704153,-7.7336023293
"105","2019-07-17","14:50:15.766",431.70704153,-7.7336023293
"106","2019-07-17","14:50:16.980",431.70704153,-7.7336023293
"107","2019-07-17","14:50:17.510",431.39610185,-7.7336023293
"108","2019-07-17","14:50:18.023",431.39610185,-8.8142649721
"109","2019-07-17","14:50:19.249",431.39610185,-8.8142649721
"110","2019-07-17","14:50:20.457",431.39610185,-8.8142649721
"111","2019-07-17","14:50:21.013",431.64104707,-8.8142649721
"112","2019-07-17","14:50:21.551",431.64104707,-7.8270842138
"113","2019-07-17","14:50:22.773",431.64104707,-7.8270842138
"114","2019-07-17","14:50:23.976",431.64104707,-7.8270842138
"115","2019-07-17","14:50:24.513",431.59699729,-7.8270842138
"116","2019-07-17","14:50:25.028",431.59699729,-9.7029695734
"117","2019-07-17","14:50:26.250",431.59699729,-9.7029695734
"118","2019-07-17","14:50:27.460",431.59699729,-9.7029695734
"119","2019-07-17","14:50:28.013",431.58019993,-9.7029695734
"120","2019-07-17","14:50:28.549",431.58019993,-10.089594347
"121","2019-07-17","14:50:29.762",431.58019993,-10.089594347
"122","2019-07-17","14:50:30.970",431.58019993,-10.089594347
"123","2019-07-17","14:50:31.502",431.90744214,-10.089594347
"124","2019-07-17","14:50:32.023",431.90744214,-12.201708385
"125","2019-07-17","14:50:33.240",431.90744214,-12.201708385
"126","2019-07-17","14:50:34.453",431.90744214,-12.201708385
"127","2019-07-17","14:50:35.005",431.36396123,-12.201708385
"128","2019-07-17","14:50:35.545",431.36396123,-6.673133199
"129","2019-07-17","14:50:36.770",431.36396123,-6.673133199
"130","2019-07-17","14:50:37.982",431.36396123,-6.673133199
"131","2019-07-17","14:50:38.507",431.3979552,-6.673133199
"132","2019-07-17","14:50:39.020",431.3979552,-8.8141654545
"133","2019-07-17","14:50:40.255",431.3979552,-8.8141654545
"134","2019-07-17","14:50:41.480",431.3979552,-8.8141654545
"135","2019-07-17","14:50:42.035",431.2714944,-8.8141654545
"136","2019-07-17","14:50:42.565",431.2714944,-4.0593045913
"137","2019-07-17","14:50:43.788",431.2714944,-4.0593045913
"138","2019-07-17","14:50:45.006",431.2714944,-4.0593045913
"139","2019-07-17","14:50:45.569",431.14275202,-4.0593045913
"140","2019-07-17","14:50:46.107",431.14275202,-7.9126415379
"141","2019-07-17","14:50:47.338",431.14275202,-7.9126415379
"142","2019-07-17","14:50:48.552",431.14275202,-7.9126415379
"143","2019-07-17","14:50:49.102",431.36626817,-7.9126415379
"144","2019-07-17","14:50:49.625",431.36626817,-9.5528868885
"145","2019-07-17","14:50:50.848",431.36626817,-9.5528868885
"146","2019-07-17","14:50:52.061",431.36626817,-9.5528868885
"147","2019-07-17","14:50:52.621",431.01224721,-9.5528868885
"148","2019-07-17","14:50:53.154",431.01224721,-6.5263644227
"149","2019-07-17","14:50:54.371",431.01224721,-6.5263644227
"150","2019-07-17","14:50:55.582",431.01224721,-6.5263644227
"151","2019-07-17","14:50:56.111",431.43221234,-6.5263644227
"152","2019-07-17","14:50:56.621",431.43221234,-6.386476984
"153","2019-07-17","14:50:57.842",431.43221234,-6.386476984
"154","2019-07-17","14:50:59.056",431.43221234,-6.386476984
"155","2019-07-17","14:50:59.614",431.89898035,-6.386476984
"156","2019-07-17","14:51:00.148",431.89898035,-10.136297464
"157","2019-07-17","14:51:01.371",431.89898035,-10.136297464
"158","2019-07-17","14:51:02.581",431.89898035,-10.136297464
"159","2019-07-17","14:51:03.105",431.99855979,-10.136297464
"160","2019-07-17","14:51:03.611",431.99855979,-8.6368500185
"161","2019-07-17","14:51:04.828",431.99855979,-8.6368500185
"162","2019-07-17","14:51:06.045",431.99855979,-8.6368500185
"163","2019-07-17","14:51:06.602",432.22162037,-8.6368500185
"164","2019-07-17","14:51:07.141",432.22162037,-8.4059691734
"165","2019-07-17","14:51:08.368",432.22162037,-8.4059691734
"166","2019-07-17","14:51:09.592",432.22162037,-8.4059691734
"167","2019-07-17","14:51:10.115",431.77427206,-8.4059691734
"168","2019-07-17","14:51:10.625",431.77427206,-10.464894666
"169","2019-07-17","14:51:11.845",431.77427206,-10.464894666
"170","2019-07-17","14:51:13.058",431.77427206,-10.464894666
"171","2019-07-17","14:51:13.608",431.57360244,-10.464894666
"172","2019-07-17","14:51:14.134",431.57360244,-10.638585024
"173","2019-07-17","14:51:15.357",431.57360244,-10.638585024
"174","2019-07-17","14:51:16.571",431.57360244,-10.638585024
"175","2019-07-17","14:51:17.099",431.50692076,-10.638585024
"176","2019-07-17","14:51:17.630",431.50692076,-8.4104164261
"177","2019-07-17","14:51:18.842",431.50692076,-8.4104164261
"178","2019-07-17","14:51:20.039",431.50692076,-8.4104164261
"179","2019-07-17","14:51:20.594",431.74640209,-8.4104164261
"180","2019-07-17","14:51:21.128",431.74640209,-8.0576505346
"181","2019-07-17","14:51:22.349",431.74640209,-8.0576505346
"182","2019-07-17","14:51:23.569",431.74640209,-8.0576505346
"183","2019-07-17","14:51:24.107",431.67091418,-8.0576505346
"184","2019-07-17","14:51:24.628",431.67091418,-7.7747821089
"185","2019-07-17","14:51:25.848",431.67091418,-7.7747821089
"186","2019-07-17","14:51:27.069",431.67091418,-7.7747821089
"187","2019-07-17","14:51:27.618",431.43418294,-7.7747821089
"188","2019-07-17","14:51:28.148",431.43418294,-8.5026305858
"189","2019-07-17","14:51:29.364",431.43418294,-8.5026305858
"190","2019-07-17","14:51:30.559",431.43418294,-8.5026305858
"191","2019-07-17","14:51:31.101",431.42092113,-8.5026305858
"192","2019-07-17","14:51:31.631",431.42092113,-8.2091241007
"193","2019-07-17","14:51:32.849",431.42092113,-8.2091241007
"194","2019-07-17","14:51:34.062",431.42092113,-8.2091241007
"195","2019-07-17","14:51:34.615",431.71513403,-8.2091241007
"196","2019-07-17","14:51:35.147",431.71513403,-9.2211181285
"197","2019-07-17","14:51:36.369",431.71513403,-9.2211181285
"198","2019-07-17","14:51:37.582",431.71513403,-9.2211181285
"199","2019-07-17","14:51:38.105",431.19493428,-9.2211181285
"200","2019-07-17","14:51:38.628",431.19493428,-7.7843410535
"201","2019-07-17","14:51:39.848",431.19493428,-7.7843410535
"202","2019-07-17","14:51:41.065",431.19493428,-7.7843410535
"203","2019-07-17","14:51:41.621",431.4106401,-7.7843410535
"204","2019-07-17","14:51:42.154",431.4106401,-10.132242905
"205","2019-07-17","14:51:43.375",431.4106401,-10.132242905
"206","2019-07-17","14:51:44.585",431.4106401,-10.132242905
"207","2019-07-17","14:51:45.111",431.58535654,-10.132242905
"208","2019-07-17","14:51:45.625",431.58535654,-9.0103891532
"209","2019-07-17","14:51:46.845",431.58535654,-9.0103891532
"210","2019-07-17","14:51:48.061",431.58535654,-9.0103891532
"211","2019-07-17","14:51:48.618",431.57007087,-9.0103891532
"212","2019-07-17","14:51:49.154",431.57007087,-8.0592696984
"213","2019-07-17","14:51:50.368",431.57007087,-8.0592696984
"214","2019-07-17","14:51:51.578",431.57007087,-8.0592696984
