"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
101,07/16/19 02:00:00 PM,7.0,45.28,,,,,
102,07/16/19 02:15:00 PM,7.0,45.41,,,,,
103,07/16/19 02:30:00 PM,7.0,45.48,,,,,
104,07/16/19 02:45:00 PM,8.2,45.63,,,,,
105,07/16/19 03:00:00 PM,7.0,46.15,,,,,
106,07/16/19 03:15:00 PM,7.0,46.63,,,,,
107,07/16/19 03:30:00 PM,7.0,47.12,,,,,
108,07/16/19 03:45:00 PM,7.0,47.50,,,,,
109,07/16/19 04:00:00 PM,7.0,47.84,,,,,
110,07/16/19 04:15:00 PM,7.4,48.04,,,,,
111,07/16/19 04:30:00 PM,7.0,48.13,,,,,
112,07/16/19 04:45:00 PM,7.0,47.97,,,,,
113,07/16/19 05:00:00 PM,38.2,47.77,,,,,
114,07/16/19 05:15:00 PM,8.1,47.52,,,,,
115,07/16/19 05:30:00 PM,7.0,47.16,,,,,
116,07/16/19 05:45:00 PM,7.0,46.90,,,,,
117,07/16/19 06:00:00 PM,7.4,46.63,,,,,
118,07/16/19 06:15:00 PM,7.4,46.33,,,,,
119,07/16/19 06:30:00 PM,7.4,46.02,,,,,
120,07/16/19 06:45:00 PM,7.0,45.73,,,,,
121,07/16/19 07:00:00 PM,7.4,45.52,,,,,
122,07/16/19 07:15:00 PM,7.4,45.28,,,,,
123,07/16/19 07:30:00 PM,7.4,45.10,,,,,
124,07/16/19 07:45:00 PM,7.4,44.89,,,,,
125,07/16/19 08:00:00 PM,7.4,44.76,,,,,
126,07/16/19 08:15:00 PM,7.4,44.60,,,,,
127,07/16/19 08:30:00 PM,7.4,44.44,,,,,
128,07/16/19 08:45:00 PM,7.4,44.29,,,,,
129,07/16/19 09:00:00 PM,7.0,44.10,,,,,
130,07/16/19 09:15:00 PM,7.0,43.97,,,,,
131,07/16/19 09:30:00 PM,7.0,43.84,,,,,
132,07/16/19 09:45:00 PM,7.0,43.70,,,,,
133,07/16/19 10:00:00 PM,7.0,43.56,,,,,
134,07/16/19 10:15:00 PM,7.0,43.47,,,,,
135,07/16/19 10:30:00 PM,7.0,43.38,,,,,
136,07/16/19 10:45:00 PM,7.0,43.32,,,,,
137,07/16/19 11:00:00 PM,7.0,43.23,,,,,
138,07/16/19 11:15:00 PM,7.0,43.14,,,,,
139,07/16/19 11:30:00 PM,7.0,43.03,,,,,
140,07/16/19 11:45:00 PM,7.0,42.94,,,,,
141,07/17/19 12:00:00 AM,7.0,42.85,,,,,
142,07/17/19 12:15:00 AM,7.0,42.75,,,,,
143,07/17/19 12:30:00 AM,7.0,42.66,,,,,
144,07/17/19 12:45:00 AM,7.8,42.62,,,,,
145,07/17/19 01:00:00 AM,7.0,42.57,,,,,
146,07/17/19 01:15:00 AM,7.0,42.49,,,,,
147,07/17/19 01:30:00 AM,7.0,42.44,,,,,
148,07/17/19 01:45:00 AM,7.0,42.40,,,,,
149,07/17/19 02:00:00 AM,7.0,42.33,,,,,
150,07/17/19 02:15:00 AM,7.0,42.26,,,,,
151,07/17/19 02:30:00 AM,7.0,42.19,,,,,
152,07/17/19 02:45:00 AM,7.0,42.12,,,,,
