"","X.1","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample","Day"
"1760",64821,64821,2019-07-30 16:05:59,2.0444146526,2.1074075639,-48.47625207,-51.93611712,-53.490370369,-48.47625207,-48.102651074,"ecu2","july30"
"1761",64822,64822,2019-07-30 16:06:01,2.0444146526,2.1074075639,-48.47625207,-51.93611712,-53.490370369,-48.47625207,-48.102651074,"ecu2","july30"
"1762",64823,64823,2019-07-30 16:06:01,2.0444146526,2.1074075639,-48.47625207,-51.93611712,-53.490370369,-48.47625207,-48.102651074,"ecu2","july30"
"1763",64824,64824,2019-07-30 16:06:02,2.0444146526,2.1074075639,-48.47625207,-51.93611712,-53.490370369,-48.47625207,-48.102651074,"ecu2","july30"
"1764",64825,64825,2019-07-30 16:06:03,2.0817254869,2.1260498235,-43.725570977,-54.278088276,-54.06993228,-43.725570977,-46.962561556,"ecu2","july30"
"1765",64826,64826,2019-07-30 16:06:04,2.0817254869,2.1260498235,-43.725570977,-54.278088276,-54.06993228,-43.725570977,-46.962561556,"ecu2","july30"
"1766",64827,64827,2019-07-30 16:06:05,2.0817254869,2.1260498235,-43.725570977,-54.278088276,-54.06993228,-43.725570977,-46.962561556,"ecu2","july30"
"1767",64828,64828,2019-07-30 16:06:05,2.0817254869,2.1260498235,-43.725570977,-54.278088276,-54.06993228,-43.725570977,-46.962561556,"ecu2","july30"
"1768",64829,64829,2019-07-30 16:06:06,2.0722652322,2.1399444789,-40.642022521,-39.785718872,-51.998325745,-40.642022521,-45.920336217,"ecu2","july30"
"1769",64830,64830,2019-07-30 16:06:08,2.0722652322,2.1399444789,-40.642022521,-39.785718872,-51.998325745,-40.642022521,-45.920336217,"ecu2","july30"
"1770",64831,64831,2019-07-30 16:06:08,2.0722652322,2.1399444789,-40.642022521,-39.785718872,-51.998325745,-40.642022521,-45.920336217,"ecu2","july30"
