"","Sample","Avg_iCO2","StdDev_iCO2"
"1","col1",-14.358141463112,1.65774201412926
"2","col2",-13.5635566348471,1.73767909358804
"3","col3",-11.3247328716114,1.78628845707699
"4","ecu2",-23.6911081168664,3.21607667264239
"5","col4",-11.8103046898747,1.96771600096677
"6","col5",-14.3143308372749,1.2898032546673
"7","ecu3",-25.5324092477005,3.21379048004227
"8","col6",-13.2920494273088,1.50435484517975
"9","col7",-13.6753884708978,1.3456178177025
"10","ecu4",-21.6804377543258,3.13507641702707
"11","col8",-13.1006968868784,1.27669229418938
"12","col5",-14.3143308372749,1.2898032546673
