"","X.1","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample","Day"
"1293",83936,83936,2019-08-13 20:44:01,2.4281217125,2.5018860916,-40.161568375,-38.46910212,-52.803675879,-40.161568375,-44.678331873,"ecu3","aug13"
"1294",83937,83937,2019-08-13 20:44:02,2.3799852395,2.4507485968,-46.823742573,-44.777857871,-52.078605478,-46.823742573,-45.428555693,"ecu3","aug13"
"1295",83938,83938,2019-08-13 20:44:03,2.3799852395,2.4507485968,-46.823742573,-44.777857871,-52.078605478,-46.823742573,-45.428555693,"ecu3","aug13"
"1296",83939,83939,2019-08-13 20:44:04,2.3799852395,2.4507485968,-46.823742573,-44.777857871,-52.078605478,-46.823742573,-45.428555693,"ecu3","aug13"
"1297",83940,83940,2019-08-13 20:44:04,2.3799852395,2.4507485968,-46.823742573,-44.777857871,-52.078605478,-46.823742573,-45.428555693,"ecu3","aug13"
"1298",83941,83941,2019-08-13 20:44:05,2.3279872831,2.3963416461,-48.846673726,-47.094941905,-49.87632508,-48.846673726,-45.019809634,"ecu3","aug13"
"1299",83942,83942,2019-08-13 20:44:07,2.3279872831,2.3963416461,-48.846673726,-47.094941905,-49.87632508,-48.846673726,-45.019809634,"ecu3","aug13"
"1300",83943,83943,2019-08-13 20:44:07,2.3279872831,2.3963416461,-48.846673726,-47.094941905,-49.87632508,-48.846673726,-45.019809634,"ecu3","aug13"
"1301",83944,83944,2019-08-13 20:44:08,2.3279872831,2.3963416461,-48.846673726,-47.094941905,-49.87632508,-48.846673726,-45.019809634,"ecu3","aug13"
"1302",83945,83945,2019-08-13 20:44:09,2.2708733933,2.3478633197,-41.97839476,-36.428637912,-46.274340261,-41.97839476,-44.16015625,"ecu3","aug13"
"1303",83946,83946,2019-08-13 20:44:10,2.2708733933,2.3478633197,-41.97839476,-36.428637912,-46.274340261,-41.97839476,-44.16015625,"ecu3","aug13"
"1304",83947,83947,2019-08-13 20:44:11,2.2708733933,2.3478633197,-41.97839476,-36.428637912,-46.274340261,-41.97839476,-44.16015625,"ecu3","aug13"
"1305",83948,83948,2019-08-13 20:44:11,2.2708733933,2.3478633197,-41.97839476,-36.428637912,-46.274340261,-41.97839476,-44.16015625,"ecu3","aug13"
"1306",83949,83949,2019-08-13 20:44:12,2.2622865597,2.3052654176,-39.422390446,-46.192011475,-44.52101171,-39.422390446,-43.346661368,"ecu3","aug13"
"1307",83950,83950,2019-08-13 20:44:14,2.2622865597,2.3052654176,-39.422390446,-46.192011475,-44.52101171,-39.422390446,-43.346661368,"ecu3","aug13"
"1308",83951,83951,2019-08-13 20:44:14,2.2622865597,2.3052654176,-39.422390446,-46.192011475,-44.52101171,-39.422390446,-43.346661368,"ecu3","aug13"
"1309",83952,83952,2019-08-13 20:44:15,2.2622865597,2.3052654176,-39.422390446,-46.192011475,-44.52101171,-39.422390446,-43.346661368,"ecu3","aug13"
"1310",83953,83953,2019-08-13 20:44:16,2.2065133901,2.2709658994,-45.00809866,-41.827902366,-43.589253671,-45.00809866,-43.572180656,"ecu3","aug13"
"1311",83954,83954,2019-08-13 20:44:17,2.2065133901,2.2709658994,-45.00809866,-41.827902366,-43.589253671,-45.00809866,-43.572180656,"ecu3","aug13"
"1312",83955,83955,2019-08-13 20:44:18,2.2065133901,2.2709658994,-45.00809866,-41.827902366,-43.589253671,-45.00809866,-43.572180656,"ecu3","aug13"
