"","Sample","Avg_iCO2","StdDev_iCO2"
"1","col1",-13.5936172773431,1.26541035274867
"2","col2",-12.9120415440374,1.73367011426028
"3","col3",-12.8001245420441,1.23291846395575
"4","col4",-11.3823110305128,1.8451996056227
"5","col5",-12.0593843932593,1.667674293217
"6","col6",-11.0952526759604,1.49472577501762
"7","col7",-11.8267159733324,1.89081457853103
"8","col8",-11.6118850923691,1.21884793094504
