Date,Time,Volts
6/18/2019,10:44:07 AM,0.678
6/18/2019,10:44:12 AM,0.6815
6/18/2019,10:44:17 AM,0.684
6/18/2019,10:44:22 AM,0.686
6/18/2019,10:44:27 AM,0.688
6/18/2019,10:44:32 AM,0.6905
6/18/2019,10:44:37 AM,0.6935
6/18/2019,10:44:42 AM,0.6955
6/18/2019,10:44:47 AM,0.6975
6/18/2019,10:44:52 AM,0.699
6/18/2019,10:44:57 AM,0.701
6/18/2019,10:45:02 AM,0.703
6/18/2019,10:45:07 AM,0.7055
6/18/2019,10:45:12 AM,0.7075
6/18/2019,10:45:17 AM,0.7085
6/18/2019,10:45:22 AM,0.7105
6/18/2019,10:45:27 AM,0.713
6/18/2019,10:45:32 AM,0.716
6/18/2019,10:45:37 AM,0.7185
6/18/2019,10:45:42 AM,0.72
6/18/2019,10:45:47 AM,0.721
6/18/2019,10:45:52 AM,0.723
6/18/2019,10:45:57 AM,0.7255
6/18/2019,10:46:02 AM,0.729
6/18/2019,10:46:07 AM,0.731
6/18/2019,10:46:12 AM,0.7315
6/18/2019,10:46:17 AM,0.7315
6/18/2019,10:46:22 AM,0.733
6/18/2019,10:46:27 AM,0.7355
6/18/2019,10:46:32 AM,0.7385
6/18/2019,10:46:37 AM,0.741
6/18/2019,10:46:42 AM,0.743
6/18/2019,10:46:47 AM,0.7445
6/18/2019,10:46:52 AM,0.7465
6/18/2019,10:46:57 AM,0.7485
6/18/2019,10:47:02 AM,0.751
6/18/2019,10:47:07 AM,0.7515
6/18/2019,10:47:12 AM,0.7525
6/18/2019,10:47:17 AM,0.7525
6/18/2019,10:47:22 AM,0.753
6/18/2019,10:47:27 AM,0.754
6/18/2019,10:47:32 AM,0.754
6/18/2019,10:47:37 AM,0.7545
6/18/2019,10:47:42 AM,0.7565
6/18/2019,10:47:47 AM,0.7575
6/18/2019,10:47:52 AM,0.7585
6/18/2019,10:47:57 AM,0.7595
6/18/2019,10:48:02 AM,0.7615
6/18/2019,10:48:07 AM,0.763
6/18/2019,10:48:12 AM,0.7645
6/18/2019,10:48:17 AM,0.7655
6/18/2019,10:48:22 AM,0.765
6/18/2019,10:48:27 AM,0.7645
6/18/2019,10:48:32 AM,0.765
6/18/2019,10:48:37 AM,0.7655
6/18/2019,10:48:42 AM,0.7665
6/18/2019,10:48:47 AM,0.7665
6/18/2019,10:48:52 AM,0.767
6/18/2019,10:48:57 AM,0.767
6/18/2019,10:49:02 AM,0.7665
6/18/2019,10:49:07 AM,0.7665
6/18/2019,10:49:12 AM,0.7675
6/18/2019,10:49:17 AM,0.7705
6/18/2019,10:49:22 AM,0.7735
6/18/2019,10:49:27 AM,0.776
6/18/2019,10:49:32 AM,0.7775
6/18/2019,10:49:37 AM,0.777
6/18/2019,10:49:42 AM,0.776
6/18/2019,10:49:47 AM,0.7755
6/18/2019,10:49:52 AM,0.777
6/18/2019,10:49:57 AM,0.7785
6/18/2019,10:50:02 AM,0.7785
6/18/2019,10:50:07 AM,0.778
6/18/2019,10:50:12 AM,0.778
6/18/2019,10:50:17 AM,0.779
6/18/2019,10:50:22 AM,0.78
6/18/2019,10:50:27 AM,0.781
6/18/2019,10:50:32 AM,0.781
6/18/2019,10:50:37 AM,0.7815
6/18/2019,10:50:42 AM,0.7825
6/18/2019,10:50:47 AM,0.784
6/18/2019,10:50:52 AM,0.785
6/18/2019,10:50:57 AM,0.7865
6/18/2019,10:51:02 AM,0.787
6/18/2019,10:51:07 AM,0.7855
6/18/2019,10:51:12 AM,0.785
6/18/2019,10:51:17 AM,0.785
6/18/2019,10:51:22 AM,0.7865
6/18/2019,10:51:27 AM,0.787
6/18/2019,10:51:32 AM,0.7875
6/18/2019,10:51:37 AM,0.7865
6/18/2019,10:51:42 AM,0.785
6/18/2019,10:51:47 AM,0.784
6/18/2019,10:51:52 AM,0.7835
6/18/2019,10:51:57 AM,0.7835
6/18/2019,10:52:02 AM,0.785
6/18/2019,10:52:07 AM,0.788
6/18/2019,10:52:12 AM,0.792
6/18/2019,10:52:17 AM,0.7955
6/18/2019,10:52:22 AM,0.798
6/18/2019,10:52:27 AM,0.7995
6/18/2019,10:52:32 AM,0.7995
6/18/2019,10:52:37 AM,0.799
6/18/2019,10:52:42 AM,0.7965
6/18/2019,10:52:47 AM,0.7955
6/18/2019,10:52:52 AM,0.795
6/18/2019,10:52:57 AM,0.7955
6/18/2019,10:53:02 AM,0.7955
6/18/2019,10:53:07 AM,0.7955
6/18/2019,10:53:12 AM,0.796
6/18/2019,10:53:17 AM,0.797
6/18/2019,10:53:22 AM,0.7975
6/18/2019,10:53:27 AM,0.798
6/18/2019,10:53:32 AM,0.797
6/18/2019,10:53:37 AM,0.7955
6/18/2019,10:53:42 AM,0.794
6/18/2019,10:53:47 AM,0.7935
6/18/2019,10:53:52 AM,0.794
6/18/2019,10:53:57 AM,0.7955
6/18/2019,10:54:02 AM,0.796
6/18/2019,10:54:07 AM,0.7965
6/18/2019,10:54:12 AM,0.7965
6/18/2019,10:54:17 AM,0.796
6/18/2019,10:54:22 AM,0.795
6/18/2019,10:54:27 AM,0.795
6/18/2019,10:54:32 AM,0.795
6/18/2019,10:54:37 AM,0.7955
6/18/2019,10:54:42 AM,0.795
6/18/2019,10:54:47 AM,0.7945
6/18/2019,10:54:52 AM,0.7965
6/18/2019,10:54:57 AM,0.799
6/18/2019,10:55:02 AM,0.8
6/18/2019,10:55:07 AM,0.801
6/18/2019,10:55:12 AM,0.8015
6/18/2019,10:55:17 AM,0.8015
6/18/2019,10:55:22 AM,0.8005
6/18/2019,10:55:27 AM,0.7995
6/18/2019,10:55:32 AM,0.7995
6/18/2019,10:55:37 AM,0.8005
6/18/2019,10:55:42 AM,0.801
6/18/2019,10:55:47 AM,0.801
6/18/2019,10:55:52 AM,0.801
6/18/2019,10:55:57 AM,0.801
6/18/2019,10:56:02 AM,0.801
6/18/2019,10:56:07 AM,0.801
6/18/2019,10:56:12 AM,0.8005
6/18/2019,10:56:17 AM,0.801
6/18/2019,10:56:22 AM,0.8005
6/18/2019,10:56:27 AM,0.8
6/18/2019,10:56:32 AM,0.7995
6/18/2019,10:56:37 AM,0.7995
6/18/2019,10:56:42 AM,0.799
6/18/2019,10:56:47 AM,0.799
6/18/2019,10:56:52 AM,0.8005
6/18/2019,10:56:57 AM,0.8015
6/18/2019,10:57:02 AM,0.8025
6/18/2019,10:57:07 AM,0.8025
6/18/2019,10:57:12 AM,0.803
6/18/2019,10:57:17 AM,0.804
6/18/2019,10:57:22 AM,0.8045
6/18/2019,10:57:27 AM,0.805
6/18/2019,10:57:32 AM,0.8055
6/18/2019,10:57:37 AM,0.8055
6/18/2019,10:57:42 AM,0.8055
6/18/2019,10:57:47 AM,0.8055
6/18/2019,10:57:52 AM,0.806
6/18/2019,10:57:57 AM,0.806
6/18/2019,10:58:02 AM,0.805
6/18/2019,10:58:07 AM,0.805
6/18/2019,10:58:12 AM,0.806
6/18/2019,10:58:17 AM,0.806
6/18/2019,10:58:22 AM,0.8065
6/18/2019,10:58:27 AM,0.8065
6/18/2019,10:58:32 AM,0.8065
6/18/2019,10:58:37 AM,0.8065
6/18/2019,10:58:42 AM,0.8055
6/18/2019,10:58:47 AM,0.805
6/18/2019,10:58:52 AM,0.8045
6/18/2019,10:58:57 AM,0.8045
6/18/2019,10:59:02 AM,0.804
6/18/2019,10:59:07 AM,0.8035
6/18/2019,10:59:12 AM,0.8035
6/18/2019,10:59:17 AM,0.8035
6/18/2019,10:59:22 AM,0.8025
6/18/2019,10:59:27 AM,0.8015
6/18/2019,10:59:32 AM,0.8015
6/18/2019,10:59:37 AM,0.8025
6/18/2019,10:59:42 AM,0.804
6/18/2019,10:59:47 AM,0.806
6/18/2019,10:59:52 AM,0.807
6/18/2019,10:59:57 AM,0.8075
6/18/2019,11:00:02 AM,0.806
6/18/2019,11:00:07 AM,0.8055
6/18/2019,11:00:12 AM,0.8065
6/18/2019,11:00:17 AM,0.808
6/18/2019,11:00:22 AM,0.809
6/18/2019,11:00:27 AM,0.809
6/18/2019,11:00:32 AM,0.809
