"","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","geometry"
"25",4103.131348,"2019/07/06 17:57:53+00",NA,NA,"017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200582, -0.32857)
"26",4103.183594,"2019/07/06 17:58:15+00",NA,NA,"018",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200589, -0.328596)
"27",4103.940918,"2019/07/06 17:58:45+00",NA,NA,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200598, -0.328626)
"28",4101.292969,"2019/07/06 17:59:16+00",NA,NA,"020",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200587, -0.328684)
"29",4100.516602,"2019/07/06 17:59:56+00",NA,NA,"021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200589, -0.328761)
"30",4100.813965,"2019/07/06 18:00:03+00",NA,NA,"022",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200581, -0.32876)
"31",4099.584961,"2019/07/06 18:00:29+00",NA,NA,"023",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200586, -0.328814)
"32",4098.88623,"2019/07/06 18:00:42+00",NA,NA,"024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200592, -0.328849)
"33",4097.833008,"2019/07/06 18:01:31+00",NA,NA,"025",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.2006, -0.328888)
"34",4095.134033,"2019/07/06 18:02:27+00",NA,NA,"026",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200614, -0.328912)
"35",4096.843262,"2019/07/06 18:03:14+00",NA,NA,"027",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200617, -0.328965)
"36",4096.233887,"2019/07/06 18:03:47+00",NA,NA,"028",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.20067, -0.329017)
"37",4097.151855,"2019/07/06 18:06:48+00",NA,NA,"WTRFALLTOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200701, -0.329075)
"38",4097.693848,"2019/07/06 18:12:26+00",NA,NA,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200709, -0.329104)
"39",4094.378174,"2019/07/06 18:13:40+00",NA,NA,"030",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200723, -0.329152)
"40",4091.121094,"2019/07/06 18:14:48+00",NA,NA,"031",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200733, -0.329189)
"41",4090.508301,"2019/07/06 18:15:16+00",NA,NA,"032",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200761, -0.329219)
"42",4089.581543,"2019/07/06 18:16:12+00",NA,NA,"033",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200805, -0.329254)
"43",4088.421875,"2019/07/06 18:16:54+00",NA,NA,"034",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200838, -0.329253)
"44",4085.802979,"2019/07/06 18:17:39+00",NA,NA,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200853, -0.329299)
"45",4086.52832,"2019/07/06 18:18:27+00",NA,NA,"036",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200893, -0.329329)
