Date,Time,Volts
6/18/2019,11:03:57 AM,0.6125
6/18/2019,11:04:02 AM,0.6135
6/18/2019,11:04:07 AM,0.6135
6/18/2019,11:04:12 AM,0.6135
6/18/2019,11:04:17 AM,0.6145
6/18/2019,11:04:22 AM,0.6155
6/18/2019,11:04:27 AM,0.6165
6/18/2019,11:04:32 AM,0.617
6/18/2019,11:04:37 AM,0.618
6/18/2019,11:04:42 AM,0.6195
6/18/2019,11:04:47 AM,0.621
6/18/2019,11:04:52 AM,0.622
6/18/2019,11:04:57 AM,0.623
6/18/2019,11:05:02 AM,0.623
6/18/2019,11:05:07 AM,0.624
6/18/2019,11:05:12 AM,0.6265
6/18/2019,11:05:17 AM,0.6295
6/18/2019,11:05:22 AM,0.6305
6/18/2019,11:05:27 AM,0.6305
6/18/2019,11:05:32 AM,0.6295
6/18/2019,11:05:37 AM,0.6295
6/18/2019,11:05:42 AM,0.63
6/18/2019,11:05:47 AM,0.631
6/18/2019,11:05:52 AM,0.631
6/18/2019,11:05:57 AM,0.6325
6/18/2019,11:06:02 AM,0.634
6/18/2019,11:06:07 AM,0.6345
6/18/2019,11:06:12 AM,0.6345
6/18/2019,11:06:17 AM,0.635
6/18/2019,11:06:22 AM,0.6375
6/18/2019,11:06:27 AM,0.639
6/18/2019,11:06:32 AM,0.6405
6/18/2019,11:06:37 AM,0.641
6/18/2019,11:06:42 AM,0.6425
6/18/2019,11:06:47 AM,0.643
6/18/2019,11:06:52 AM,0.643
6/18/2019,11:06:57 AM,0.643
6/18/2019,11:07:02 AM,0.6435
6/18/2019,11:07:07 AM,0.6445
6/18/2019,11:07:12 AM,0.646
6/18/2019,11:07:17 AM,0.6465
6/18/2019,11:07:22 AM,0.647
6/18/2019,11:07:27 AM,0.647
6/18/2019,11:07:32 AM,0.647
6/18/2019,11:07:37 AM,0.647
6/18/2019,11:07:42 AM,0.65
6/18/2019,11:07:47 AM,0.652
6/18/2019,11:07:52 AM,0.653
6/18/2019,11:07:57 AM,0.6525
6/18/2019,11:08:02 AM,0.653
6/18/2019,11:08:07 AM,0.654
6/18/2019,11:08:12 AM,0.6545
6/18/2019,11:08:17 AM,0.6555
6/18/2019,11:08:22 AM,0.6565
6/18/2019,11:08:27 AM,0.657
6/18/2019,11:08:32 AM,0.658
6/18/2019,11:08:37 AM,0.6585
6/18/2019,11:08:42 AM,0.6595
6/18/2019,11:08:47 AM,0.6605
6/18/2019,11:08:52 AM,0.661
6/18/2019,11:08:57 AM,0.6615
6/18/2019,11:09:02 AM,0.6605
6/18/2019,11:09:07 AM,0.6605
6/18/2019,11:09:12 AM,0.6605
6/18/2019,11:09:17 AM,0.6605
6/18/2019,11:09:22 AM,0.6595
6/18/2019,11:09:27 AM,0.6585
6/18/2019,11:09:32 AM,0.659
6/18/2019,11:09:37 AM,0.661
6/18/2019,11:09:42 AM,0.663
6/18/2019,11:09:47 AM,0.6645
6/18/2019,11:09:52 AM,0.666
6/18/2019,11:09:57 AM,0.6675
6/18/2019,11:10:02 AM,0.6695
6/18/2019,11:10:07 AM,0.671
6/18/2019,11:10:12 AM,0.6725
6/18/2019,11:10:17 AM,0.674
6/18/2019,11:10:22 AM,0.675
6/18/2019,11:10:27 AM,0.676
6/18/2019,11:10:32 AM,0.677
6/18/2019,11:10:37 AM,0.6775
6/18/2019,11:10:42 AM,0.677
6/18/2019,11:10:47 AM,0.677
6/18/2019,11:10:52 AM,0.6775
6/18/2019,11:10:57 AM,0.678
6/18/2019,11:11:02 AM,0.678
6/18/2019,11:11:07 AM,0.6785
6/18/2019,11:11:12 AM,0.6805
6/18/2019,11:11:17 AM,0.6825
6/18/2019,11:11:22 AM,0.684
6/18/2019,11:11:27 AM,0.6845
6/18/2019,11:11:32 AM,0.684
6/18/2019,11:11:37 AM,0.684
6/18/2019,11:11:42 AM,0.685
6/18/2019,11:11:47 AM,0.6865
6/18/2019,11:11:52 AM,0.6875
6/18/2019,11:11:57 AM,0.689
6/18/2019,11:12:02 AM,0.6905
6/18/2019,11:12:07 AM,0.6925
6/18/2019,11:12:12 AM,0.693
6/18/2019,11:12:17 AM,0.693
6/18/2019,11:12:22 AM,0.693
6/18/2019,11:12:27 AM,0.6935
6/18/2019,11:12:32 AM,0.696
6/18/2019,11:12:37 AM,0.697
6/18/2019,11:12:42 AM,0.6975
6/18/2019,11:12:47 AM,0.6965
6/18/2019,11:12:52 AM,0.697
6/18/2019,11:12:57 AM,0.6985
6/18/2019,11:13:02 AM,0.7
6/18/2019,11:13:07 AM,0.7
6/18/2019,11:13:12 AM,0.6985
6/18/2019,11:13:17 AM,0.698
6/18/2019,11:13:22 AM,0.6985
6/18/2019,11:13:27 AM,0.699
6/18/2019,11:13:32 AM,0.7
6/18/2019,11:13:37 AM,0.6995
6/18/2019,11:13:42 AM,0.699
6/18/2019,11:13:47 AM,0.6985
6/18/2019,11:13:52 AM,0.6995
