Date,Time,Time Zone,Delta,Voltage (V)
7/16/2019,13:40:31,-05:00,-00:00:00,0.0465
7/16/2019,13:41:31,-05:00,+00:01:00,0.047
7/16/2019,13:42:31,-05:00,+00:02:00,0.0465
7/16/2019,13:43:31,-05:00,+00:03:00,0.0455
7/16/2019,13:44:31,-05:00,+00:04:00,0.046
7/16/2019,13:45:31,-05:00,+00:05:00,0.047
7/16/2019,13:46:31,-05:00,+00:06:00,0.0455
7/16/2019,13:47:31,-05:00,+00:07:00,0.0455
7/16/2019,13:48:31,-05:00,+00:08:00,0.0465
7/16/2019,13:49:31,-05:00,+00:09:00,0.0455
7/16/2019,13:50:31,-05:00,+00:10:00,0.046
7/16/2019,13:51:31,-05:00,+00:11:00,0.046
7/16/2019,13:52:31,-05:00,+00:12:00,0.002
7/16/2019,13:53:31,-05:00,+00:13:00,0.0035
7/16/2019,13:54:31,-05:00,+00:14:00,0.001
7/16/2019,13:55:31,-05:00,+00:15:00,0.001
7/16/2019,13:56:31,-05:00,+00:16:00,0.001
7/16/2019,13:57:31,-05:00,+00:17:00,0.001
7/16/2019,13:58:31,-05:00,+00:18:00,0.001
7/16/2019,13:59:31,-05:00,+00:19:00,0.001
7/16/2019,14:00:31,-05:00,+00:20:00,0.001
7/16/2019,14:01:31,-05:00,+00:21:00,0.001
7/16/2019,14:02:31,-05:00,+00:22:00,0.001
7/16/2019,14:03:31,-05:00,+00:23:00,0.001
7/16/2019,14:04:31,-05:00,+00:24:00,0.001
7/16/2019,14:05:31,-05:00,+00:25:00,0.001
7/16/2019,14:06:31,-05:00,+00:26:00,0.001
7/16/2019,14:07:31,-05:00,+00:27:00,0.001
7/16/2019,14:08:31,-05:00,+00:28:00,0.001
7/16/2019,14:09:31,-05:00,+00:29:00,0.001
7/16/2019,14:10:31,-05:00,+00:30:00,0.001
7/16/2019,14:11:31,-05:00,+00:31:00,0.001
7/16/2019,14:12:31,-05:00,+00:32:00,0.001
7/16/2019,14:13:31,-05:00,+00:33:00,0.001
7/16/2019,14:14:31,-05:00,+00:34:00,0.001
7/16/2019,14:15:31,-05:00,+00:35:00,0.001
7/16/2019,14:16:31,-05:00,+00:36:00,0.001
7/16/2019,14:17:31,-05:00,+00:37:00,0.001
7/16/2019,14:18:31,-05:00,+00:38:00,0.001
7/16/2019,14:19:31,-05:00,+00:39:00,0.001
7/16/2019,14:20:31,-05:00,+00:40:00,0.001
