,,,,
DateTime,VB1,VB2,VB3,VB4
2019-07-26 12:52:00,2860,1777,2542.5,37.5
2019-07-26 12:53:00,2855,2003,2532.5,37.5
2019-07-26 12:54:00,2855,2218,2537.5,37.5
2019-07-26 12:55:00,2870,2430,2542.5,37.5
2019-07-26 12:56:00,2875,2502,2532.5,37.5
2019-07-26 12:57:00,2860,2547,2547.5,37.5
2019-07-26 12:58:00,2855,2589,2557.5,37.5
2019-07-26 12:59:00,2875,2603,2537.5,37.5
2019-07-26 1:00:00,2865,2664,2542.5,37.5
2019-07-26 1:01:00,2870,2688,2567.5,37.5
2019-07-26 1:02:00,2895,2683,2552.5,37.5
2019-07-26 1:03:00,2865,2688,2542.5,37.5
2019-07-26 1:04:00,2885,2711,2552.5,37.5
2019-07-26 1:05:00,2875,2726,2547.5,37.5
2019-07-26 1:06:00,2865,2705,2562.5,37.5
2019-07-26 1:07:00,2880,2713,2547.5,37.5
2019-07-26 1:08:00,2860,2739,2557.5,37.5
2019-07-26 1:09:00,,,2567.5,37.5
2019-07-27 1:10:00,,,2572.5,37.5
2019-07-28 1:11:00,,,2552.5,37.5
2019-07-29 1:12:00,,,2542.5,37.5
2019-07-30 1:13:00,,,2557.5,37.5
2019-07-31 1:14:00,,,2557.5,37.5
2019-08-01 1:15:00,,,2547.5,37.5
2019-08-02 1:16:00,,,2567.5,37.5
2019-08-03 1:17:00,,,2547.5,37.5
2019-08-04 1:18:00,,,2552.5,37.5
2019-08-05 1:19:00,,,2547.5,37.5
2019-08-06 1:20:00,,,2562.5,37.5
2019-08-07 1:21:00,,,2552.5,37.5
2019-08-08 1:22:00,,,2562.5,37.5
2019-08-09 1:23:00,,,2562.5,37.5
2019-08-10 1:24:00,,,2572.5,37.5
2019-08-11 1:25:00,,,2567.5,37.5
2019-08-12 1:26:00,,,2562.5,37.5
2019-08-13 1:27:00,,,2577.5,37.5
2019-08-14 1:28:00,,,2562.5,37.5
2019-08-15 1:29:00,,,2562.5,37.5
2019-08-16 1:30:00,,,2557.5,37.5
2019-08-17 1:31:00,,,2572.5,37.5
2019-08-18 1:32:00,,,2557.5,37.5
2019-08-19 1:33:00,,,2552.5,37.5
2019-08-20 1:34:00,,,2572.5,37.5
2019-08-21 1:35:00,,,2567.5,37.5
2019-08-22 1:36:00,,,2557.5,37.5
2019-08-23 1:37:00,,,2552.5,37.5
2019-08-24 1:38:00,,,2577.5,37.5
2019-08-25 1:39:00,,,2577.5,37.5
2019-08-26 1:40:00,,,2577.5,37.5
2019-08-27 1:41:00,,,2577.5,37.5
2019-08-28 1:42:00,,,2572.5,37.5
2019-07-26 1:43:00,,,2572.5,37.5
2019-07-26 1:44:00,,,2577.5,37.5
2019-07-26 1:45:00,,,2582.5,37.5
2019-07-26 1:46:00,,,2597.5,37.5
2019-07-26 1:47:00,,,2567.5,37.5
2019-07-26 1:48:00,,,2582.5,37.5
2019-07-26 1:49:00,,,2592.5,37.5
2019-07-26 1:50:00,,,2582.5,37.5
2019-07-26 1:51:00,,,2562.5,37.5
2019-07-26 1:52:00,,,2512.5,37.5
2019-07-26 1:53:00,,,2437.5,37.5
2019-07-26 1:54:00,,,2322.5,37.5
2019-07-26 1:55:00,,,2172.5,37.5
2019-07-26 1:56:00,,,2082.5,37.5
2019-07-26 1:57:00,,,1992.5,37.5
2019-07-26 1:58:00,,,1932.5,37.5
2019-07-26 1:59:00,,,1852.5,37.5
2019-07-26 2:00:00,,,1757.5,37.5
2019-07-26 2:01:00,,,1702.5,37.5
2019-07-26 2:02:00,,,1642.5,37.5
2019-07-26 2:03:00,,,1602.5,37.5
2019-07-26 2:04:00,,,1572.5,37.5
2019-07-26 2:05:00,,,1522.5,37.5
2019-07-26 2:06:00,,,1512.5,37.5
2019-07-27 2:07:00,,,,37.5
2019-07-28 2:08:00,,,,37.5
2019-07-29 2:09:00,,,,37.5
2019-07-30 2:10:00,,,,37.5
2019-07-31 2:11:00,,,,37.5
2019-08-01 2:12:00,,,,37.5
2019-08-02 2:13:00,,,,37.5
2019-08-03 2:14:00,,,,37.5
2019-08-04 2:15:00,,,,37.5
2019-08-05 2:16:00,,,,507.5
