Date,Time,Time Zone,Delta,Voltage (V)
7/12/2019,12:34:32,-05:00,-00:00:00,0.4075
7/12/2019,12:35:32,-05:00,+00:01:00,0.406
7/12/2019,12:36:32,-05:00,+00:02:00,0.386
7/12/2019,12:37:32,-05:00,+00:03:00,0.364
7/12/2019,12:38:32,-05:00,+00:04:00,0.341
7/12/2019,12:39:32,-05:00,+00:05:00,0.323
7/12/2019,12:40:32,-05:00,+00:06:00,0.307
7/12/2019,12:41:32,-05:00,+00:07:00,0.297
7/12/2019,12:42:32,-05:00,+00:08:00,0.29
7/12/2019,12:43:32,-05:00,+00:09:00,0.2825
7/12/2019,12:44:32,-05:00,+00:10:00,0.2765
7/12/2019,12:45:32,-05:00,+00:11:00,0.272
7/12/2019,12:46:32,-05:00,+00:12:00,0.27
7/12/2019,12:47:32,-05:00,+00:13:00,0.269
7/12/2019,12:48:32,-05:00,+00:14:00,0.266
7/12/2019,12:49:32,-05:00,+00:15:00,0.266
7/12/2019,12:50:32,-05:00,+00:16:00,0.2645
7/12/2019,12:51:32,-05:00,+00:17:00,0.264
7/12/2019,12:52:32,-05:00,+00:18:00,0.261
7/12/2019,12:53:32,-05:00,+00:19:00,0.2605
7/12/2019,12:54:32,-05:00,+00:20:00,0.2635
7/12/2019,12:55:32,-05:00,+00:21:00,0.261
7/12/2019,12:56:32,-05:00,+00:22:00,0.2615
7/12/2019,12:57:32,-05:00,+00:23:00,0.26
7/12/2019,12:58:32,-05:00,+00:24:00,0.2585
7/12/2019,12:59:32,-05:00,+00:25:00,0.2585
7/12/2019,13:00:32,-05:00,+00:26:00,0.259
7/12/2019,13:01:32,-05:00,+00:27:00,0.2595
7/12/2019,13:02:32,-05:00,+00:28:00,0.258
7/12/2019,13:03:32,-05:00,+00:29:00,0.2595
7/12/2019,13:04:32,-05:00,+00:30:00,0.2635
7/12/2019,13:05:32,-05:00,+00:31:00,0.283
7/12/2019,13:06:32,-05:00,+00:32:00,0.3135
7/12/2019,13:07:32,-05:00,+00:33:00,0.3485
7/12/2019,13:08:32,-05:00,+00:34:00,0.375
7/12/2019,13:09:32,-05:00,+00:35:00,0.403
7/12/2019,13:10:32,-05:00,+00:36:00,0.4175
7/12/2019,13:11:32,-05:00,+00:37:00,0.433
7/12/2019,13:12:32,-05:00,+00:38:00,0.439
7/12/2019,13:13:32,-05:00,+00:39:00,0.4475
7/12/2019,13:14:32,-05:00,+00:40:00,0.448
7/12/2019,13:15:32,-05:00,+00:41:00,0.448
7/12/2019,13:16:32,-05:00,+00:42:00,0.4465
7/12/2019,13:17:32,-05:00,+00:43:00,0.445
7/12/2019,13:18:32,-05:00,+00:44:00,0.446
7/12/2019,13:19:32,-05:00,+00:45:00,0.445
7/12/2019,13:20:32,-05:00,+00:46:00,0.444
7/12/2019,13:21:32,-05:00,+00:47:00,0.441
7/12/2019,13:22:32,-05:00,+00:48:00,0.437
7/12/2019,13:23:32,-05:00,+00:49:00,0.4375
7/12/2019,13:24:32,-05:00,+00:50:00,0.438
7/12/2019,13:25:32,-05:00,+00:51:00,0.4385
7/12/2019,13:26:32,-05:00,+00:52:00,0.434
7/12/2019,13:27:32,-05:00,+00:53:00,0.4345
7/12/2019,13:28:32,-05:00,+00:54:00,0.4305
7/12/2019,13:29:32,-05:00,+00:55:00,0.4325
7/12/2019,13:30:32,-05:00,+00:56:00,0.4325
7/12/2019,13:31:32,-05:00,+00:57:00,0.431
7/12/2019,13:32:32,-05:00,+00:58:00,0.432
7/12/2019,13:33:32,-05:00,+00:59:00,0.433
7/12/2019,13:34:32,-05:00,+01:00:00,0.4295
7/12/2019,13:35:32,-05:00,+01:01:00,0.4275
7/12/2019,13:36:32,-05:00,+01:02:00,0.4265
7/12/2019,13:37:32,-05:00,+01:03:00,0.4235
7/12/2019,13:38:32,-05:00,+01:04:00,0.4225
7/12/2019,13:39:32,-05:00,+01:05:00,0.42
7/12/2019,13:40:32,-05:00,+01:06:00,0.421
7/12/2019,13:41:32,-05:00,+01:07:00,0.4195
7/12/2019,13:42:32,-05:00,+01:08:00,0.417
7/12/2019,13:43:32,-05:00,+01:09:00,0.415
7/12/2019,13:44:32,-05:00,+01:10:00,0.4135
7/12/2019,13:45:32,-05:00,+01:11:00,0.4155
7/12/2019,13:46:32,-05:00,+01:12:00,0.4125
7/12/2019,13:47:32,-05:00,+01:13:00,0.414
7/12/2019,13:48:32,-05:00,+01:14:00,0.407
7/12/2019,13:49:32,-05:00,+01:15:00,0.407
7/12/2019,13:50:32,-05:00,+01:16:00,0.4075
7/12/2019,13:51:32,-05:00,+01:17:00,0.407
7/12/2019,13:52:32,-05:00,+01:18:00,0.4035
7/12/2019,13:53:32,-05:00,+01:19:00,0.4065
7/12/2019,13:54:32,-05:00,+01:20:00,0.405
7/12/2019,13:55:32,-05:00,+01:21:00,0.406
7/12/2019,13:56:32,-05:00,+01:22:00,0.4045
7/12/2019,13:57:32,-05:00,+01:23:00,0.401
7/12/2019,13:58:32,-05:00,+01:24:00,0.398
7/12/2019,13:59:32,-05:00,+01:25:00,0.4005
7/12/2019,14:00:32,-05:00,+01:26:00,0.3955
7/12/2019,14:01:32,-05:00,+01:27:00,0.3955
7/12/2019,14:02:32,-05:00,+01:28:00,0.397
7/12/2019,14:03:32,-05:00,+01:29:00,0.397
7/12/2019,14:04:32,-05:00,+01:30:00,0.3935
7/12/2019,14:05:32,-05:00,+01:31:00,0.393
7/12/2019,14:06:32,-05:00,+01:32:00,0.39
7/12/2019,14:07:32,-05:00,+01:33:00,0.389
7/12/2019,14:08:32,-05:00,+01:34:00,0.388
7/12/2019,14:09:32,-05:00,+01:35:00,0.386
7/12/2019,14:10:32,-05:00,+01:36:00,0.387
7/12/2019,14:11:32,-05:00,+01:37:00,0.3875
7/12/2019,14:12:32,-05:00,+01:38:00,0.387
7/12/2019,14:13:32,-05:00,+01:39:00,0.3865
7/12/2019,14:14:32,-05:00,+01:40:00,0.381
7/12/2019,14:15:32,-05:00,+01:41:00,0.3805
