Time,VB1,VB2,VB3,VB4
10:45:00,0.151,,0.154,0.0565
10:46:00,0.15,,,
10:47:00,0.151,,,
10:48:00,0.1485,,,
10:49:00,0.1485,,,
10:50:00,0.15,,0.1435,
10:51:00,0.15,,0.1425,
10:52:00,0.1495,,0.143,
10:53:00,0.1505,,0.142,
10:54:00,0.1475,,0.1435,
10:55:00,0.149,,0.1425,
10:56:00,0.149,,0.1425,
10:57:00,0.149,,0.1425,
10:58:00,0.149,,0.142,
10:59:00,0.147,,0.1445,
11:00:00,0.1485,,0.142,0.057
11:01:00,0.1495,,0.1435,0.056
11:02:00,0.1475,,0.143,0.057
11:03:00,0.1475,,0.1415,0.057
11:04:00,0.1475,,0.142,0.0565
11:05:00,0.1485,,0.141,0.0565
11:06:00,0.148,,0.1415,0.0565
11:07:00,0.1475,,0.1415,0.0575
11:08:00,0.1465,,0.1425,0.0565
11:09:00,0.1455,,0.141,0.002
11:10:00,0.1485,,0.1435,0.002
11:11:00,0.147,,0.141,0.002
11:12:00,0.1475,,0.1415,0.002
11:13:00,0.1455,,0.143,0.002
11:14:00,0.146,,0.1405,0.002
11:15:00,0.1465,,0.1405,0.002
11:16:00,0.146,,0.1395,0.002
11:17:00,0.146,,0.1405,0.002
11:18:00,0.1465,,0.1415,0.002
11:19:00,0.1465,,0.14,0.002
11:20:00,0.1455,,0.1415,0.002
11:21:00,0.148,,0.1405,0.002
11:22:00,0.1455,,0.141,0.002
11:23:00,0.146,,0.1405,0.002
11:24:00,0.145,,0.1395,0.002
11:25:00,0.144,,0.139,0.002
11:26:00,0.144,,0.141,0.002
11:27:00,0.1445,,0.1405,0.002
11:28:00,0.145,,0.139,0.002
11:29:00,0.144,,0.137,0.002
11:30:00,0.144,,0.1385,0.002
11:31:00,0.144,,0.139,0.002
11:32:00,0.1445,,0.139,0.002
11:33:00,0.1425,,0.138,0.002
11:34:00,0.144,,0.137,0.002
11:35:00,0.144,,0.1385,0.002
11:36:00,0.142,,0.1385,0.002
11:37:00,0.145,,0.1385,0.002
11:38:00,0.143,,0.139,0.002
11:39:00,0.1425,,0.138,0.002
11:40:00,0.144,,0.139,0.054
11:41:00,0.143,,0.1375,0.0575
11:42:00,0.1425,,0.136,0.0565
11:43:00,0.142,,0.1375,0.056
11:44:00,0.1435,,0.1375,0.055
11:45:00,0.143,,0.1365,0.0565
11:46:00,0.1435,,0.137,0.056
11:47:00,0.143,,0.137,0.0575
11:48:00,0.1445,,0.137,0.057
11:49:00,0.156,,0.1375,0.0555
11:50:00,0.1755,,0.136,0.0545
11:51:00,0.195,,0.138,0.056
11:52:00,0.2185,140,0.137,0.056
11:53:00,0.238,216,0.141,0.0555
11:54:00,0.246,32.79,0.1455,0.057
11:55:00,0.252,143.4,0.1545,0.056
11:56:00,0.256,151.8,0.165,0.0565
11:57:00,0.2615,156.4,0.179,0.0565
11:58:00,0.267,154.3,0.1905,0.0555
11:59:00,0.2695,155.1,0.2,0.0565
12:00:00,0.2715,155,0.205,0.056
12:01:00,0.2725,153.8,0.2135,0.0555
12:02:00,0.2735,154.7,0.2195,0.057
12:03:00,0.273,153.9,0.222,0.0565
12:04:00,0.2735,153.7,0.2275,0.0565
12:05:00,0.2765,152.4,0.23,0.0565
12:06:00,0.276,152.1,0.2275,0.0555
12:07:00,0.277,152.1,0.233,0.057
12:08:00,0.277,153.6,0.233,0.057
12:09:00,0.2785,151.8,0.2365,0.057
12:10:00,0.279,154.1,0.238,0.0555
12:11:00,0.278,153.8,0.239,0.056
12:12:00,0.277,151.9,0.24,0.056
12:13:00,0.2765,152.5,0.2415,0.0565
12:14:00,0.2775,153,0.2425,0.0555
12:15:00,0.2775,151.5,0.2415,0.0565
12:16:00,0.2785,151,0.2395,0.0565
12:17:00,0.2775,152.6,0.2445,0.0585
12:18:00,0.279,151.3,0.244,0.059
12:19:00,0.281,151.4,0.2455,0.057
12:20:00,0.281,151.7,0.244,0.0575
12:21:00,0.2795,150.9,0.242,0.057
12:22:00,0.28,151.4,0.2445,0.0575
12:23:00,0.2825,151.3,0.246,0.0575
12:24:00,0.281,150.7,0.2455,0.057
12:25:00,0.283,150.6,0.2455,0.058
12:26:00,0.2825,150.2,0.2495,0.0565
12:27:00,0.2835,150.6,0.2465,0.056
12:28:00,0.2835,149.2,0.249,0.0565
12:29:00,0.2835,149.7,0.2475,0.057
12:30:00,0.2815,149.2,0.2485,0.0565
12:31:00,0.2805,150,0.2465,0.0575
12:32:00,0.285,147.8,0.251,0.057
12:33:00,0.284,147.3,0.248,0.056
12:34:00,0.284,148.8,0.2485,0.057
12:35:00,0.2835,149.8,0.2505,0.057
