"dist.m","transect","Date","CO2_ppm","CO2","CO2A","Error","ErrorA"
245.23145,"syn1","7/29/2019",510,562.5,847.5624468,0.0933333333333333,0.398274425765887
240.131,"syn2","7/29/2019",480,567.5,858.2203223,0.154185022026432,0.440703060126079
228.22,"syn3","7/29/2019",530,567.5,859.5039879,0.066079295154185,0.383365281067592
225.566,"syn4","7/29/2019",530,547.5,830.955556,0.0319634703196347,0.362180087523237
217.636,"syn5","7/29/2019",670,532.5,810.055397,-0.258215962441315,0.172896072933639
208.216,"syn6","7/29/2019",520,542.5,827.2999581,0.0414746543778802,0.371449261046445
204.122,"syn7","7/29/2019",540,532.5,813.3472212,-0.0140845070422535,0.336076910420506
194.937,"syn8","7/29/2019",590,532.5,814.74421,-0.107981220657277,0.275846342007144
184.107,"syn9","7/29/2019",570,547.5,838.9030543,-0.0410958904109589,0.320541274610544
178.759,"syn10","7/29/2019",490,572.5,879.0264156,0.14410480349345,0.442565102363233
169.972,"syn11","7/29/2019",570,572.5,879.9199603,0.00436681222707424,0.352213808394954
161.976,"syn12","7/29/2019",510,567.5,872.0440998,0.101321585903084,0.4151671915251
154.82,"syn13","7/29/2019",490,567.5,872.1677269,0.136563876651982,0.43818145880995
143.68,"syn14","7/29/2019",470,557.5,856.7139023,0.15695067264574,0.451392117323879
140.638,"syn15","7/29/2019",540,532.5,818.0696806,-0.0140845070422535,0.339909529951109
131.849,"syn16","7/29/2019",380,537.5,825.1881586,0.293023255813953,0.539498966339142
128.96,"syn17","7/29/2019",450,512.5,786.0353586,0.121951219512195,0.427506669927049
124.229,"syn18","7/29/2019",620,507.5,778.208983,-0.221674876847291,0.203298839329898
107.753,"waterfall","7/29/2019",1100,2011,3080.878188,0.453008453505719,0.642958944535849
102.753,"syn19","7/29/2019",740,2031,3108.416127,0.635647464303299,0.761936635969589
94.14,"syn20","7/29/2019",1240,2031,3106.637368,0.389463318562285,0.600854604797891
87.664,"syn21","7/29/2019",1390,2058,3148.375236,0.324586977648202,0.558502435127145
81.871,"syn22","7/29/2019",1440,2060,3151.782022,0.300970873786408,0.543115612073251
75.925,"syn23","7/29/2019",1890,2078,3176.899403,0.0904716073147257,0.405080312516273
67.023,"syn24","7/29/2019",2100,2104,3215.185095,0.00190114068441065,0.346849422987886
63.659,"syn25","7/29/2019",2250,2310,3526.099224,0.025974025974026,0.361901110245104
56.243,"syn26","7/29/2019",2340,2380,3630.877709,0.0168067226890756,0.355527729782871
51.477,"syn27","7/29/2019",2240,2425,3695.277406,0.0762886597938144,0.393820881657511
47.593,"syn28","7/29/2019",2450,2500,3805.553411,0.02,0.356204016761861
37.442,"syn29","7/29/2019",2380,2580,3924.008273,0.0775193798449612,0.393477323588711
34.256,"syn30","7/29/2019",2300,2615,3974.088039,0.120458891013384,0.421250868770701
