"dist.m","transect","Date","CO2_ppm","CO2","CO2A","Error","ErrorA"
245.23145,"syn1","7/31/2019",550,267.5,396.2591604,-1.05607476635514,-0.387980531339156
240.131,"syn2","7/31/2019",550,272.5,403.6295435,-1.01834862385321,-0.362635636704824
228.22,"syn3","7/31/2019",600,317.5,470.3754501,-0.889763779527559,-0.27557677568513
225.566,"syn4","7/31/2019",550,342.5,507.5678095,-0.605839416058394,-0.0835990575166686
217.636,"syn5","7/31/2019",580,367.5,544.8021174,-0.578231292517007,-0.0646067287109262
208.216,"syn6","7/31/2019",540,367.5,545.0727189,-0.469387755102041,0.00930649934239451
204.122,"syn7","7/31/2019",610,337.5,500.6628034,-0.807407407407407,-0.218384900690627
194.937,"syn8","7/31/2019",510,342.5,508.2242873,-0.489051094890511,-0.00349395482343763
184.107,"syn9","7/31/2019",480,357.5,530.5186055,-0.342657342657343,0.0952249458855219
178.759,"syn10","7/31/2019",490,342.5,508.4708181,-0.430656934306569,0.0363262107528998
169.972,"syn11","7/31/2019",540,347.5,516.3627625,-0.553956834532374,-0.0457764176982068
161.976,"syn12","7/31/2019",510,357.5,531.3529545,-0.426573426573427,0.0401860087897564
154.82,"syn13","7/31/2019",590,382.5,568.5537555,-0.542483660130719,-0.0377206979859621
143.68,"syn14","7/31/2019",540,392.5,583.4075684,-0.375796178343949,0.0744035058013484
140.638,"syn15","7/31/2019",620,432.5,643.6291793,-0.433526011560694,0.0367124115250628
131.849,"syn16","7/31/2019",620,427.5,637.3565922,-0.450292397660819,0.0272321529461071
128.96,"syn17","7/31/2019",650,457.5,682.7628432,-0.420765027322404,0.0479856856979003
124.229,"syn18","7/31/2019",750,457.5,683.65542,-0.639344262295082,-0.0970438879867287
107.753,"waterfall","7/31/2019",950,1907,2853.276571,0.501835343471421,0.667049451267513
102.753,"syn19","7/31/2019",1250,1882,2817.620528,0.335812964930925,0.556363254888949
94.14,"syn20","7/31/2019",1610,1879,2820.323071,0.143161255987227,0.429143413903591
87.664,"syn21","7/31/2019",1720,1844,2769.09729,0.0672451193058568,0.378858949372631
81.871,"syn22","7/31/2019",1820,1829,2746.077464,0.00492072170585019,0.337236467703666
75.925,"syn23","7/31/2019",2250,1816,2726.780878,-0.238986784140969,0.174851188757676
67.023,"syn24","7/31/2019",2280,1797,2698.098856,-0.268781302170284,0.154960540111507
63.659,"syn25","7/31/2019",2460,1785,2680.468212,-0.378151260504202,0.0822498886623619
56.243,"syn26","7/31/2019",2500,1790,2687.715413,-0.396648044692737,0.06984199744216
51.477,"syn27","7/31/2019",2540,1915,2874.493397,-0.326370757180157,0.116366034219838
47.593,"syn28","7/31/2019",2700,1955,2933.401516,-0.381074168797954,0.079566849177288
37.442,"syn29","7/31/2019",2910,2015,3023.480707,-0.444168734491315,0.0375331341580147
34.256,"syn30","7/31/2019",2860,2045,3066.807032,-0.398533007334963,0.067433989110535
25.495,"syn31","7/31/2019",2880,2095,3140.120677,-0.374701670644391,0.0828377963003999
16.957,"syn32","7/31/2019",2730,2115,3168.15705,-0.290780141843972,0.138300293541319
12.337,"syn33","7/31/2019",2740,2140,3203.152874,-0.280373831775701,0.144592809715519
4.002,"syn34","7/31/2019",2730,2170,3245.959824,-0.258064516129032,0.158954470164755
0,"syn35","7/31/2019",2750,2210,3305.701302,-0.244343891402715,0.168103906322024
