"dist.m","transect","Date","CO2_ppm","CO2","CO2A","Error","ErrorA"
245.23145,"syn1","7/25/2019",450,587.5,1671.443351,0.234042553191489,0.730771611415504
240.131,"syn2","7/25/2019",440,592.5,1627.345091,0.257383966244726,0.729620962122041
228.22,"syn3","7/25/2019",470,587.5,1612.192523,0.2,0.708471542142241
225.566,"syn4","7/25/2019",490,577.5,1598.289411,0.151515151515152,0.693422232151671
217.636,"syn5","7/25/2019",510,587.5,1598.549628,0.131914893617021,0.680960796545254
208.216,"syn6","7/25/2019",470,582.5,1651.012191,0.1931330472103,0.715326148067189
204.122,"syn7","7/25/2019",500,587.5,1636.11785,0.148936170212766,0.694398542256598
194.937,"syn8","7/25/2019",530,582.5,1665.282147,0.0901287553648069,0.681735614019046
184.107,"syn9","7/25/2019",520,582.5,1671.924939,0.107296137339056,0.688981252764243
178.759,"syn10","7/25/2019",480,1282.5,1686.822822,0.625730994152047,0.715441364831143
169.972,"syn11","7/25/2019",510,1252.5,1686.238247,0.592814371257485,0.697551635477759
161.976,"syn12","7/25/2019",550,1247.5,1745.238582,0.559118236472946,0.684856840965713
154.82,"syn13","7/25/2019",490,1237.5,1789.086753,0.604040404040404,0.726117249944223
143.68,"syn14","7/25/2019",540,1217.5,1840.526506,0.5564681724846,0.706605692317044
140.638,"syn15","7/25/2019",510,1197.5,1936.411379,0.574112734864301,0.736626212006989
131.849,"syn16","7/25/2019",470,1207.5,2024.482159,0.610766045548654,0.767841866172751
128.96,"syn17","7/25/2019",430,1182.5,2082.956869,0.636363636363636,0.793562696184661
124.229,"syn18","7/25/2019",580,1147.5,2156.886828,0.494553376906318,0.731093911618065
107.753,"waterfall","7/25/2019",490,1120,1897.511789,0.5625,0.74176708527422
102.753,"syn19","7/25/2019",850,1090,1853.613802,0.220183486238532,0.541436301842988
94.14,"syn20","7/25/2019",990,1080,1849.778211,0.0833333333333333,0.464800701990753
87.664,"syn21","7/25/2019",930,1070,1836.011434,0.130841121495327,0.493467206806077
81.871,"syn22","7/25/2019",1150,1070,1808.485894,-0.0747663551401869,0.364108946707659
75.925,"syn23","7/25/2019",1270,1105,1780.579545,-0.149321266968326,0.286749079216228
67.023,"syn24","7/25/2019",1320,1095,1794.861483,-0.205479452054795,0.264567203373432
63.659,"syn25","7/25/2019",1150,1115,1759.261752,-0.031390134529148,0.346316715694732
56.243,"syn26","7/25/2019",1210,1120,1712.026505,-0.0803571428571429,0.293235241121457
51.477,"syn27","7/25/2019",1470,1130,866.1864049,-0.300884955752212,-0.697094287885654
47.593,"syn28","7/25/2019",1350,1130,873.2955263,-0.194690265486726,-0.545868448129711
37.442,"syn29","7/25/2019",1560,1170,866.807383,-0.333333333333333,-0.799707790444604
34.256,"syn30","7/25/2019",1450,1200,852.2296634,-0.208333333333333,-0.701419303119742
25.495,"syn31","7/25/2019",1420,1235,868.2556386,-0.149797570850202,-0.635463032857061
16.957,"syn32","7/25/2019",1470,1300,862.0807342,-0.130769230769231,-0.705176721486696
12.337,"syn33","7/25/2019",1510,1360,869.4276556,-0.110294117647059,-0.736774750922704
4.002,"syn34","7/25/2019",1370,1400,861.6703833,0.0214285714285714,-0.589935115041571
0,"syn35","7/25/2019",1480,1450,862.2744502,-0.0206896551724138,-0.716390877239517
