"dist.m","transect","Date","CO2_ppm","CO2","CO2A","Error","ErrorA"
245.23145,"syn1","8/12/2019",680,537.5,806.8356758,-0.265116279069767,0.157201372725913
240.131,"syn2","8/12/2019",700,537.5,807.0233344,-0.302325581395349,0.132614919343775
228.22,"syn3","8/12/2019",740,542.5,814.7245058,-0.36405529953917,0.0917175134269786
225.566,"syn4","8/12/2019",720,537.5,807.6678683,-0.33953488372093,0.108544454646346
217.636,"syn5","8/12/2019",680,542.5,815.5667652,-0.253456221198157,0.166223994140756
208.216,"syn6","8/12/2019",740,522.5,785.9664342,-0.416267942583732,0.05848396598105
204.122,"syn7","8/12/2019",780,547.5,824.3837892,-0.424657534246575,0.0538387457170537
194.937,"syn8","8/12/2019",710,552.5,832.317966,-0.285067873303167,0.14696062201786
184.107,"syn9","8/12/2019",620,552.5,832.9218747,-0.122171945701357,0.255632468263233
178.759,"syn10","8/12/2019",630,2641,4017.975931,0.761453994698978,0.843204635662612
169.972,"syn11","8/12/2019",650,2648,4030.316385,0.754531722054381,0.838722338916328
161.976,"syn12","8/12/2019",650,2636,4013.232952,0.753414264036419,0.838035816067923
154.82,"syn13","8/12/2019",650,2626,3998.747817,0.752475247524752,0.837449114136022
143.68,"syn14","8/12/2019",610,2629,4003.87254,0.767972613160898,0.847647497789727
140.638,"syn15","8/12/2019",680,2626,3998.813742,0.741051028179741,0.829949569078979
131.849,"syn16","8/12/2019",710,2642,4022.348132,0.731264193792581,0.823486188489863
128.96,"syn17","8/12/2019",730,2657,4044.041546,0.725254045916447,0.819487512258115
124.229,"syn18","8/12/2019",840,2647,4027.060737,0.682659614658104,0.791411142056485
107.753,"waterfall","8/12/2019",1390,2477.5,3743.464279,0.438950554994955,0.628686185735072
102.753,"syn19","8/12/2019",1300,2482.5,3759.799852,0.476334340382679,0.654236913885596
94.14,"syn20","8/12/2019",1510,2487.5,3772.683808,0.392964824120603,0.599754425006931
87.664,"syn21","8/12/2019",1690,2467.5,3746.888142,0.315096251266464,0.548959046560189
81.871,"syn22","8/12/2019",1910,2487.5,3778.391524,0.232160804020101,0.49449389035841
75.925,"syn23","8/12/2019",2470,2452.5,3731.172844,-0.00713557594291539,0.338009761736999
67.023,"syn24","8/12/2019",2670,2402.5,3656.599193,-0.111342351716961,0.269813326789738
63.659,"syn25","8/12/2019",2880,2402.5,3655.342623,-0.198751300728408,0.21211216101096
56.243,"syn26","8/12/2019",3120,2372.5,3608.796634,-0.315068493150685,0.135445879492028
51.477,"syn27","8/12/2019",3260,2785,4236.033399,-0.170556552962298,0.230412111299786
47.593,"syn28","8/12/2019",3530,2810,4272.125744,-0.256227758007117,0.173713459872355
37.442,"syn29","8/12/2019",3600,2860,4346.872174,-0.258741258741259,0.171818296950915
34.256,"syn30","8/12/2019",3850,2900,4406.551811,-0.327586206896552,0.126300979739008
25.495,"syn31","8/12/2019",3710,2940,4464.354487,-0.261904761904762,0.168972802047115
16.957,"syn32","8/12/2019",3770,2995,4544.594323,-0.258764607679466,0.170443007218447
12.337,"syn33","8/12/2019",3750,3050,4625.766564,-0.229508196721311,0.189323553595559
4.002,"syn34","8/12/2019",3700,3100,4697.280415,-0.193548387096774,0.212310172459653
0,"syn35","8/12/2019",3740,3130,4740.210864,-0.194888178913738,0.211005563401451
