Date Time,Temp,SpCond,,,,,,,
M/D/Y HH:MM:SS,C,uS,Time Lapse,Wdt Ttrap,Hgt Trap,Int,Sum,,R int- 65347
7/16/2019 17:45,5.17,193,0,1,288.5,288.5,65698.5,,65698.5
7/16/2019 17:45,6.48,384,1,1,381.5,381.5,,,
7/16/2019 17:45,6.75,379,2,1,376.5,376.5,,,
7/16/2019 17:46,6.98,374,3,1,372.5,372.5,,,
7/16/2019 17:46,7.19,371,4,1,369.5,369.5,,,
7/16/2019 17:46,7.37,368,5,1,366.5,366.5,,,
7/16/2019 17:46,7.53,365,6,1,364,364,,,
7/16/2019 17:46,7.67,363,7,1,362,362,,,
7/16/2019 17:46,7.8,361,8,1,360,360,,,
7/16/2019 17:46,7.9,359,9,1,358,358,,,
7/16/2019 17:46,8,357,10,1,356.5,356.5,,,
7/16/2019 17:46,8.08,356,11,1,355,355,,,
7/16/2019 17:46,8.16,354,12,1,353.5,353.5,,,
7/16/2019 17:46,8.22,353,13,1,352.5,352.5,,,
7/16/2019 17:46,8.28,352,14,1,351.5,351.5,,,
7/16/2019 17:46,8.33,351,15,1,350.5,350.5,,,
7/16/2019 17:46,8.37,350,16,1,350,350,,,
7/16/2019 17:46,8.41,350,17,1,349.5,349.5,,,
7/16/2019 17:46,8.44,349,18,1,348.5,348.5,,,
7/16/2019 17:46,8.47,348,19,1,348,348,,,
7/16/2019 17:46,8.5,348,20,1,347.5,347.5,,,
7/16/2019 17:46,8.52,347,21,1,347,347,,,
7/16/2019 17:46,8.54,347,22,1,347,347,,,
7/16/2019 17:46,8.55,347,23,1,346.5,346.5,,,
7/16/2019 17:46,8.57,346,24,1,346,346,,,
7/16/2019 17:46,8.58,346,25,1,346,346,,,
7/16/2019 17:46,8.59,346,26,1,346,346,,,
7/16/2019 17:46,8.6,346,27,1,345.5,345.5,,,
7/16/2019 17:46,8.61,345,28,1,345,345,,,
7/16/2019 17:46,8.62,345,29,1,345,345,,,
7/16/2019 17:46,8.63,345,30,1,345,345,,,
7/16/2019 17:46,8.63,345,31,1,345,345,,,
7/16/2019 17:46,8.64,345,32,1,345,345,,,
7/16/2019 17:46,8.64,345,33,1,345,345,,,
7/16/2019 17:46,8.65,345,34,1,344.5,344.5,,,
7/16/2019 17:46,8.65,344,35,1,344,344,,,
7/16/2019 17:46,8.66,344,36,1,344,344,,,
7/16/2019 17:46,8.66,344,37,1,344,344,,,
