0,Temp,SpCond,Time lapse,Wdt Trap,Hgt Trap,Int,Sum,Discharge,,,,R- 17628.5
299.886g,,,,,,,,,,,,
7/15/2019 14:13,6.02,104,99,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,100,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,101,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,102,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,103,1,103.5,103.5,,,,,,
7/15/2019 14:13,6.02,103,104,1,103,103,,,,,,
7/15/2019 14:13,6.02,103,105,1,103.5,103.5,,,,,,
7/15/2019 14:13,6.02,104,106,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,107,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,108,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,109,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,110,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,111,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,112,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,113,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,114,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,115,1,104.5,104.5,,,,,,
7/15/2019 14:13,6.02,105,116,1,105,105,,,,,,
7/15/2019 14:13,6.02,105,117,1,104.5,104.5,,,,,,
7/15/2019 14:13,6.02,104,118,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,119,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,120,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,121,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,122,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,123,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,124,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,125,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,126,1,104,104,,,,,,
7/15/2019 14:13,6.02,104,127,1,104.5,104.5,,,,,,
7/15/2019 14:13,6.03,105,128,1,104.5,104.5,,,,,,
7/15/2019 14:13,6.03,104,129,1,105,105,,,,,,
7/15/2019 14:13,6.03,106,130,1,107.5,107.5,,,,,,
7/15/2019 14:13,6.03,109,131,1,110,110,,,,,,
7/15/2019 14:13,6.03,111,132,1,112,112,,,,,,
7/15/2019 14:14,6.03,113,133,1,113.5,113.5,,,,,,
7/15/2019 14:14,6.03,114,134,1,114,114,,,,,,
7/15/2019 14:14,6.03,114,135,1,114.5,114.5,,,,,,
7/15/2019 14:14,6.03,115,136,1,115.5,115.5,,,,,,
7/15/2019 14:14,6.03,116,137,1,116.5,116.5,,,,,,
7/15/2019 14:14,6.03,117,138,1,117.5,117.5,,,,,,
7/15/2019 14:14,6.03,118,139,1,118,118,,,,,,
7/15/2019 14:14,6.03,118,140,1,118.5,118.5,,,,,,
7/15/2019 14:14,6.03,119,141,1,119,119,,,,,,
7/15/2019 14:14,6.03,119,142,1,119,119,,,,,,
7/15/2019 14:14,6.03,119,143,1,119.5,119.5,,,,,,
7/15/2019 14:14,6.03,120,144,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,145,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,146,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,147,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,148,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,149,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,150,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,151,1,120,120,,,,,,
7/15/2019 14:14,6.03,120,152,1,120.5,120.5,,,,,,
7/15/2019 14:14,6.03,121,153,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,154,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,155,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,156,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,157,1,121.5,121.5,,,,,,
7/15/2019 14:14,6.03,122,158,1,122,122,,,,,,
7/15/2019 14:14,6.03,122,159,1,122,122,,,,,,
7/15/2019 14:14,6.03,122,160,1,122,122,,,,,,
7/15/2019 14:14,6.03,122,161,1,121.5,121.5,,,,,,
7/15/2019 14:14,6.03,121,162,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,163,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,164,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,165,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,166,1,121,121,,,,,,
