Date Time,Temp,SpCond,,,,,,,R int- 49140
M/D/Y HH:MM:SS,C,uS,Hgt Trap,Sum,,,,,
7/22/2019 16:51,9.91,121,120.5,,,,,,
7/22/2019 16:51,9.91,120,119.5,,,,,,
7/22/2019 16:51,9.91,119,119,,,,,,
7/22/2019 16:51,9.91,119,118.5,,,,,,
7/22/2019 16:51,9.91,118,118,,,,,,
7/22/2019 16:51,9.91,118,118,,,,,,
7/22/2019 16:51,9.91,118,117.5,,,,,,
7/22/2019 16:51,9.91,117,117,,,,,,
7/22/2019 16:51,9.91,117,116.5,,,,,,
7/22/2019 16:51,9.91,116,116,,,,,,
7/22/2019 16:51,9.91,116,116,,,,,,
7/22/2019 16:51,9.91,116,116,,,,,,
7/22/2019 16:51,9.91,116,116,,,,,,
7/22/2019 16:51,9.91,116,116,,,,,,
7/22/2019 16:51,9.91,116,115.5,,,,,,
7/22/2019 16:51,9.91,115,115,,,,,,
7/22/2019 16:51,9.91,115,115,,,,,,
7/22/2019 16:51,9.91,115,115,,,,,,
7/22/2019 16:51,9.91,115,115,,,,,,
7/22/2019 16:51,9.91,115,115,,,,,,
7/22/2019 16:51,9.91,115,115,,,,,,
7/22/2019 16:52,9.91,115,115,,,,,,
7/22/2019 16:52,9.91,115,115,,,,,,
7/22/2019 16:52,9.91,115,114.5,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,114,,,,,,
7/22/2019 16:52,9.91,114,113.5,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
