"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"84",2019-07-10 18:30:00,"No",1600,1585,1137.5,1476.54038187153,1476.54038187153
"85",2019-07-10 18:35:00,"No",NA,NA,NA,NA,NA
"86",2019-07-10 18:40:00,"No",NA,NA,NA,NA,NA
"87",2019-07-10 18:45:00,"No",1670,1660,1147.5,1476.54038187153,1476.54038187153
"88",2019-07-10 18:50:00,"No",NA,NA,NA,NA,NA
"89",2019-07-10 18:55:00,"No",NA,NA,NA,NA,NA
"90",2019-07-10 19:00:00,"No",1720,1710,1212.5,1460.55442648223,1460.55442648223
"91",2019-07-10 19:05:00,"No",NA,NA,NA,NA,NA
"92",2019-07-10 19:10:00,"No",NA,NA,NA,NA,NA
"93",2019-07-10 19:15:00,"No",1780,1775,1272.5,1508.51229265014,1508.51229265014
"94",2019-07-10 19:20:00,"No",NA,NA,NA,NA,NA
"95",2019-07-10 19:25:00,"No",NA,NA,NA,NA,NA
"96",2019-07-10 19:30:00,"No",1835,1810,1317.5,1524.49824803944,1524.49824803944
"97",2019-07-10 19:35:00,"No",NA,NA,NA,NA,NA
"98",2019-07-10 19:40:00,"No",NA,NA,NA,NA,NA
"99",2019-07-10 19:45:00,"No",1875,1870,1297.5,1556.47015881804,1556.47015881804
"100",2019-07-10 19:50:00,"No",NA,NA,NA,NA,NA
"101",2019-07-10 19:55:00,"No",NA,NA,NA,NA,NA
"102",2019-07-10 20:00:00,"No",1925,1900,1367.5,1524.49824803944,1524.49824803944
"103",2019-07-10 20:05:00,"No",NA,NA,NA,NA,NA
"104",2019-07-10 20:10:00,"No",NA,NA,NA,NA,NA
"105",2019-07-10 20:15:00,"No",1935,1925,1377.5,1588.44206959664,1588.44206959664
"106",2019-07-10 20:20:00,"No",NA,NA,NA,NA,NA
"107",2019-07-10 20:25:00,"No",NA,NA,NA,NA,NA
"108",2019-07-10 20:30:00,"No",1985,1955,1417.5,1636.39993576454,1636.39993576454
"109",2019-07-10 20:35:00,"No",NA,NA,NA,NA,NA
"110",2019-07-10 20:40:00,"No",NA,NA,NA,NA,NA
"111",2019-07-10 20:45:00,"No",2015,1990,1422.5,1620.41398037524,1620.41398037524
"112",2019-07-10 20:50:00,"No",NA,NA,NA,NA,NA
"113",2019-07-10 20:55:00,"No",NA,NA,NA,NA,NA
