"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Specific Conductance, μS/cm (LGR S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
88,07/12/19 09:22:18 AM,8.1,8.36,12.1,,,,,
89,07/12/19 09:37:18 AM,8.1,8.53,12.0,,,,,
90,07/12/19 09:52:18 AM,8.1,8.67,12.0,,,,,
91,07/12/19 10:07:18 AM,8.1,8.94,11.9,,,,,
92,07/12/19 10:22:18 AM,8.1,9.20,11.8,,,,,
93,07/12/19 10:37:18 AM,8.1,9.59,11.7,,,,,
94,07/12/19 10:52:18 AM,8.1,10.01,11.6,,,,,
95,07/12/19 11:07:18 AM,8.1,10.32,11.5,,,,,
96,07/12/19 11:22:18 AM,8.1,10.63,11.4,,,,,
97,07/12/19 11:37:18 AM,8.1,11.05,11.3,,,,,
98,07/12/19 11:52:18 AM,8.1,11.07,11.2,,,,,
99,07/12/19 12:07:18 PM,8.5,11.57,11.6,,,,,
100,07/12/19 12:22:18 PM,8.5,11.80,11.6,,,,,
101,07/12/19 12:27:19 PM,,,,,Logged,,,
102,07/12/19 12:27:28 PM,,,,,,Logged,,
103,07/12/19 12:27:36 PM,,,,,,,Logged,Logged
