"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
90,07/17/19 10:30:00 AM,-1.6,5.32,-2.6,,,,
91,07/17/19 10:45:00 AM,4.0,5.22,6.5,,,,
92,07/17/19 11:00:00 AM,-1.6,5.74,-2.6,,,,
93,07/17/19 11:15:00 AM,-1.6,5.87,-2.6,,,,
94,07/17/19 11:30:00 AM,4.0,6.40,6.3,,,,
95,07/17/19 11:45:00 AM,4.0,6.87,6.2,,,,
96,07/17/19 12:00:00 PM,-1.7,7.22,-2.6,,,,
97,07/17/19 12:15:00 PM,26.9,7.22,41.5,,,,
98,07/17/19 12:30:00 PM,-1.7,6.96,-2.6,,,,
99,07/17/19 12:45:00 PM,4.0,7.01,6.2,,,,
100,07/17/19 01:00:00 PM,-1.7,7.12,-2.6,,,,
101,07/17/19 01:15:00 PM,4.0,7.14,6.2,,,,
102,07/17/19 01:30:00 PM,4.0,7.41,6.1,,,,
103,07/17/19 01:45:00 PM,-1.7,7.49,-2.6,,,,
104,07/17/19 02:00:00 PM,4.0,7.58,6.1,,,,
105,07/17/19 02:15:00 PM,4.0,7.63,6.1,,,,
106,07/17/19 02:30:00 PM,26.9,7.91,40.7,,,,
107,07/17/19 02:45:00 PM,4.0,8.08,6.0,,,,
108,07/17/19 03:00:00 PM,-1.7,7.70,-2.6,,,,
109,07/17/19 03:15:00 PM,1.7,7.75,2.6,,,,
110,07/17/19 03:30:00 PM,-1.7,8.06,-2.6,,,,
111,07/17/19 03:45:00 PM,-1.7,7.98,-2.6,,,,
112,07/17/19 04:00:00 PM,26.9,7.85,40.8,,,,
113,07/17/19 04:15:00 PM,4.0,7.61,6.1,,,,
114,07/17/19 04:30:00 PM,26.9,7.34,41.3,,,,
115,07/17/19 04:45:00 PM,-1.7,7.25,-2.6,,,,
116,07/17/19 05:00:00 PM,1.7,7.12,2.6,,,,
117,07/17/19 05:15:00 PM,4.0,6.87,6.2,,,,
118,07/17/19 05:30:00 PM,4.0,6.61,6.3,,,,
119,07/17/19 05:45:00 PM,4.0,6.52,6.3,,,,
120,07/17/19 06:00:00 PM,4.0,6.12,6.4,,,,
121,07/17/19 06:15:00 PM,26.9,5.87,43.1,,,,
122,07/17/19 06:30:00 PM,4.0,5.62,6.5,,,,
123,07/17/19 06:45:00 PM,4.0,5.42,6.5,,,,
124,07/17/19 07:00:00 PM,4.0,5.30,6.5,,,,
125,07/17/19 07:15:00 PM,4.0,5.09,6.6,,,,
126,07/17/19 07:30:00 PM,27.0,4.75,44.7,,,,
127,07/17/19 07:45:00 PM,4.0,4.72,6.6,,,,
128,07/17/19 08:00:00 PM,4.0,4.63,6.6,,,,
129,07/17/19 08:15:00 PM,-1.6,4.49,-2.7,,,,
130,07/17/19 08:30:00 PM,4.0,4.47,6.7,,,,
131,07/17/19 08:45:00 PM,1.7,4.48,2.8,,,,
132,07/17/19 09:00:00 PM,4.0,4.47,6.7,,,,
133,07/17/19 09:15:00 PM,1.7,4.40,2.8,,,,
134,07/17/19 09:30:00 PM,4.0,4.39,6.7,,,,
135,07/17/19 09:45:00 PM,-1.6,4.20,-2.7,,,,
136,07/17/19 10:00:00 PM,4.0,4.18,6.7,,,,
137,07/17/19 10:15:00 PM,4.0,4.12,6.7,,,,
138,07/17/19 10:30:00 PM,-1.6,4.22,-2.7,,,,
139,07/17/19 10:45:00 PM,27.0,4.23,45.4,,,,
140,07/17/19 11:00:00 PM,-1.6,4.20,-2.7,,,,
141,07/17/19 11:15:00 PM,-1.6,4.22,-2.7,,,,
142,07/17/19 11:30:00 PM,4.0,4.15,6.7,,,,
143,07/17/19 11:45:00 PM,-1.6,3.99,-2.7,,,,
144,07/18/19 12:00:00 AM,-1.6,3.89,-2.7,,,,
145,07/18/19 12:15:00 AM,27.0,3.82,46.0,,,,
146,07/18/19 12:30:00 AM,1.7,3.74,2.9,,,,
147,07/18/19 12:45:00 AM,1.7,3.63,2.9,,,,
148,07/18/19 01:00:00 AM,-1.6,3.54,-2.7,,,,
149,07/18/19 01:15:00 AM,1.7,3.54,2.9,,,,
150,07/18/19 01:30:00 AM,1.7,3.42,2.9,,,,
151,07/18/19 01:45:00 AM,1.7,3.38,2.9,,,,
152,07/18/19 02:00:00 AM,-1.6,3.41,-2.8,,,,
153,07/18/19 02:15:00 AM,4.0,3.38,6.9,,,,
