"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
88,07/12/19 08:56:02 AM,8.1,8.32,12.1,,,,,
89,07/12/19 09:11:02 AM,8.1,8.40,12.1,,,,,
90,07/12/19 09:26:02 AM,7.7,8.52,11.5,,,,,
91,07/12/19 09:41:02 AM,7.7,8.69,11.4,,,,,
92,07/12/19 09:56:02 AM,8.1,8.87,11.9,,,,,
93,07/12/19 10:11:02 AM,8.1,9.16,11.8,,,,,
94,07/12/19 10:26:02 AM,8.1,9.42,11.8,,,,,
95,07/12/19 10:41:02 AM,8.1,9.94,11.6,,,,,
96,07/12/19 10:56:02 AM,7.7,10.27,10.9,,,,,
97,07/12/19 11:11:02 AM,8.1,10.49,11.4,,,,,
98,07/12/19 11:19:04 AM,,,,,Logged,,,
99,07/12/19 11:19:20 AM,,,,,,Logged,,
100,07/12/19 11:19:59 AM,,,,,,,Logged,Logged
