"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
100,07/15/19 11:31:00 AM,7.4,5.47,,,,,
101,07/15/19 11:31:01 AM,7.4,5.46,,,,,
102,07/15/19 11:31:02 AM,7.4,5.47,,,,,
103,07/15/19 11:31:03 AM,7.4,5.47,,,,,
104,07/15/19 11:31:04 AM,7.4,5.49,,,,,
105,07/15/19 11:31:05 AM,7.4,5.47,,,,,
106,07/15/19 11:31:06 AM,7.4,5.47,,,,,
107,07/15/19 11:31:07 AM,7.4,5.47,,,,,
108,07/15/19 11:31:08 AM,7.4,5.47,,,,,
109,07/15/19 11:31:09 AM,7.4,5.49,,,,,
110,07/15/19 11:31:10 AM,6.7,5.47,,,,,
111,07/15/19 11:31:11 AM,7.4,5.47,,,,,
112,07/15/19 11:31:12 AM,6.7,5.47,,,,,
113,07/15/19 11:31:13 AM,7.4,5.47,,,,,
114,07/15/19 11:31:14 AM,7.4,5.49,,,,,
115,07/15/19 11:31:15 AM,7.4,5.49,,,,,
116,07/15/19 11:31:16 AM,6.7,5.47,,,,,
117,07/15/19 11:31:17 AM,7.4,5.46,,,,,
118,07/15/19 11:31:18 AM,7.4,5.47,,,,,
119,07/15/19 11:31:19 AM,7.4,5.46,,,,,
120,07/15/19 11:31:20 AM,7.4,5.49,,,,,
121,07/15/19 11:31:21 AM,7.4,5.47,,,,,
122,07/15/19 11:31:22 AM,7.4,5.47,,,,,
123,07/15/19 11:31:23 AM,7.4,5.47,,,,,
124,07/15/19 11:31:24 AM,7.4,5.47,,,,,
125,07/15/19 11:31:25 AM,7.8,5.50,,,,,
126,07/15/19 11:31:26 AM,6.7,5.47,,,,,
127,07/15/19 11:31:27 AM,7.4,5.47,,,,,
128,07/15/19 11:31:28 AM,7.4,5.47,,,,,
129,07/15/19 11:31:29 AM,7.4,5.47,,,,,
130,07/15/19 11:31:30 AM,7.4,5.47,,,,,
131,07/15/19 11:31:31 AM,7.4,5.47,,,,,
132,07/15/19 11:31:32 AM,7.4,5.47,,,,,
133,07/15/19 11:31:33 AM,7.8,5.47,,,,,
134,07/15/19 11:31:34 AM,7.4,5.47,,,,,
135,07/15/19 11:31:35 AM,7.4,5.47,,,,,
136,07/15/19 11:31:36 AM,7.4,5.47,,,,,
137,07/15/19 11:31:37 AM,6.7,5.47,,,,,
138,07/15/19 11:31:38 AM,7.4,5.46,,,,,
139,07/15/19 11:31:39 AM,7.4,5.46,,,,,
140,07/15/19 11:31:40 AM,7.4,5.50,,,,,
141,07/15/19 11:31:41 AM,7.4,5.47,,,,,
142,07/15/19 11:31:42 AM,7.4,5.47,,,,,
143,07/15/19 11:31:43 AM,7.4,5.47,,,,,
144,07/15/19 11:31:44 AM,7.4,5.47,,,,,
145,07/15/19 11:31:45 AM,7.4,5.47,,,,,
146,07/15/19 11:31:46 AM,7.4,5.47,,,,,
147,07/15/19 11:31:47 AM,7.4,5.49,,,,,
148,07/15/19 11:31:48 AM,7.4,5.47,,,,,
149,07/15/19 11:31:49 AM,7.4,5.47,,,,,
150,07/15/19 11:31:50 AM,7.4,5.49,,,,,
151,07/15/19 11:31:51 AM,6.7,5.47,,,,,
152,07/15/19 11:31:52 AM,7.4,5.47,,,,,
153,07/15/19 11:31:53 AM,7.4,5.46,,,,,
154,07/15/19 11:31:54 AM,7.4,5.47,,,,,
155,07/15/19 11:31:55 AM,7.4,5.47,,,,,
156,07/15/19 11:31:56 AM,7.4,5.49,,,,,
157,07/15/19 11:31:57 AM,7.4,5.47,,,,,
158,07/15/19 11:31:58 AM,7.4,5.47,,,,,
159,07/15/19 11:31:59 AM,7.4,5.49,,,,,
160,07/15/19 11:32:00 AM,7.4,5.47,,,,,
161,07/15/19 11:32:01 AM,7.4,5.47,,,,,
162,07/15/19 11:32:02 AM,7.4,5.47,,,,,
163,07/15/19 11:32:03 AM,7.4,5.49,,,,,
164,07/15/19 11:32:04 AM,6.7,5.47,,,,,
165,07/15/19 11:32:05 AM,7.4,5.47,,,,,
166,07/15/19 11:32:06 AM,7.4,5.47,,,,,
167,07/15/19 11:32:07 AM,7.4,5.49,,,,,
168,07/15/19 11:32:08 AM,7.4,5.47,,,,,
169,07/15/19 11:32:09 AM,7.4,5.47,,,,,
170,07/15/19 11:32:10 AM,7.4,5.46,,,,,
171,07/15/19 11:32:11 AM,7.4,5.47,,,,,
172,07/15/19 11:32:12 AM,7.4,5.47,,,,,
173,07/15/19 11:32:13 AM,7.4,5.46,,,,,
174,07/15/19 11:32:14 AM,7.4,5.47,,,,,
175,07/15/19 11:32:15 AM,7.0,5.49,,,,,
176,07/15/19 11:32:16 AM,7.4,5.47,,,,,
177,07/15/19 11:32:17 AM,7.4,5.47,,,,,
178,07/15/19 11:32:18 AM,7.4,5.47,,,,,
179,07/15/19 11:32:19 AM,7.4,5.46,,,,,
180,07/15/19 11:32:20 AM,7.8,5.47,,,,,
181,07/15/19 11:32:21 AM,7.4,5.49,,,,,
182,07/15/19 11:32:22 AM,7.8,5.47,,,,,
