"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
104,07/12/19 02:28:00 PM,1.7,10.84,,,,
105,07/12/19 02:29:00 PM,26.8,10.69,,,,
106,07/12/19 02:30:00 PM,3.9,10.79,,,,
107,07/12/19 02:31:00 PM,26.8,10.79,,,,
108,07/12/19 02:32:00 PM,26.8,10.80,,,,
109,07/12/19 02:33:00 PM,-1.7,10.75,,,,
110,07/12/19 02:34:00 PM,26.8,10.69,,,,
111,07/12/19 02:35:00 PM,26.8,10.76,,,,
112,07/12/19 02:36:00 PM,-1.7,10.79,,,,
113,07/12/19 02:37:00 PM,-1.7,10.76,,,,
114,07/12/19 02:38:00 PM,1.7,10.75,,,,
115,07/12/19 02:39:00 PM,1.7,10.76,,,,
116,07/12/19 02:40:00 PM,3.9,10.83,,,,
117,07/12/19 02:41:00 PM,26.8,10.75,,,,
118,07/12/19 02:42:00 PM,3.9,10.87,,,,
119,07/12/19 02:43:00 PM,26.8,10.95,,,,
120,07/12/19 02:44:00 PM,1.7,10.99,,,,
121,07/12/19 02:45:00 PM,26.8,11.00,,,,
122,07/12/19 02:46:00 PM,1.7,10.81,,,,
123,07/12/19 02:47:00 PM,26.8,10.95,,,,
124,07/12/19 02:48:00 PM,26.8,10.96,,,,
125,07/12/19 02:49:00 PM,26.8,10.97,,,,
126,07/12/19 02:50:00 PM,26.8,11.02,,,,
127,07/12/19 02:51:00 PM,26.8,11.10,,,,
128,07/12/19 02:52:00 PM,26.8,11.13,,,,
129,07/12/19 02:53:00 PM,3.9,11.09,,,,
130,07/12/19 02:54:00 PM,26.8,11.08,,,,
131,07/12/19 02:55:00 PM,-1.7,11.22,,,,
132,07/12/19 02:56:00 PM,-1.7,11.22,,,,
133,07/12/19 02:57:00 PM,-1.7,11.29,,,,
134,07/12/19 02:58:00 PM,3.9,11.32,,,,
135,07/12/19 02:59:00 PM,-1.7,11.32,,,,
136,07/12/19 03:00:00 PM,-1.7,11.36,,,,
137,07/12/19 03:01:00 PM,3.9,11.42,,,,
138,07/12/19 03:02:00 PM,-1.7,11.45,,,,
139,07/12/19 03:03:00 PM,-1.7,11.44,,,,
140,07/12/19 03:04:00 PM,-1.7,11.37,,,,
141,07/12/19 03:05:00 PM,-1.7,11.34,,,,
142,07/12/19 03:06:00 PM,-1.7,11.30,,,,
143,07/12/19 03:07:00 PM,-1.7,11.33,,,,
144,07/12/19 03:08:00 PM,-1.7,11.33,,,,
145,07/12/19 03:09:00 PM,-1.7,11.33,,,,
146,07/12/19 03:10:00 PM,-1.7,11.33,,,,
147,07/12/19 03:11:00 PM,-1.7,11.29,,,,
148,07/12/19 03:12:00 PM,-1.7,11.29,,,,
149,07/12/19 03:13:00 PM,-1.7,11.24,,,,
150,07/12/19 03:14:00 PM,26.8,11.21,,,,
151,07/12/19 03:15:00 PM,-1.7,11.20,,,,
152,07/12/19 03:16:00 PM,-1.7,11.18,,,,
153,07/12/19 03:17:00 PM,-1.7,11.21,,,,
154,07/12/19 03:18:00 PM,-1.7,11.20,,,,
155,07/12/19 03:19:00 PM,-1.7,11.20,,,,
156,07/12/19 03:20:00 PM,-1.7,11.17,,,,
157,07/12/19 03:21:00 PM,-1.7,11.17,,,,
158,07/12/19 03:22:00 PM,3.9,11.16,,,,
159,07/12/19 03:23:00 PM,-1.7,11.21,,,,
160,07/12/19 03:24:00 PM,3.9,11.25,,,,
161,07/12/19 03:25:00 PM,-1.7,11.26,,,,
162,07/12/19 03:26:00 PM,-1.7,11.25,,,,
163,07/12/19 03:27:00 PM,-1.7,11.26,,,,
164,07/12/19 03:28:00 PM,-1.7,11.25,,,,
165,07/12/19 03:29:00 PM,-1.7,11.28,,,,
166,07/12/19 03:30:00 PM,-1.7,11.25,,,,
167,07/12/19 03:31:00 PM,-1.7,11.17,,,,
168,07/12/19 03:32:00 PM,-1.7,11.20,,,,
169,07/12/19 03:33:00 PM,-1.7,11.14,,,,
170,07/12/19 03:34:00 PM,-1.7,11.10,,,,
171,07/12/19 03:35:00 PM,-1.7,11.06,,,,
172,07/12/19 03:36:00 PM,-1.7,11.08,,,,
173,07/12/19 03:37:00 PM,-1.7,11.08,,,,
174,07/12/19 03:38:00 PM,-1.7,11.08,,,,
175,07/12/19 03:39:00 PM,-1.7,11.06,,,,
176,07/12/19 03:40:00 PM,-1.7,11.05,,,,
177,07/12/19 03:41:00 PM,-1.7,11.06,,,,
178,07/12/19 03:42:00 PM,-1.7,11.01,,,,
179,07/12/19 03:43:00 PM,-1.7,11.01,,,,
180,07/12/19 03:44:00 PM,-1.7,11.00,,,,
181,07/12/19 03:45:00 PM,-1.7,10.99,,,,
182,07/12/19 03:46:00 PM,-1.7,10.97,,,,
183,07/12/19 03:47:00 PM,-1.7,10.99,,,,
184,07/12/19 03:48:00 PM,-1.7,11.00,,,,
185,07/12/19 03:49:00 PM,-1.7,10.93,,,,
186,07/12/19 03:50:00 PM,-1.7,10.89,,,,
187,07/12/19 03:51:00 PM,-1.7,10.88,,,,
188,07/12/19 03:52:00 PM,-1.7,10.89,,,,
189,07/12/19 03:53:00 PM,3.9,10.87,,,,
190,07/12/19 03:54:00 PM,-1.7,10.88,,,,
191,07/12/19 03:55:00 PM,-1.7,10.87,,,,
192,07/12/19 03:56:00 PM,-1.7,10.88,,,,
193,07/12/19 03:57:00 PM,-1.7,10.87,,,,
194,07/12/19 03:58:00 PM,-1.7,10.83,,,,
195,07/12/19 03:59:00 PM,3.9,10.81,,,,
196,07/12/19 04:00:00 PM,-1.7,10.77,,,,
197,07/12/19 04:01:00 PM,-1.7,10.75,,,,
198,07/12/19 04:02:00 PM,-1.7,10.73,,,,
199,07/12/19 04:03:00 PM,-1.7,10.71,,,,
200,07/12/19 04:04:00 PM,-1.7,10.69,,,,
201,07/12/19 04:05:00 PM,-1.7,10.67,,,,
202,07/12/19 04:06:00 PM,-1.7,10.64,,,,
203,07/12/19 04:07:00 PM,-1.7,10.59,,,,
204,07/12/19 04:08:00 PM,-1.7,10.59,,,,
205,07/12/19 04:09:00 PM,-1.7,10.59,,,,
206,07/12/19 04:10:00 PM,-1.7,10.52,,,,
207,07/12/19 04:11:00 PM,-1.7,10.52,,,,
208,07/12/19 04:12:00 PM,-1.7,10.52,,,,
209,07/12/19 04:13:00 PM,-1.7,10.51,,,,
210,07/12/19 04:14:00 PM,1.7,10.46,,,,
211,07/12/19 04:15:00 PM,-1.7,10.47,,,,
212,07/12/19 04:15:33 PM,,,,Logged,,
213,07/12/19 04:15:43 PM,,,,,Logged,Logged
