Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	"Specific Conductance, ?S/cm (LGR S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
117	7/17/2019 17:15	4	6.87	6.2				
118	7/17/2019 17:30	4	6.61	6.3				
119	7/17/2019 17:45	4	6.52	6.3				
120	7/17/2019 18:00	4	6.12	6.4				
121	7/17/2019 18:15	26.9	5.87	43.1				
122	7/17/2019 18:30	4	5.62	6.5				
123	7/17/2019 18:45	4	5.42	6.5				
124	7/17/2019 19:00	4	5.3	6.5				
125	7/17/2019 19:15	4	5.09	6.6				
126	7/17/2019 19:30	27	4.75	44.7				
127	7/17/2019 19:45	4	4.72	6.6				
128	7/17/2019 20:00	4	4.63	6.6				
129	7/17/2019 20:15	-1.6	4.49	-2.7				
130	7/17/2019 20:30	4	4.47	6.7				
131	7/17/2019 20:45	1.7	4.48	2.8				
132	7/17/2019 21:00	4	4.47	6.7				
133	7/17/2019 21:15	1.7	4.4	2.8				
134	7/17/2019 21:30	4	4.39	6.7				
135	7/17/2019 21:45	-1.6	4.2	-2.7				
136	7/17/2019 22:00	4	4.18	6.7				
137	7/17/2019 22:15	4	4.12	6.7				
138	7/17/2019 22:30	-1.6	4.22	-2.7				
139	7/17/2019 22:45	27	4.23	45.4				
140	7/17/2019 23:00	-1.6	4.2	-2.7				
141	7/17/2019 23:15	-1.6	4.22	-2.7				
142	7/17/2019 23:30	4	4.15	6.7				
143	7/17/2019 23:45	-1.6	3.99	-2.7				
144	7/18/2019 0:00	-1.6	3.89	-2.7				
145	7/18/2019 0:15	27	3.82	46				
146	7/18/2019 0:30	1.7	3.74	2.9				
147	7/18/2019 0:45	1.7	3.63	2.9				
148	7/18/2019 1:00	-1.6	3.54	-2.7				
149	7/18/2019 1:15	1.7	3.54	2.9				
150	7/18/2019 1:30	1.7	3.42	2.9				
151	7/18/2019 1:45	1.7	3.38	2.9				
152	7/18/2019 2:00	-1.6	3.41	-2.8				
153	7/18/2019 2:15	4	3.38	6.9				
154	7/18/2019 2:30	27	3.36	46.6				
155	7/18/2019 2:45	1.7	3.44	2.9				
156	7/18/2019 3:00	27	3.44	46.5				
157	7/18/2019 3:15	-1.6	3.53	-2.7				
158	7/18/2019 3:30	4	3.51	6.9				
159	7/18/2019 3:45	27	3.54	46.4				
160	7/18/2019 4:00	4	3.59	6.9				
161	7/18/2019 4:15	-1.6	3.55	-2.7				
162	7/18/2019 4:30	-1.6	3.53	-2.7				
163	7/18/2019 4:45	-1.6	3.55	-2.7				
164	7/18/2019 5:00	4	3.62	6.9				
165	7/18/2019 5:15	-1.6	3.66	-2.7				
166	7/18/2019 5:30	4	3.71	6.8				
167	7/18/2019 5:45	-1.6	3.69	-2.7				
168	7/18/2019 6:00	-1.6	3.69	-2.7				
169	7/18/2019 6:15	1.7	3.7	2.9				
170	7/18/2019 6:30	1.7	3.73	2.9				
171	7/18/2019 6:45	27	3.79	46				
172	7/18/2019 7:00	1.7	3.79	2.9				
173	7/18/2019 7:15	4	3.87	6.8				
174	7/18/2019 7:30	27	3.93	45.8				
175	7/18/2019 7:45	-1.6	3.91	-2.7				
176	7/18/2019 8:00	1.7	3.99	2.9				
177	7/18/2019 8:15	1.7	4.07	2.9				
178	7/18/2019 8:30	4	4.03	6.8				
179	7/18/2019 8:45	4	4.2	6.7				
180	7/18/2019 9:00	-1.6	4.68	-2.7				
181	7/18/2019 9:15	-1.6	4.89	-2.6				
182	7/18/2019 9:30	1.7	5.04	2.8				
183	7/18/2019 9:45	1.7	5.44	2.8				
184	7/18/2019 10:00	-1.6	5.61	-2.6				
185	7/18/2019 10:15	-1.7	6.02	-2.7				
186	7/18/2019 10:30	1.7	6.18	2.7				
187	7/18/2019 10:45	4	6.43	6.3				
188	7/18/2019 11:00	-1.7	6.84	-2.6				
189	7/18/2019 11:15	4	7.06	6.2				
190	7/18/2019 11:30	26.9	7.25	41.4				
191	7/18/2019 11:45	26.9	7.33	41.4				
192	7/18/2019 12:00	-1.7	7.24	-2.6				
193	7/18/2019 12:15	26.9	7.69	40.9				
194	7/18/2019 12:30	26.8	8.31	40.1				
195	7/18/2019 12:45	4	8.61	5.9				
196	7/18/2019 13:00	1.7	8.51	2.5				
197	7/18/2019 13:15	26.8	8.2	40.2				
198	7/18/2019 13:30	4	8.11	6				
199	7/18/2019 13:45	26.8	8.48	39.9				
200	7/18/2019 14:00	4	8.38	6				
201	7/18/2019 14:15	4	7.91	6				
202	7/18/2019 14:30	4	7.9	6.1				
203	7/18/2019 14:31					Logged		
204	7/18/2019 14:32						Logged	
205	7/18/2019 14:34				Logged			
206	7/18/2019 14:45	6.6	10.69	9.3				
207	7/18/2019 15:00	6.9	10.83	9.6				
208	7/18/2019 15:15	6.9	10.92	9.6				
209	7/18/2019 15:30	6.9	10.93	9.6				
210	7/18/2019 15:45	6.9	10.97	9.6				
211	7/18/2019 16:00	6.6	10.97	9.2				
212	7/18/2019 16:15	6.6	10.88	9.2				
213	7/18/2019 16:30	6.9	10.81	9.6				
214	7/18/2019 16:45	6.6	10.75	9.2				
215	7/18/2019 17:00	6.9	10.51	9.7				
216	7/18/2019 17:15	6.6	10.26	9.4				
217	7/18/2019 17:30	6.9	10.04	9.8				
218	7/18/2019 17:45	6.9	9.87	9.9				
219	7/18/2019 18:00	6.9	9.66	9.9				
220	7/18/2019 18:15	7	9.46	10.1				
221	7/18/2019 18:30	7	9.26	10.2				
222	7/18/2019 18:45	7	9.08	10.3				
223	7/18/2019 19:00	7	8.95	10.3				
224	7/18/2019 19:15	7	8.79	10.3				
225	7/18/2019 19:30	7	8.67	10.4				
226	7/18/2019 19:45	7	8.55	10.4				
227	7/18/2019 20:00	7	8.44	10.4				
228	7/18/2019 20:15	7	8.36	10.5				
229	7/18/2019 20:30	7	8.24	10.5				
230	7/18/2019 20:45	7	8.15	10.5				
231	7/18/2019 21:00	7	8.08	10.5				
232	7/18/2019 21:15	7	7.98	10.6				
233	7/18/2019 21:30	7	7.87	10.6				
234	7/18/2019 21:45	7	7.79	10.6				
235	7/18/2019 22:00	7	7.7	10.6				
236	7/18/2019 22:15	7	7.61	10.7				
237	7/18/2019 22:30	7	7.5	10.7				
238	7/18/2019 22:45	7	7.41	10.7				
239	7/18/2019 23:00	7	7.33	10.8				
240	7/18/2019 23:15	7	7.26	10.8				
241	7/18/2019 23:30	7	7.17	10.8				
242	7/18/2019 23:45	7	7.08	10.8				
243	7/19/2019 0:00	7	7.02	10.9				
244	7/19/2019 0:15	7	6.96	10.9				
245	7/19/2019 0:30	7	6.93	10.9				
246	7/19/2019 0:45	7	6.91	10.9				
247	7/19/2019 1:00	7	6.84	10.9				
248	7/19/2019 1:15	7	6.77	10.9				
249	7/19/2019 1:30	7	6.72	10.9				
250	7/19/2019 1:45	7	6.68	11				
251	7/19/2019 2:00	7	6.63	11				
