Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	"Specific Conductance, ?S/cm (LGR S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
522	7/21/2019 21:00	7	7.51	10.7				
523	7/21/2019 21:15	7	7.44	10.7				
524	7/21/2019 21:30	7	7.34	10.8				
525	7/21/2019 21:45	7	7.26	10.8				
526	7/21/2019 22:00	7	7.16	10.8				
527	7/21/2019 22:15	7	7.08	10.8				
528	7/21/2019 22:30	7	7.02	10.9				
529	7/21/2019 22:45	7	6.92	10.9				
530	7/21/2019 23:00	6.6	6.85	10.3				
531	7/21/2019 23:15	7	6.79	10.9				
532	7/21/2019 23:30	7	6.71	11				
533	7/21/2019 23:45	7	6.67	11				
534	7/22/2019 0:00	7	6.63	11				
535	7/22/2019 0:15	7	6.56	11				
536	7/22/2019 0:30	7	6.51	11				
537	7/22/2019 0:45	7	6.46	11				
538	7/22/2019 1:00	7	6.4	11				
539	7/22/2019 1:15	7	6.38	11.1				
540	7/22/2019 1:30	7	6.31	11.1				
541	7/22/2019 1:45	6.6	6.27	10.5				
542	7/22/2019 2:00	7	6.24	11.1				
543	7/22/2019 2:15	7	6.2	11.1				
544	7/22/2019 2:30	7	6.16	11.1				
545	7/22/2019 2:45	7	6.11	11.1				
546	7/22/2019 3:00	7	6.08	11.2				
547	7/22/2019 3:15	7	6.04	11.2				
548	7/22/2019 3:30	7	6.03	11.2				
549	7/22/2019 3:45	7	6	11.2				
550	7/22/2019 4:00	7	5.98	11.2				
551	7/22/2019 4:15	7	5.97	11.2				
552	7/22/2019 4:30	7	5.91	11.2				
553	7/22/2019 4:45	7	5.87	11.2				
554	7/22/2019 5:00	7	5.85	11.2				
555	7/22/2019 5:15	7	5.79	11.2				
556	7/22/2019 5:30	7	5.77	11.3				
557	7/22/2019 5:45	7	5.74	11.3				
558	7/22/2019 6:00	7	5.7	11.3				
559	7/22/2019 6:15	7	5.66	11.3				
560	7/22/2019 6:30	7	5.62	11.3				
561	7/22/2019 6:45	7	5.59	11.3				
562	7/22/2019 7:00	7	5.58	11.3				
563	7/22/2019 7:15	7	5.59	11.3				
564	7/22/2019 7:30	6.6	5.65	10.6				
565	7/22/2019 7:45	7	5.69	11.3				
566	7/22/2019 8:00	7	5.73	11.3				
567	7/22/2019 8:15	7	5.78	11.2				
568	7/22/2019 8:30	7	5.85	11.2				
569	7/22/2019 8:45	7	6.04	11.2				
570	7/22/2019 9:00	7	6.23	11.1				
571	7/22/2019 9:15	7	6.38	11.1				
572	7/22/2019 9:30	7	6.56	11				
573	7/22/2019 9:45	7	6.76	10.9				
574	7/22/2019 10:00	7	6.88	10.9				
575	7/22/2019 10:15	7	7.13	10.8				
576	7/22/2019 10:30	7	7.28	10.8				
577	7/22/2019 10:45	7	7.41	10.7				
578	7/22/2019 11:00	7	7.57	10.7				
579	7/22/2019 11:15	7	7.73	10.6				
580	7/22/2019 11:30	7	7.95	10.6				
581	7/22/2019 11:45	7	8.1	10.5				
582	7/22/2019 12:00	7	8.22	10.5				
583	7/22/2019 12:15	7	8.36	10.5				
584	7/22/2019 12:30	7	8.57	10.4				
585	7/22/2019 12:45	6.6	8.75	9.8				
586	7/22/2019 13:00	7	8.91	10.3				
587	7/22/2019 13:15	7	9.05	10.3				
588	7/22/2019 13:30	6.6	9.01	9.7				
589	7/22/2019 13:45	6.6	9.24	9.6				
590	7/22/2019 14:00	6.9	9.53	10				
591	7/22/2019 14:15	6.9	9.74	9.9				
592	7/22/2019 14:30	6.9	9.78	9.9				
593	7/22/2019 14:45	6.9	9.98	9.9				
594	7/22/2019 15:00	6.9	10.36	9.8				
595	7/22/2019 15:15	6.6	10.3	9.4				
596	7/22/2019 15:30	6.9	10.24	9.8				
597	7/22/2019 15:45	6.6	10.15	9.4				
598	7/22/2019 15:55					Logged		
599	7/22/2019 15:59						Logged	
600	7/22/2019 16:00	4	9.59	5.8				
601	7/22/2019 16:02				Logged			
602	7/22/2019 16:15	6.9	10	9.9				
603	7/22/2019 16:30	6.9	9.89	9.9				
604	7/22/2019 16:45	6.9	9.77	9.9				
605	7/22/2019 17:00	6.9	9.65	9.9				
606	7/22/2019 17:15	7	9.51	10.1				
607	7/22/2019 17:30	7	9.38	10.2				
608	7/22/2019 17:45	7	9.24	10.2				
609	7/22/2019 18:00	7	9.12	10.2				
610	7/22/2019 18:15	7	8.98	10.3				
611	7/22/2019 18:30	7	8.88	10.3				
612	7/22/2019 18:45	7	8.75	10.3				
613	7/22/2019 19:00	7	8.64	10.4				
614	7/22/2019 19:15	7	8.53	10.4				
615	7/22/2019 19:30	7	8.43	10.4				
616	7/22/2019 19:45	7	8.34	10.5				
617	7/22/2019 20:00	7	8.24	10.5				
618	7/22/2019 20:15	7	8.18	10.5				
619	7/22/2019 20:30	7	8.1	10.5				
620	7/22/2019 20:45	7	8.03	10.6				
621	7/22/2019 21:00	7	7.95	10.6				
622	7/22/2019 21:15	7	7.87	10.6				
623	7/22/2019 21:30	7	7.78	10.6				
624	7/22/2019 21:45	7	7.67	10.7				
625	7/22/2019 22:00	7	7.57	10.7				
626	7/22/2019 22:15	7	7.42	10.7				
627	7/22/2019 22:30	7	7.34	10.8				
628	7/22/2019 22:45	7	7.33	10.8				
629	7/22/2019 23:00	7	7.28	10.8				
630	7/22/2019 23:15	7	7.24	10.8				
631	7/22/2019 23:30	7	7.18	10.8				
632	7/22/2019 23:45	7	7.13	10.8				
633	7/23/2019 0:00	7	7.1	10.8				
634	7/23/2019 0:15	7	7.05	10.8				
635	7/23/2019 0:30	7	7	10.9				
636	7/23/2019 0:45	7	6.95	10.9				
637	7/23/2019 1:00	7	6.92	10.9				
638	7/23/2019 1:15	7	6.87	10.9				
639	7/23/2019 1:30	7	6.81	10.9				
640	7/23/2019 1:45	7	6.77	10.9				
641	7/23/2019 2:00	7	6.72	10.9				
642	7/23/2019 2:15	7	6.67	11				
643	7/23/2019 2:30	7	6.61	11				
644	7/23/2019 2:45	7	6.55	11				
645	7/23/2019 3:00	7	6.51	11				
646	7/23/2019 3:15	7.7	6.47	12.1				
647	7/23/2019 3:30	7	6.4	11				
648	7/23/2019 3:45	7	6.35	11.1				
649	7/23/2019 4:00	7	6.31	11.1				
650	7/23/2019 4:15	7	6.26	11.1				
651	7/23/2019 4:30	7	6.22	11.1				
652	7/23/2019 4:45	7	6.16	11.1				
653	7/23/2019 5:00	7	6.14	11.1				
654	7/23/2019 5:15	7	6.1	11.1				
655	7/23/2019 5:30	7	6.07	11.2				
656	7/23/2019 5:45	7	6.02	11.2				
657	7/23/2019 6:00	7	5.97	11.2				
658	7/23/2019 6:15	7	5.94	11.2				
659	7/23/2019 6:30	7	5.9	11.2				
660	7/23/2019 6:45	7	5.86	11.2				
661	7/23/2019 7:00	7	5.82	11.2				
662	7/23/2019 7:15	7	5.81	11.2				
663	7/23/2019 7:30	7	5.83	11.2				
664	7/23/2019 7:45	7	5.87	11.2				
665	7/23/2019 8:00	7	5.9	11.2				
666	7/23/2019 8:15	7	5.94	11.2				
667	7/23/2019 8:30	7	5.97	11.2				
668	7/23/2019 8:45	7	6.03	11.2				
669	7/23/2019 9:00	7	6.04	11.2				
670	7/23/2019 9:15	7	6.04	11.2				
671	7/23/2019 9:30	7	6.04	11.2				
672	7/23/2019 9:45	7.4	6.11	11.8				
673	7/23/2019 10:00	6.6	6.14	10.5				
674	7/23/2019 10:15	7.4	6.22	11.7				
675	7/23/2019 10:30	7.4	6.26	11.7				
676	7/23/2019 10:45	6.6	6.39	10.4				
677	7/23/2019 11:00	7.4	6.68	11.6				
678	7/23/2019 11:15	7.4	7.1	11.4				
679	7/23/2019 11:30	7.3	7.33	11.2				
680	7/23/2019 11:45	7	7.48	10.7				
681	7/23/2019 11:56					Logged		
682	7/23/2019 11:56						Logged	
683	7/23/2019 11:58				Logged			
684	7/23/2019 12:00	7.3	7.4	11.2				
685	7/23/2019 12:15	6.6	7.44	10.1				
686	7/23/2019 12:30	6.6	7.57	10.1				
687	7/23/2019 12:45	6.6	7.74	10				
688	7/23/2019 13:00	6.6	7.93	10				
689	7/23/2019 13:15	6.6	8.14	9.9				
690	7/23/2019 13:30	6.6	8.38	9.9				
691	7/23/2019 13:45	6.6	8.57	9.8				
692	7/23/2019 14:00	6.6	8.79	9.7				
693	7/23/2019 14:15	6.6	8.85	9.7				
694	7/23/2019 14:30	6.6	8.93	9.7				
695	7/23/2019 14:45	6.6	8.95	9.7				
696	7/23/2019 15:00	6.6	8.92	9.7				
697	7/23/2019 15:15	6.6	8.87	9.7				
698	7/23/2019 15:30	6.6	8.79	9.7				
699	7/23/2019 15:45	6.6	8.73	9.8				
700	7/23/2019 16:00	6.6	8.68	9.8				
701	7/23/2019 16:15	6.6	8.63	9.8				
702	7/23/2019 16:30	6.6	8.57	9.8				
703	7/23/2019 16:45	6.6	8.51	9.8				
704	7/23/2019 17:00	6.6	8.44	9.8				
705	7/23/2019 17:15	6.6	8.34	9.9				
706	7/23/2019 17:30	6.6	8.28	9.9				
707	7/23/2019 17:45	6.6	8.16	9.9				
708	7/23/2019 18:00	6.6	8.08	9.9				
709	7/23/2019 18:15	6.6	7.97	10				
710	7/23/2019 18:30	6.6	7.85	10				
711	7/23/2019 18:45	6.6	7.74	10				
712	7/23/2019 19:00	6.6	7.67	10				
713	7/23/2019 19:15	6.6	7.59	10.1				
714	7/23/2019 19:30	6.6	7.53	10.1				
715	7/23/2019 19:45	6.6	7.46	10.1				
716	7/23/2019 20:00	7.3	7.38	11.2				
717	7/23/2019 20:15	6.6	7.34	10.1				
718	7/23/2019 20:30	6.6	7.26	10.2				
719	7/23/2019 20:45	7.4	7.16	11.4				
720	7/23/2019 21:00	7.4	7.09	11.5				
721	7/23/2019 21:15	6.6	7.02	10.2				
722	7/23/2019 21:30	6.6	6.97	10.2				
723	7/23/2019 21:45	6.6	6.92	10.3				
724	7/23/2019 22:00	7.4	6.88	11.5				
725	7/23/2019 22:15	6.6	6.81	10.3				
726	7/23/2019 22:30	7	6.76	10.9				
727	7/23/2019 22:45	7.4	6.71	11.6				
728	7/23/2019 23:00	6.6	6.65	10.3				
729	7/23/2019 23:15	6.6	6.57	10.4				
730	7/23/2019 23:30	6.6	6.53	10.4				
731	7/23/2019 23:45	7.4	6.49	11.6				
732	7/24/2019 0:00	7	6.46	11				
733	7/24/2019 0:15	6.6	6.39	10.4				
734	7/24/2019 0:30	7	6.32	11.1				
735	7/24/2019 0:45	7.4	6.28	11.7				
736	7/24/2019 1:00	6.6	6.22	10.5				
737	7/24/2019 1:15	7.4	6.16	11.8				
738	7/24/2019 1:30	6.6	6.11	10.5				
739	7/24/2019 1:45	6.6	6.08	10.5				
740	7/24/2019 2:00	7.4	6.06	11.8				
741	7/24/2019 2:15	6.6	6	10.5				
742	7/24/2019 2:30	6.6	5.98	10.5				
743	7/24/2019 2:45	6.6	5.97	10.5				
744	7/24/2019 3:00	7.4	5.91	11.8				
745	7/24/2019 3:15	7	5.9	11.2				
746	7/24/2019 3:30	7.4	5.87	11.9				
747	7/24/2019 3:45	7	5.86	11.2				
748	7/24/2019 4:00	7	5.83	11.2				
749	7/24/2019 4:15	7	5.82	11.2				
750	7/24/2019 4:30	7	5.78	11.2				
751	7/24/2019 4:45	6.6	5.74	10.6				
752	7/24/2019 5:00	6.6	5.71	10.6				
753	7/24/2019 5:15	7.4	5.7	11.9				
754	7/24/2019 5:30	7	5.67	11.3				
755	7/24/2019 5:45	6.6	5.65	10.6				
756	7/24/2019 6:00	6.6	5.62	10.7				
757	7/24/2019 6:15	7	5.59	11.3				
758	7/24/2019 6:30	7	5.57	11.3				
759	7/24/2019 6:45	7.4	5.55	12				
760	7/24/2019 7:00	7	5.54	11.3				
761	7/24/2019 7:15	7	5.54	11.3				
762	7/24/2019 7:30	7	5.55	11.3				
763	7/24/2019 7:45	7	5.55	11.3				
764	7/24/2019 8:00	7.4	5.57	12				
765	7/24/2019 8:15	6.6	5.61	10.7				
766	7/24/2019 8:30	6.6	5.67	10.6				
767	7/24/2019 8:45	6.6	5.79	10.6				
768	7/24/2019 9:00	7.4	5.89	11.9				
769	7/24/2019 9:15	6.6	6.02	10.5				
770	7/24/2019 9:30	6.6	6.12	10.5				
771	7/24/2019 9:45	6.6	6.19	10.5				
772	7/24/2019 10:00	7.4	6.26	11.7				
773	7/24/2019 10:15	6.6	6.34	10.4				
774	7/24/2019 10:30	6.6	6.43	10.4				
775	7/24/2019 10:45	6.6	6.53	10.4				
776	7/24/2019 11:00	6.6	6.64	10.3				
777	7/24/2019 11:15	6.6	6.77	10.3				
778	7/24/2019 11:30	6.6	6.93	10.3				
779	7/24/2019 11:45	6.6	7.02	10.2				
780	7/24/2019 12:00	6.6	7.13	10.2				
781	7/24/2019 12:15	6.6	7.36	10.1				
782	7/24/2019 12:30	6.6	7.41	10.1				
783	7/24/2019 12:45	7	7.48	10.7				
784	7/24/2019 13:00	6.6	7.62	10.1				
785	7/24/2019 13:15	6.6	7.94	10				
786	7/24/2019 13:30	6.6	8.15	9.9				
787	7/24/2019 13:45	6.6	8.76	9.7				
788	7/24/2019 14:00	6.6	8.98	9.7				
789	7/24/2019 14:15	6.6	9.1	9.7				
790	7/24/2019 14:30	6.6	9.22	9.6				
791	7/24/2019 14:45	6.6	9.21	9.6				
792	7/24/2019 15:00	6.6	9.3	9.6				
793	7/24/2019 15:15	6.6	9.21	9.6				
794	7/24/2019 15:30	6.6	9.08	9.7				
795	7/24/2019 15:45	6.6	9.17	9.6				
796	7/24/2019 16:00	6.6	9.33	9.6				
797	7/24/2019 16:15	6.6	9.46	9.6				
798	7/24/2019 16:30	6.6	9.45	9.6				
799	7/24/2019 16:45	6.6	9.3	9.6				
800	7/24/2019 17:00	7.3	9.36	10.6				
801	7/24/2019 17:15	6.6	9.37	9.6				
802	7/24/2019 17:30	6.6	9.37	9.6				
803	7/24/2019 17:45	6.6	9.24	9.6				
804	7/24/2019 18:00	6.6	9.02	9.7				
805	7/24/2019 18:15	6.6	8.83	9.7				
806	7/24/2019 18:30	6.6	8.61	9.8				
807	7/24/2019 18:45	6.6	8.44	9.8				
808	7/24/2019 19:00	6.6	8.27	9.9				
809	7/24/2019 19:15	7.3	8	11				
810	7/24/2019 19:30	6.6	7.77	10				
811	7/24/2019 19:45	6.6	7.57	10.1				
812	7/24/2019 20:00	6.6	7.37	10.1				
813	7/24/2019 20:15	6.6	7.18	10.2				
814	7/24/2019 20:30	6.6	7.01	10.2				
815	7/24/2019 20:45	6.6	6.92	10.3				
816	7/24/2019 21:00	7.4	6.88	11.5				
817	7/24/2019 21:15	6.6	6.85	10.3				
818	7/24/2019 21:30	6.6	6.81	10.3				
819	7/24/2019 21:45	6.6	6.76	10.3				
820	7/24/2019 22:00	7.4	6.69	11.6				
821	7/24/2019 22:15	7.4	6.65	11.6				
822	7/24/2019 22:30	7	6.63	11				
823	7/24/2019 22:45	7.4	6.59	11.6				
824	7/24/2019 23:00	7	6.53	11				
825	7/24/2019 23:15	7	6.48	11				
826	7/24/2019 23:30	6.6	6.44	10.4				
827	7/24/2019 23:45	7.4	6.39	11.7				
828	7/25/2019 0:00	7	6.35	11.1				
829	7/25/2019 0:15	7	6.3	11.1				
830	7/25/2019 0:30	6.6	6.26	10.5				
831	7/25/2019 0:45	7	6.22	11.1				
832	7/25/2019 1:00	7	6.15	11.1				
833	7/25/2019 1:15	7.4	6.1	11.8				
834	7/25/2019 1:30	7	6.07	11.2				
835	7/25/2019 1:45	7	6.04	11.2				
836	7/25/2019 2:00	7	6	11.2				
837	7/25/2019 2:15	7	5.98	11.2				
838	7/25/2019 2:30	7	5.91	11.2				
839	7/25/2019 2:45	7	5.87	11.2				
840	7/25/2019 3:00	7	5.86	11.2				
841	7/25/2019 3:15	7	5.83	11.2				
842	7/25/2019 3:30	7	5.79	11.2				
843	7/25/2019 3:45	7	5.75	11.3				
844	7/25/2019 4:00	7	5.71	11.3				
845	7/25/2019 4:15	7	5.69	11.3				
846	7/25/2019 4:30	7	5.65	11.3				
847	7/25/2019 4:45	7	5.62	11.3				
848	7/25/2019 5:00	7	5.59	11.3				
849	7/25/2019 5:15	7	5.54	11.3				
850	7/25/2019 5:30	7	5.51	11.3				
851	7/25/2019 5:45	7	5.46	11.4				
852	7/25/2019 6:00	7	5.45	11.4				
853	7/25/2019 6:15	7	5.4	11.4				
854	7/25/2019 6:30	7	5.38	11.4				
855	7/25/2019 6:45	7	5.34	11.4				
856	7/25/2019 7:00	7	5.34	11.4				
857	7/25/2019 7:15	7	5.32	11.4				
858	7/25/2019 7:30	7	5.32	11.4				
859	7/25/2019 7:45	7	5.36	11.4				
860	7/25/2019 8:00	7	5.41	11.4				
861	7/25/2019 8:15	7	5.44	11.4				
862	7/25/2019 8:30	7	5.53	11.3				
863	7/25/2019 8:45	7	5.62	11.3				
864	7/25/2019 9:00	7	5.71	11.3				
865	7/25/2019 9:15	7	5.83	11.2				
866	7/25/2019 9:30	7	5.95	11.2				
867	7/25/2019 9:45	7	6.1	11.1				
868	7/25/2019 10:00	7	6.19	11.1				
869	7/25/2019 10:15	7	6.35	11.1				
870	7/25/2019 10:30	7.4	6.49	11.6				
871	7/25/2019 10:45	7	6.67	11				
872	7/25/2019 11:00	7.4	6.97	11.5				
873	7/25/2019 11:15	7	7.17	10.8				
874	7/25/2019 11:30	7	7.45	10.7				
875	7/25/2019 11:45	7	7.79	10.6				
876	7/25/2019 12:00	7	8	10.6				
877	7/25/2019 12:15	7	8.02	10.6				
878	7/25/2019 12:30	6.6	7.94	10				
879	7/25/2019 12:45	7.3	7.93	11				
880	7/25/2019 13:00	6.6	7.99	10				
881	7/25/2019 13:15	7.3	8.18	11				
882	7/25/2019 13:30	6.6	8.31	9.9				
883	7/25/2019 13:45	6.6	8.53	9.8				
884	7/25/2019 14:00	7.3	8.73	10.8				
885	7/25/2019 14:15	7.3	8.89	10.7				
886	7/25/2019 14:30	6.6	8.93	9.7				
887	7/25/2019 14:45	6.6	9.24	9.6				
888	7/25/2019 15:00	7.3	9.38	10.6				
889	7/25/2019 15:15	7.3	9.42	10.6				
890	7/25/2019 15:30	7.3	9.53	10.6				
891	7/25/2019 15:45	7.3	9.46	10.6				
892	7/25/2019 16:00	6.6	9.48	9.6				
893	7/25/2019 16:15	6.6	9.4	9.6				
894	7/25/2019 16:30	6.6	9.26	9.6				
895	7/25/2019 16:45	7.3	9.18	10.7				
896	7/25/2019 17:00	7.3	9.06	10.7				
897	7/25/2019 17:15	6.6	8.98	9.7				
898	7/25/2019 17:30	7.3	8.91	10.7				
899	7/25/2019 17:45	6.6	8.8	9.7				
900	7/25/2019 18:00	6.6	8.64	9.8				
901	7/25/2019 18:15	6.6	8.49	9.8				
902	7/25/2019 18:30	6.6	8.36	9.9				
903	7/25/2019 18:45	6.6	8.22	9.9				
904	7/25/2019 19:00	7.3	8.08	11				
905	7/25/2019 19:15	6.6	7.98	10				
906	7/25/2019 19:30	6.6	7.86	10				
907	7/25/2019 19:45	6.6	7.75	10				
908	7/25/2019 20:00	7.3	7.66	11.1				
909	7/25/2019 20:15	7.3	7.55	11.2				
910	7/25/2019 20:30	7.3	7.46	11.2				
911	7/25/2019 20:45	7	7.41	10.7				
912	7/25/2019 21:00	7	7.32	10.8				
913	7/25/2019 21:15	6.6	7.25	10.2				
914	7/25/2019 21:30	7	7.18	10.8				
915	7/25/2019 21:45	7	7.1	10.8				
916	7/25/2019 22:00	7	7.02	10.9				
917	7/25/2019 22:15	7	6.98	10.9				
918	7/25/2019 22:30	7	6.93	10.9				
919	7/25/2019 22:45	7	6.88	10.9				
920	7/25/2019 23:00	7	6.85	10.9				
921	7/25/2019 23:15	7	6.8	10.9				
922	7/25/2019 23:30	7	6.75	10.9				
923	7/25/2019 23:45	7	6.72	10.9				
924	7/26/2019 0:00	7	6.67	11				
925	7/26/2019 0:15	7	6.61	11				
926	7/26/2019 0:30	7	6.56	11				
927	7/26/2019 0:45	7	6.52	11				
928	7/26/2019 1:00	7	6.47	11				
929	7/26/2019 1:15	7	6.42	11				
930	7/26/2019 1:30	7	6.38	11.1				
931	7/26/2019 1:45	7	6.32	11.1				
932	7/26/2019 2:00	7	6.26	11.1				
933	7/26/2019 2:15	7	6.22	11.1				
934	7/26/2019 2:30	7	6.18	11.1				
935	7/26/2019 2:45	7	6.11	11.1				
936	7/26/2019 3:00	7	6.07	11.2				
937	7/26/2019 3:15	6.6	6.03	10.5				
938	7/26/2019 3:30	7	5.97	11.2				
939	7/26/2019 3:45	7	5.93	11.2				
940	7/26/2019 4:00	7	5.87	11.2				
941	7/26/2019 4:15	7	5.81	11.2				
942	7/26/2019 4:30	7	5.73	11.3				
943	7/26/2019 4:45	7	5.65	11.3				
944	7/26/2019 5:00	7	5.55	11.3				
945	7/26/2019 5:15	7	5.49	11.3				
946	7/26/2019 5:30	7	5.45	11.4				
947	7/26/2019 5:45	7	5.41	11.4				
948	7/26/2019 6:00	7	5.36	11.4				
949	7/26/2019 6:15	7	5.34	11.4				
950	7/26/2019 6:30	7	5.32	11.4				
951	7/26/2019 6:45	7	5.3	11.4				
952	7/26/2019 7:00	7	5.3	11.4				
953	7/26/2019 7:15	7	5.32	11.4				
954	7/26/2019 7:30	7	5.32	11.4				
955	7/26/2019 7:45	7	5.3	11.4				
956	7/26/2019 8:00	7	5.36	11.4				
957	7/26/2019 8:15	7	5.44	11.4				
958	7/26/2019 8:30	7	5.47	11.3				
959	7/26/2019 8:45	7	5.53	11.3				
960	7/26/2019 9:00	7	5.61	11.3				
961	7/26/2019 9:15	7	5.75	11.3				
962	7/26/2019 9:30	7	5.94	11.2				
963	7/26/2019 9:45	7	6.36	11.1				
964	7/26/2019 10:00	7	6.65	11				
965	7/26/2019 10:15	7	6.92	10.9				
966	7/26/2019 10:30	7	7.12	10.8				
967	7/26/2019 10:45	7	7.44	10.7				
968	7/26/2019 11:00	7	7.65	10.7				
969	7/26/2019 11:15	7	7.81	10.6				
970	7/26/2019 11:30	7.7	7.93	11.6				
971	7/26/2019 11:45	7	8.03	10.6				
972	7/26/2019 12:00	7	8.36	10.5				
973	7/26/2019 12:15	7.7	8.65	11.4				
974	7/26/2019 12:30	7	8.88	10.3				
975	7/26/2019 12:45	7	8.91	10.3				
976	7/26/2019 13:00	7	9.12	10.2				
977	7/26/2019 13:15	7.7	9.54	11.1				
978	7/26/2019 13:30	7.7	9.79	11.1				
979	7/26/2019 13:45	6.9	9.85	9.9				
980	7/26/2019 14:00	7.7	10.22	10.9				
981	7/26/2019 14:15	6.9	10.2	9.8				
982	7/26/2019 14:30	6.9	10.14	9.8				
983	7/26/2019 14:45	6.9	10.04	9.8				
984	7/26/2019 15:00	6.9	10.15	9.8				
985	7/26/2019 15:15	6.9	10.19	9.8				
986	7/26/2019 15:30	6.9	10.23	9.8				
987	7/26/2019 15:45	6.9	10.04	9.8				
988	7/26/2019 16:00	6.9	9.94	9.9				
989	7/26/2019 16:15	6.9	9.85	9.9				
990	7/26/2019 16:30	6.9	9.7	9.9				
991	7/26/2019 16:45	6.9	9.55	10				
992	7/26/2019 17:00	7.7	9.4	11.2				
993	7/26/2019 17:15	7	9.25	10.2				
994	7/26/2019 17:30	7	9.13	10.2				
995	7/26/2019 17:45	7	8.96	10.3				
996	7/26/2019 18:00	7	8.8	10.3				
997	7/26/2019 18:15	7	8.67	10.4				
998	7/26/2019 18:30	7	8.52	10.4				
999	7/26/2019 18:45	7.7	8.39	11.5				
1000	7/26/2019 19:00	7	8.26	10.5				
1001	7/26/2019 19:15	7	8.16	10.5				
1002	7/26/2019 19:30	7	8.03	10.6				
1003	7/26/2019 19:45	7	7.91	10.6				
1004	7/26/2019 20:00	7.7	7.79	11.7				
1005	7/26/2019 20:15	7	7.66	10.7				
1006	7/26/2019 20:30	7	7.54	10.7				
1007	7/26/2019 20:45	7	7.44	10.7				
1008	7/26/2019 21:00	7	7.33	10.8				
1009	7/26/2019 21:15	7	7.22	10.8				
1010	7/26/2019 21:30	7.7	7.14	11.9				
1011	7/26/2019 21:45	7	7.06	10.8				
1012	7/26/2019 22:00	7.7	6.98	12				
1013	7/26/2019 22:15	7	6.89	10.9				
1014	7/26/2019 22:30	7.7	6.81	12				
1015	7/26/2019 22:45	7.7	6.73	12				
1016	7/26/2019 23:00	7	6.65	11				
1017	7/26/2019 23:15	7.7	6.57	12.1				
1018	7/26/2019 23:30	7	6.53	11				
1019	7/26/2019 23:45	7.7	6.47	12.1				
1020	7/27/2019 0:00	7.7	6.4	12.2				
1021	7/27/2019 0:15	7.7	6.34	12.2				
1022	7/27/2019 0:30	7.7	6.27	12.2				
1023	7/27/2019 0:45	7.7	6.22	12.2				
1024	7/27/2019 1:00	7.7	6.15	12.2				
1025	7/27/2019 1:15	7.7	6.1	12.3				
1026	7/27/2019 1:30	7.7	6.04	12.3				
1027	7/27/2019 1:45	7.7	6	12.3				
1028	7/27/2019 2:00	7.7	5.95	12.3				
1029	7/27/2019 2:15	7	5.94	11.2				
1030	7/27/2019 2:30	7.7	5.89	12.3				
1031	7/27/2019 2:45	7.7	5.85	12.3				
1032	7/27/2019 3:00	7.7	5.82	12.4				
1033	7/27/2019 3:15	7.7	5.75	12.4				
1034	7/27/2019 3:30	7.7	5.73	12.4				
1035	7/27/2019 3:45	7.7	5.67	12.4				
1036	7/27/2019 4:00	7.7	5.65	12.4				
1037	7/27/2019 4:15	7.7	5.61	12.4				
1038	7/27/2019 4:30	7.7	5.58	12.4				
1039	7/27/2019 4:45	7.7	5.55	12.5				
1040	7/27/2019 5:00	7.7	5.51	12.5				
1041	7/27/2019 5:15	7.7	5.47	12.5				
1042	7/27/2019 5:30	7.7	5.45	12.5				
1043	7/27/2019 5:45	7.7	5.41	12.5				
1044	7/27/2019 6:00	7.7	5.38	12.5				
1045	7/27/2019 6:15	7.7	5.36	12.5				
1046	7/27/2019 6:30	7.7	5.33	12.5				
1047	7/27/2019 6:45	7.7	5.29	12.6				
1048	7/27/2019 7:00	7.7	5.28	12.6				
1049	7/27/2019 7:15	7.7	5.26	12.6				
1050	7/27/2019 7:30	7.7	5.26	12.6				
1051	7/27/2019 7:45	7.7	5.28	12.6				
1052	7/27/2019 8:00	7.7	5.32	12.5				
1053	7/27/2019 8:15	7.7	5.34	12.5				
1054	7/27/2019 8:30	7.7	5.41	12.5				
1055	7/27/2019 8:45	7.7	5.47	12.5				
1056	7/27/2019 9:00	7.7	5.54	12.5				
1057	7/27/2019 9:15	7	5.69	11.3				
1058	7/27/2019 9:30	7.7	5.81	12.4				
1059	7/27/2019 9:45	7	5.91	11.2				
1060	7/27/2019 10:00	7.7	6.03	12.3				
1061	7/27/2019 10:15	7.7	6.12	12.3				
1062	7/27/2019 10:30	7.7	6.18	12.2				
1063	7/27/2019 10:45	7.7	6.42	12.1				
1064	7/27/2019 11:00	7	6.8	10.9				
1065	7/27/2019 11:15	7.7	7.13	11.9				
1066	7/27/2019 11:30	7.7	7.26	11.9				
1067	7/27/2019 11:45	7.7	7.38	11.8				
1068	7/27/2019 12:00	7.7	7.54	11.8				
1069	7/27/2019 12:15	7.7	7.63	11.7				
1070	7/27/2019 12:30	7.7	7.63	11.7				
1071	7/27/2019 12:45	7	7.86	10.6				
1072	7/27/2019 13:00	7.7	7.9	11.6				
1073	7/27/2019 13:15	7	7.85	10.6				
1074	7/27/2019 13:30	7.7	7.87	11.7				
1075	7/27/2019 13:45	7.7	8.2	11.6				
1076	7/27/2019 14:00	7.7	8.44	11.5				
