"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °F (LGR S/N: 20636126, SEN S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
36,07/09/19 05:49:47 PM,6.7,43.41,,,,,
37,07/09/19 06:04:47 PM,6.7,43.21,,,,,
38,07/09/19 06:19:47 PM,6.7,43.03,,,,,
39,07/09/19 06:34:47 PM,6.7,42.84,,,,,
40,07/09/19 06:49:47 PM,6.3,42.64,,,,,
41,07/09/19 07:04:47 PM,6.7,42.49,,,,,
42,07/09/19 07:19:47 PM,6.3,42.31,,,,,
43,07/09/19 07:34:47 PM,6.7,42.19,,,,,
44,07/09/19 07:49:47 PM,6.7,42.06,,,,,
45,07/09/19 08:04:47 PM,6.7,41.90,,,,,
46,07/09/19 08:19:47 PM,6.7,41.79,,,,,
47,07/09/19 08:34:47 PM,6.7,41.67,,,,,
48,07/09/19 08:49:47 PM,6.7,41.52,,,,,
49,07/09/19 09:04:47 PM,6.7,41.45,,,,,
50,07/09/19 09:19:47 PM,6.0,41.31,,,,,
51,07/09/19 09:34:47 PM,6.7,41.23,,,,,
52,07/09/19 09:49:47 PM,6.7,41.11,,,,,
53,07/09/19 10:04:47 PM,6.7,41.02,,,,,
54,07/09/19 10:19:47 PM,6.7,40.95,,,,,
55,07/09/19 10:34:47 PM,6.7,40.86,,,,,
56,07/09/19 10:49:47 PM,6.7,40.78,,,,,
57,07/09/19 11:04:47 PM,6.7,40.64,,,,,
58,07/09/19 11:19:47 PM,6.7,40.53,,,,,
59,07/09/19 11:34:47 PM,6.7,40.46,,,,,
60,07/09/19 11:49:47 PM,6.7,40.39,,,,,
61,07/10/19 12:04:47 AM,6.3,40.32,,,,,
62,07/10/19 12:19:47 AM,6.7,40.24,,,,,
63,07/10/19 12:34:47 AM,6.7,40.21,,,,,
64,07/10/19 12:49:47 AM,6.7,40.08,,,,,
65,07/10/19 01:04:47 AM,6.7,40.01,,,,,
66,07/10/19 01:19:47 AM,6.7,39.99,,,,,
67,07/10/19 01:34:47 AM,6.7,39.94,,,,,
68,07/10/19 01:49:47 AM,6.7,39.92,,,,,
69,07/10/19 02:04:47 AM,6.0,39.88,,,,,
70,07/10/19 02:19:47 AM,6.7,39.85,,,,,
71,07/10/19 02:34:47 AM,6.7,39.81,,,,,
72,07/10/19 02:49:47 AM,6.7,39.79,,,,,
73,07/10/19 03:04:47 AM,6.7,39.74,,,,,
74,07/10/19 03:19:47 AM,6.7,39.67,,,,,
75,07/10/19 03:34:47 AM,6.7,39.60,,,,,
76,07/10/19 03:49:47 AM,6.7,39.56,,,,,
77,07/10/19 04:04:47 AM,6.7,39.51,,,,,
78,07/10/19 04:19:47 AM,6.7,39.42,,,,,
79,07/10/19 04:34:47 AM,6.7,39.36,,,,,
80,07/10/19 04:49:47 AM,6.7,39.27,,,,,
81,07/10/19 05:04:47 AM,6.7,39.20,,,,,
82,07/10/19 05:19:47 AM,6.7,39.06,,,,,
83,07/10/19 05:34:47 AM,6.7,38.98,,,,,
84,07/10/19 05:49:47 AM,6.7,38.89,,,,,
85,07/10/19 06:04:47 AM,6.7,38.75,,,,,
86,07/10/19 06:19:47 AM,6.7,38.64,,,,,
87,07/10/19 06:34:47 AM,6.7,38.48,,,,,
88,07/10/19 06:49:47 AM,6.7,38.35,,,,,
89,07/10/19 07:04:47 AM,6.7,38.25,,,,,
90,07/10/19 07:19:47 AM,6.7,38.12,,,,,
91,07/10/19 07:34:47 AM,6.7,38.05,,,,,
92,07/10/19 07:49:47 AM,6.7,37.98,,,,,
93,07/10/19 08:04:47 AM,6.7,38.12,,,,,
94,07/10/19 08:19:47 AM,6.7,38.48,,,,,
95,07/10/19 08:34:47 AM,6.7,38.93,,,,,
96,07/10/19 08:49:47 AM,6.7,39.49,,,,,
97,07/10/19 09:04:47 AM,6.7,40.08,,,,,
98,07/10/19 09:19:47 AM,6.7,40.80,,,,,
99,07/10/19 09:34:47 AM,6.7,41.25,,,,,
100,07/10/19 09:49:47 AM,6.7,41.88,,,,,
101,07/10/19 10:04:47 AM,6.7,42.13,,,,,
102,07/10/19 10:19:47 AM,6.7,42.46,,,,,
103,07/10/19 10:34:47 AM,6.7,43.00,,,,,
104,07/10/19 10:49:47 AM,6.7,43.39,,,,,
105,07/10/19 11:04:47 AM,6.7,43.77,,,,,
106,07/10/19 11:19:47 AM,6.7,44.78,,,,,
107,07/10/19 11:34:47 AM,6.7,46.00,,,,,
108,07/10/19 11:49:47 AM,6.7,47.28,,,,,
109,07/10/19 12:04:47 PM,6.7,48.40,,,,,
110,07/10/19 12:19:47 PM,7.0,49.10,,,,,
111,07/10/19 12:24:51 PM,,,,Logged,,,
112,07/10/19 12:25:09 PM,,,,,Logged,,
113,07/10/19 12:25:15 PM,,,,,,Logged,Logged
