Plot Title: EC Logger 2								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636127, SEN S/N: 20636127)"	"Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)"	Coupler Detached (LGR S/N: 20636127)	Coupler Attached (LGR S/N: 20636127)	Host Connected (LGR S/N: 20636127)	Stopped (LGR S/N: 20636127)	End Of File (LGR S/N: 20636127)
137	7/14/2019 3:00	8.2	7.44					
138	7/14/2019 3:15	8.2	7.41					
139	7/14/2019 3:30	8.2	7.37					
140	7/14/2019 3:45	8.2	7.3					
141	7/14/2019 4:00	8.9	7.26					
142	7/14/2019 4:15	8.2	7.21					
143	7/14/2019 4:30	8.9	7.15					
144	7/14/2019 4:45	8.9	7.09					
145	7/14/2019 5:00	8.9	7.01					
146	7/14/2019 5:15	8.2	6.96					
147	7/14/2019 5:30	8.9	6.92					
148	7/14/2019 5:45	8.2	6.87					
149	7/14/2019 6:00	8.2	6.8					
150	7/14/2019 6:15	8.9	6.75					
151	7/14/2019 6:30	8.9	6.69					
152	7/14/2019 6:45	8.2	6.66					
153	7/14/2019 7:00	8.2	6.63					
154	7/14/2019 7:15	8.2	6.62					
155	7/14/2019 7:30	8.2	6.66					
156	7/14/2019 7:45	8.2	6.66					
157	7/14/2019 8:00	8.2	6.55					
158	7/14/2019 8:15	8.2	6.47					
159	7/14/2019 8:30	8.2	6.5					
160	7/14/2019 8:45	8.2	6.44					
161	7/14/2019 9:00	8.2	6.32					
162	7/14/2019 9:15	8.2	6.13					
163	7/14/2019 9:30	8.2	6.09					
164	7/14/2019 9:45	8.2	6.26					
165	7/14/2019 10:00	8.2	6.36					
166	7/14/2019 10:15	8.2	6.28					
167	7/14/2019 10:30	7.8	6.38					
168	7/14/2019 10:45	7.8	6.61					
169	7/14/2019 11:00	7.8	6.7					
170	7/14/2019 11:15	7.8	6.79					
171	7/14/2019 11:30	7.8	6.82					
172	7/14/2019 11:45	7.8	6.75					
173	7/14/2019 12:00	7.8	7					
174	7/14/2019 12:15	7.8	7.13					
175	7/14/2019 12:30	7	7.2					
176	7/14/2019 12:45	7.8	7.3					
177	7/14/2019 13:00	7	7.29					
178	7/14/2019 13:15	7	7.22					
179	7/14/2019 13:30	7	7.25					
180	7/14/2019 13:45	7	7.22					
181	7/14/2019 14:00	7	7.19					
182	7/14/2019 14:15	7	7.13					
183	7/14/2019 14:30	7	7.13					
