"","Sample","Avg_iCO2","StdDev_iCO2"
"1","syn1",-14.7371559874943,0.472378553305316
"2","syn5",-14.8127029748607,0.300156693557076
"3","syn8",-13.9115531302394,0.767890788288839
"4","syn11",-14.2146083056825,0.821856664261997
"5","syn14",-10.6723874889163,0.685218966376555
"6","synBW",-11.3747091246957,1.61203756764722
"7","syn20",-13.6589687989359,0.333650413080542
"8","syn23",-14.1774489861757,0.122639509423867
"9","syn29",-15.3358550840085,0.177351467410682
"10","syn35",-14.6163917851531,0.336995478215512
