Dist. From Upstream,K600 Avg. by Dist.,K600 Min by Dist.,K600Max by Dist.,,Avg. K600 Midpoint,Std. Dev. Midpoint,n^(1/2)
4.002,1200.746548,1145.983466,1240.035936,,2898.993292,4250.762488,5.830951895
12.337,56.10854343,56.74089871,54.68543968,,Std. Error,% Error,
16.957,341.6920407,332.8779835,345.6961816,,728.9997525,0.251466519,
25.495,284.4738827,278.2794936,286.6246422,,,,
34.256,92.12654264,92.60716401,90.33059916,,,,
37.442,608.6502542,585.306799,623.8238518,,,,
47.593,338.4354107,328.0129832,344.1680013,,,,
51.477,1641.629712,1577.425908,1683.880886,,,,
56.243,452.5260027,438.9039062,459.8620405,,,,
63.659,2010.610332,1923.193415,2071.775943,,,,
67.023,781.0268944,765.6036343,785.3042012,,,,
75.925,116.6739295,117.1866525,114.4931305,,,,
81.871,1633.221695,1580.938297,1662.973352,,,,
87.664,3484.541756,3283.05395,3645.215902,,,,
94.14,1778.208005,1711.16139,1821.310866,,,,
102.753,472.1071266,466.5271236,470.8842271,,,,
124.229,1519.594554,1449.412508,1570.266557,,,,
128.96,3020.562269,2787.02563,3226.595717,,,,
131.849,13562.6019,12163.74194,14904.88948,,,,
140.638,5604.955846,5090.665282,6082.467236,,,,
143.68,3116.073655,2861.333579,3344.697665,,,,
154.794,3244.990737,3032.906191,3421.98321,,,,
161.95,5514.034487,5046.349627,5938.428733,,,,
169.946,2509.79897,2325.412195,2669.856117,,,,
178.733,1931.823788,1849.492967,1988.80528,,,,
184.081,1325.944859,1289.523893,1343.790181,,,,
194.911,5133.314063,4735.55934,5484.465613,,,,
204.096,5120.365523,4752.36362,5437.536634,,,,
208.19,729.3988056,710.1070824,738.4416444,,,,
217.61,560.0528874,544.5280725,567.737703,,,,
225.54,3553.313157,3314.310228,3754.773466,,,,
228.194,21992.71587,19635.98705,24278.11248,,,,
240.105,3738.43331,3494.364891,3942.039317,,,,
245.20545,1095.018562,1069.529864,1104.994141,,,,
