,Date,Time,ms,LEVEL.kPa,TEMPERATURE...C..,TempReachKelvin,Exponent,TempKelvin,WaterSatPressPascal,Kh,KhPascal,KhAtm
570,7/18/2019,10:15:00 AM,0,62.5308,5.951,0.003584859,1.733201532,278.951,919.7202699,0.000571957,0.000571957,57.9489874
573,7/18/2019,11:00:00 AM,0,62.541,5.957,0.003584782,1.732880827,278.957,920.1026643,0.000571851,0.000571851,57.93826473
577,7/18/2019,12:00:00 PM,0,62.5397,5.963,0.003584705,1.732560195,278.963,920.485199,0.000571745,0.000571745,57.92754451
581,7/18/2019,1:00:00 PM,0,62.508,5.968,0.003584641,1.732293057,278.968,920.8040852,0.000571657,0.000571657,57.91861285
585,7/18/2019,2:00:00 PM,0,62.4634,5.967,0.003584653,1.732346481,278.967,920.7403002,0.000571674,0.000571674,57.92039905
589,7/18/2019,3:00:00 PM,0,62.4057,6.518,0.003577587,1.703215333,279.518,956.4828233,0.000562061,0.000562061,56.94640932
593,7/18/2019,4:00:00 PM,0,62.3717,6.021,0.00358396,1.729464517,279.021,924.1902816,0.000570723,0.000570723,57.82404159
597,7/18/2019,5:00:00 PM,0,62.4114,5.984,0.003584435,1.731438558,278.984,921.8251768,0.000571375,0.000571375,57.89004296
