"","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"61350",61350,2019-07-23 15:21:51,2.0064867656,2.0647286665,-44.952534642,-49.613320286,-54.92858204,-44.952534642,-50.325582732,"col1"
"61351",61351,2019-07-23 15:21:52,2.0064867656,2.0647286665,-44.952534642,-49.613320286,-54.92858204,-44.952534642,-50.325582732,"col1"
"61352",61352,2019-07-23 15:21:53,2.0064867656,2.0647286665,-44.952534642,-49.613320286,-54.92858204,-44.952534642,-50.325582732,"col1"
"61353",61353,2019-07-23 15:21:54,2.0064867656,2.0647286665,-44.952534642,-49.613320286,-54.92858204,-44.952534642,-50.325582732,"col1"
"61354",61354,2019-07-23 15:21:55,1.983023401,2.0558301804,-49.730227291,-48.442402569,-54.290006311,-49.730227291,-50.833253665,"col1"
"61355",61355,2019-07-23 15:21:56,1.983023401,2.0558301804,-49.730227291,-48.442402569,-54.290006311,-49.730227291,-50.833253665,"col1"
"61356",61356,2019-07-23 15:21:57,1.983023401,2.0558301804,-49.730227291,-48.442402569,-54.290006311,-49.730227291,-50.833253665,"col1"
"61357",61357,2019-07-23 15:21:57,1.983023401,2.0558301804,-49.730227291,-48.442402569,-54.290006311,-49.730227291,-50.833253665,"col1"
"61358",61358,2019-07-23 15:21:58,1.9814978355,2.0488048687,-51.470242008,-53.377489872,-54.635115852,-51.470242008,-51.658214759,"col1"
"61359",61359,2019-07-23 15:21:59,1.9814978355,2.0488048687,-51.470242008,-53.377489872,-54.635115852,-51.470242008,-51.658214759,"col1"
"61360",61360,2019-07-23 15:22:00,1.9814978355,2.0488048687,-51.470242008,-53.377489872,-54.635115852,-51.470242008,-51.658214759,"col1"
"61361",61361,2019-07-23 15:22:01,1.9814978355,2.0488048687,-51.470242008,-53.377489872,-54.635115852,-51.470242008,-51.658214759,"col1"
"61362",61362,2019-07-23 15:22:02,1.9750420653,2.0434761368,-41.984830542,-44.284324247,-53.22450691,-41.984830542,-50.366345006,"col1"
"61363",61363,2019-07-23 15:22:03,1.9750420653,2.0434761368,-41.984830542,-44.284324247,-53.22450691,-41.984830542,-50.366345006,"col1"
"61364",61364,2019-07-23 15:22:04,1.9750420653,2.0434761368,-41.984830542,-44.284324247,-53.22450691,-41.984830542,-50.366345006,"col1"
"61365",61365,2019-07-23 15:22:04,1.9750420653,2.0434761368,-41.984830542,-44.284324247,-53.22450691,-41.984830542,-50.366345006,"col1"
"61366",61366,2019-07-23 15:22:05,1.9846387442,2.0390912576,-44.49579672,-54.206094721,-52.824457961,-44.49579672,-49.724966523,"col1"
"61367",61367,2019-07-23 15:22:06,1.9846387442,2.0390912576,-44.49579672,-54.206094721,-52.824457961,-44.49579672,-49.724966523,"col1"
"61368",61368,2019-07-23 15:22:07,1.9846387442,2.0390912576,-44.49579672,-54.206094721,-52.824457961,-44.49579672,-49.724966523,"col1"
"61369",61369,2019-07-23 15:22:08,1.9846387442,2.0390912576,-44.49579672,-54.206094721,-52.824457961,-44.49579672,-49.724966523,"col1"
"61370",61370,2019-07-23 15:22:09,1.958208161,2.035526687,-45.805749726,-43.578919569,-50.533341276,-45.805749726,-48.406236726,"col1"
"61371",61371,2019-07-23 15:22:10,1.958208161,2.035526687,-45.805749726,-43.578919569,-50.533341276,-45.805749726,-48.406236726,"col1"
"61372",61372,2019-07-23 15:22:11,1.958208161,2.035526687,-45.805749726,-43.578919569,-50.533341276,-45.805749726,-48.406236726,"col1"
"61373",61373,2019-07-23 15:22:11,1.958208161,2.035526687,-45.805749726,-43.578919569,-50.533341276,-45.805749726,-48.406236726,"col1"
"61374",61374,2019-07-23 15:22:12,1.9721484399,2.033076044,-48.382488563,-53.707716373,-49.869212023,-48.382488563,-47.348250974,"col1"
"61375",61375,2019-07-23 15:22:13,1.9721484399,2.033076044,-48.382488563,-53.707716373,-49.869212023,-48.382488563,-47.348250974,"col1"
"61376",61376,2019-07-23 15:22:14,1.9721484399,2.033076044,-48.382488563,-53.707716373,-49.869212023,-48.382488563,-47.348250974,"col1"
"61377",61377,2019-07-23 15:22:15,1.9721484399,2.033076044,-48.382488563,-53.707716373,-49.869212023,-48.382488563,-47.348250974,"col1"
"61378",61378,2019-07-23 15:22:16,1.9737815027,2.031665659,-44.807565443,-51.472793992,-49.95930325,-44.807565443,-46.711781348,"col1"
"61379",61379,2019-07-23 15:22:17,1.9737815027,2.031665659,-44.807565443,-51.472793992,-49.95930325,-44.807565443,-46.711781348,"col1"
"61380",61380,2019-07-23 15:22:18,1.9737815027,2.031665659,-44.807565443,-51.472793992,-49.95930325,-44.807565443,-46.711781348,"col1"
"61381",61381,2019-07-23 15:22:18,1.9737815027,2.031665659,-44.807565443,-51.472793992,-49.95930325,-44.807565443,-46.711781348,"col1"
"61382",61382,2019-07-23 15:22:19,1.9629539104,2.0305503308,-47.866991567,-48.962915912,-49.738441949,-47.866991567,-46.610714056,"col1"
"61383",61383,2019-07-23 15:22:20,1.9629539104,2.0305503308,-47.866991567,-48.962915912,-49.738441949,-47.866991567,-46.610714056,"col1"
"61384",61384,2019-07-23 15:22:21,1.9629539104,2.0305503308,-47.866991567,-48.962915912,-49.738441949,-47.866991567,-46.610714056,"col1"
"61385",61385,2019-07-23 15:22:22,1.9629539104,2.0305503308,-47.866991567,-48.962915912,-49.738441949,-47.866991567,-46.610714056,"col1"
"61386",61386,2019-07-23 15:22:23,1.9645253348,2.0303051161,-46.162487847,-48.193562675,-49.580691103,-46.162487847,-46.745153301,"col1"
"61387",61387,2019-07-23 15:22:24,1.9645253348,2.0303051161,-46.162487847,-48.193562675,-49.580691103,-46.162487847,-46.745153301,"col1"
"61388",61388,2019-07-23 15:22:25,1.9645253348,2.0303051161,-46.162487847,-48.193562675,-49.580691103,-46.162487847,-46.745153301,"col1"
"61389",61389,2019-07-23 15:22:25,1.9645253348,2.0303051161,-46.162487847,-48.193562675,-49.580691103,-46.162487847,-46.745153301,"col1"
"61390",61390,2019-07-23 15:22:26,1.9623642783,2.0295077294,-41.630524718,-42.587988333,-48.930200633,-41.630524718,-45.845186348,"col1"
"61391",61391,2019-07-23 15:22:27,1.9623642783,2.0295077294,-41.630524718,-42.587988333,-48.930200633,-41.630524718,-45.845186348,"col1"
"61392",61392,2019-07-23 15:22:28,1.9623642783,2.0295077294,-41.630524718,-42.587988333,-48.930200633,-41.630524718,-45.845186348,"col1"
"61393",61393,2019-07-23 15:22:29,1.9623642783,2.0295077294,-41.630524718,-42.587988333,-48.930200633,-41.630524718,-45.845186348,"col1"
"61394",61394,2019-07-23 15:22:30,1.9750240806,2.0302668001,-49.172156634,-54.44432469,-49.048737835,-49.172156634,-45.589843529,"col1"
"61395",61395,2019-07-23 15:22:31,1.9750240806,2.0302668001,-49.172156634,-54.44432469,-49.048737835,-49.172156634,-45.589843529,"col1"
"61396",61396,2019-07-23 15:22:32,1.9750240806,2.0302668001,-49.172156634,-54.44432469,-49.048737835,-49.172156634,-45.589843529,"col1"
"61397",61397,2019-07-23 15:22:32,1.9750240806,2.0302668001,-49.172156634,-54.44432469,-49.048737835,-49.172156634,-45.589843529,"col1"
"61398",61398,2019-07-23 15:22:33,1.9741172801,2.0299514904,-47.52113383,-52.665393897,-49.979967796,-47.52113383,-46.204988339,"col1"
"61399",61399,2019-07-23 15:22:34,1.9741172801,2.0299514904,-47.52113383,-52.665393897,-49.979967796,-47.52113383,-46.204988339,"col1"
"61400",61400,2019-07-23 15:22:35,1.9741172801,2.0299514904,-47.52113383,-52.665393897,-49.979967796,-47.52113383,-46.204988339,"col1"
"61401",61401,2019-07-23 15:22:36,1.9741172801,2.0299514904,-47.52113383,-52.665393897,-49.979967796,-47.52113383,-46.204988339,"col1"
"61402",61402,2019-07-23 15:22:37,1.9760594643,2.0293214141,-48.630934261,-54.796412462,-50.045558656,-48.630934261,-46.664448065,"col1"
"61403",61403,2019-07-23 15:22:38,1.9760594643,2.0293214141,-48.630934261,-54.796412462,-50.045558656,-48.630934261,-46.664448065,"col1"
"61404",61404,2019-07-23 15:22:39,1.9760594643,2.0293214141,-48.630934261,-54.796412462,-50.045558656,-48.630934261,-46.664448065,"col1"
"61405",61405,2019-07-23 15:22:39,1.9760594643,2.0293214141,-48.630934261,-54.796412462,-50.045558656,-48.630934261,-46.664448065,"col1"
"61406",61406,2019-07-23 15:22:40,1.9715543979,2.0290359397,-50.23372292,-53.115470286,-51.105175402,-50.23372292,-47.156445087,"col1"
"61407",61407,2019-07-23 15:22:41,1.9715543979,2.0290359397,-50.23372292,-53.115470286,-51.105175402,-50.23372292,-47.156445087,"col1"
"61408",61408,2019-07-23 15:22:42,1.9715543979,2.0290359397,-50.23372292,-53.115470286,-51.105175402,-50.23372292,-47.156445087,"col1"
"61409",61409,2019-07-23 15:22:43,1.9715543979,2.0290359397,-50.23372292,-53.115470286,-51.105175402,-50.23372292,-47.156445087,"col1"
"61410",61410,2019-07-23 15:22:44,1.9915503213,2.0293005526,-48.561249849,-60.015388279,-51.806027836,-48.561249849,-47.176307452,"col1"
"61411",61411,2019-07-23 15:22:45,1.9915503213,2.0293005526,-48.561249849,-60.015388279,-51.806027836,-48.561249849,-47.176307452,"col1"
"61412",61412,2019-07-23 15:22:46,1.9915503213,2.0293005526,-48.561249849,-60.015388279,-51.806027836,-48.561249849,-47.176307452,"col1"
"61413",61413,2019-07-23 15:22:46,1.9915503213,2.0293005526,-48.561249849,-60.015388279,-51.806027836,-48.561249849,-47.176307452,"col1"
"61414",61414,2019-07-23 15:22:47,1.9746400196,2.0285109717,-40.92264416,-46.359400817,-51.237873039,-40.92264416,-46.744649532,"col1"
"61415",61415,2019-07-23 15:22:48,1.9746400196,2.0285109717,-40.92264416,-46.359400817,-51.237873039,-40.92264416,-46.744649532,"col1"
"61416",61416,2019-07-23 15:22:49,1.9746400196,2.0285109717,-40.92264416,-46.359400817,-51.237873039,-40.92264416,-46.744649532,"col1"
"61417",61417,2019-07-23 15:22:50,1.9746400196,2.0285109717,-40.92264416,-46.359400817,-51.237873039,-40.92264416,-46.744649532,"col1"
"61418",61418,2019-07-23 15:22:51,1.9772256269,2.0280798444,-47.32863446,-53.263834762,-51.715752911,-47.32863446,-46.684832075,"col1"
"61419",61419,2019-07-23 15:22:52,1.9772256269,2.0280798444,-47.32863446,-53.263834762,-51.715752911,-47.32863446,-46.684832075,"col1"
"61420",61420,2019-07-23 15:22:53,1.9772256269,2.0280798444,-47.32863446,-53.263834762,-51.715752911,-47.32863446,-46.684832075,"col1"
"61421",61421,2019-07-23 15:22:53,1.9772256269,2.0280798444,-47.32863446,-53.263834762,-51.715752911,-47.32863446,-46.684832075,"col1"
"61422",61422,2019-07-23 15:22:54,1.9902060309,2.0277292153,-49.305318051,-61.601037748,-53.205472364,-49.305318051,-47.034035431,"col1"
