DateTime,airTemp_c
7/1/2019 14:30,5.535774
7/1/2019 14:35,6.003014
7/1/2019 14:40,6.183859
7/1/2019 14:45,6.239191
7/1/2019 14:50,6.337206
7/1/2019 14:55,6.296479
7/1/2019 15:00,6.354136
7/1/2019 15:05,6.428117
7/1/2019 15:10,6.40508
7/1/2019 15:15,6.435788
7/1/2019 15:20,6.555187
7/1/2019 15:25,6.529122
7/1/2019 15:30,6.417451
7/1/2019 15:35,6.368497
7/1/2019 15:40,6.323203
7/1/2019 15:45,6.259049
7/1/2019 15:50,6.317921
7/1/2019 15:55,6.434296
7/1/2019 16:00,6.468832
7/1/2019 16:05,6.53303
7/1/2019 16:10,6.466187
7/1/2019 16:15,6.473086
7/1/2019 16:20,6.589796
7/1/2019 16:25,6.472236
7/1/2019 16:30,6.527998
7/1/2019 16:35,6.394398
7/1/2019 16:40,6.373175
7/1/2019 16:45,6.414273
7/1/2019 16:50,6.385695
7/1/2019 16:55,6.438044
7/1/2019 17:00,6.469528
7/1/2019 17:05,6.425887
7/1/2019 17:10,6.282477
7/1/2019 17:15,6.451869
7/1/2019 17:20,6.441936
7/1/2019 17:25,6.380379
7/1/2019 17:30,6.360426
7/1/2019 17:35,6.473014
7/1/2019 17:40,6.431977
7/1/2019 17:45,6.430153
7/1/2019 17:50,6.266988
7/1/2019 17:55,6.182312
7/1/2019 18:00,6.13791
7/1/2019 18:05,6.176969
7/1/2019 18:10,6.141606
7/1/2019 18:15,6.043854
7/1/2019 18:20,6.001948
7/1/2019 18:25,5.945459
7/1/2019 18:30,5.804289
7/1/2019 18:35,5.668547
7/1/2019 18:40,5.619265
7/1/2019 18:45,5.564298
7/1/2019 18:50,5.528852
7/1/2019 18:55,5.582971
7/1/2019 19:00,5.590209
7/1/2019 19:05,5.503047
7/1/2019 19:10,5.47046
7/1/2019 19:15,5.464557
7/1/2019 19:20,5.446546
7/1/2019 19:25,5.377677
7/1/2019 19:30,5.20994
7/1/2019 19:35,4.935778
7/1/2019 19:40,4.657888
7/1/2019 19:45,4.420884
7/1/2019 19:50,4.16599
7/1/2019 19:55,4.074275
7/1/2019 20:00,4.303335
7/1/2019 20:05,4.50704
7/1/2019 20:10,4.555037
7/1/2019 20:15,4.373964
7/1/2019 20:20,4.251959
7/1/2019 20:25,4.073635
7/1/2019 20:30,3.851089
7/1/2019 20:35,3.712963
7/1/2019 20:40,3.530345
7/1/2019 20:45,3.263484
7/1/2019 20:50,3.12463
7/1/2019 20:55,3.106284
7/1/2019 21:00,3.086302
7/1/2019 21:05,3.021568
7/1/2019 21:10,2.973125
7/1/2019 21:15,2.879804
7/1/2019 21:20,2.910939
7/1/2019 21:25,3.180431
7/1/2019 21:30,3.43083
7/1/2019 21:35,3.633811
7/1/2019 21:40,3.842619
7/1/2019 21:45,3.971943
7/1/2019 21:50,4.218818
7/1/2019 21:55,4.384832
7/1/2019 22:00,4.498989
7/1/2019 22:05,4.596048
7/1/2019 22:10,4.629517
7/1/2019 22:15,4.696288
7/1/2019 22:20,4.722728
7/1/2019 22:25,4.776894
