DateTime,ppt_mm
2019-07-10,0.5
2019-07-11,0.9
2019-07-12,4.2
2019-07-13,5.6
2019-07-14,50.1
2019-07-15,15.7
2019-07-16,0.3
2019-07-17,2.1
2019-07-18,2
2019-07-19,6.2
2019-07-20,7.2
2019-07-21,6.1
2019-07-22,10
2019-07-23,20.2
2019-07-24,10.8
2019-07-25,7.1
2019-07-26,2.7
2019-07-27,4.2
2019-07-28,4
2019-07-29,0
2019-07-30,0.3
2019-07-31,2.5
2019-08-01,0.1
2019-08-02,3.9
2019-08-03,16.6
2019-08-04,10.8
2019-08-05,0.3
2019-08-06,0
2019-08-07,0.1
2019-08-08,0.4
2019-08-09,0.7
2019-08-10,0.8
2019-08-11,5.2
2019-08-12,1.7
2019-08-13,20.1
2019-08-14,15.4
