DateTime,ppt_mm
7/1/2019 0:00,0.1
7/1/2019 0:05,0
7/1/2019 0:10,0
7/1/2019 0:15,0
7/1/2019 0:20,0.1
7/1/2019 0:25,0
7/1/2019 0:30,0
7/1/2019 0:35,0
7/1/2019 0:40,0
7/1/2019 0:45,0.1
7/1/2019 0:50,0
7/1/2019 0:55,0
7/1/2019 1:00,0
7/1/2019 1:05,0
7/1/2019 1:10,0
7/1/2019 1:15,0
7/1/2019 1:20,0
7/1/2019 1:25,0
7/1/2019 1:30,0
7/1/2019 1:35,0
7/1/2019 1:40,0
7/1/2019 1:45,0
7/1/2019 1:50,0
7/1/2019 1:55,0
7/1/2019 2:00,0
7/1/2019 2:05,0
7/1/2019 2:10,0
7/1/2019 2:15,0
7/1/2019 2:20,0
7/1/2019 2:25,0
7/1/2019 2:30,0
7/1/2019 2:35,0
7/1/2019 2:40,0
7/1/2019 2:45,0
7/1/2019 2:50,0
7/1/2019 2:55,0
7/1/2019 3:00,0
7/1/2019 3:05,0.1
7/1/2019 3:10,0
7/1/2019 3:15,0
7/1/2019 3:20,0
7/1/2019 3:25,0
7/1/2019 3:30,0
7/1/2019 3:35,0
7/1/2019 3:40,0
7/1/2019 3:45,0
7/1/2019 3:50,0
7/1/2019 3:55,0
7/1/2019 4:00,0
7/1/2019 4:05,0
7/1/2019 4:10,0
7/1/2019 4:15,0
7/1/2019 4:20,0
7/1/2019 4:25,0
7/1/2019 4:30,0
7/1/2019 4:35,0
7/1/2019 4:40,0
7/1/2019 4:45,0
7/1/2019 4:50,0
7/1/2019 4:55,0
7/1/2019 5:00,0
7/1/2019 5:05,0
7/1/2019 5:10,0
7/1/2019 5:15,0
7/1/2019 5:20,0
7/1/2019 5:25,0
7/1/2019 5:30,0
7/1/2019 5:35,0
7/1/2019 5:40,0
7/1/2019 5:45,0
7/1/2019 5:50,0
7/1/2019 5:55,0
7/1/2019 6:00,0
7/1/2019 6:05,0
7/1/2019 6:10,0
7/1/2019 6:15,0
7/1/2019 6:20,0
7/1/2019 6:25,0
7/1/2019 6:30,0
7/1/2019 6:35,0
7/1/2019 6:40,0
7/1/2019 6:45,0
7/1/2019 6:50,0
7/1/2019 6:55,0
7/1/2019 7:00,0
7/1/2019 7:05,0
7/1/2019 7:10,0
7/1/2019 7:15,0
7/1/2019 7:20,0
7/1/2019 7:25,0
7/1/2019 7:30,0
7/1/2019 7:35,0
7/1/2019 7:40,0
7/1/2019 7:45,0
7/1/2019 7:50,0
7/1/2019 7:55,0
7/1/2019 8:00,0
7/1/2019 8:05,0
7/1/2019 8:10,0
7/1/2019 8:15,0
7/1/2019 8:20,0
7/1/2019 8:25,0
7/1/2019 8:30,0
7/1/2019 8:35,0
7/1/2019 8:40,0
7/1/2019 8:45,0
7/1/2019 8:50,0
7/1/2019 8:55,0
7/1/2019 9:00,0
7/1/2019 9:05,0
7/1/2019 9:10,0
7/1/2019 9:15,0
7/1/2019 9:20,0
7/1/2019 9:25,0
7/1/2019 9:30,0
7/1/2019 9:35,0
7/1/2019 9:40,0
7/1/2019 9:45,0
7/1/2019 9:50,0
7/1/2019 9:55,0
7/1/2019 10:00,0
7/1/2019 10:05,0
7/1/2019 10:10,0
7/1/2019 10:15,0
7/1/2019 10:20,0
7/1/2019 10:25,0
7/1/2019 10:30,0
7/1/2019 10:35,0
7/1/2019 10:40,0
7/1/2019 10:45,0
7/1/2019 10:50,0
7/1/2019 10:55,0
7/1/2019 11:00,0
7/1/2019 11:05,0
7/1/2019 11:10,0
7/1/2019 11:15,0
7/1/2019 11:20,0
7/1/2019 11:25,0
7/1/2019 11:30,0
7/1/2019 11:35,0
7/1/2019 11:40,0
7/1/2019 11:45,0
7/1/2019 11:50,0
